Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,280,40,13017.4,1815.6,2002.6,2003.8,2008.1,2005.2,736.7,1016.6,776.8,846.1,61.0,74.4,54.5,74.5,27.0,61.9,40.0,53.0,2716.6,208465.9,212468.5,4677899.0,22168091.3,25701105.1,16706.8,72983.4,81763.4
Bahamas,19,18,691.0,368.6,2001.4,2001.7,2005.7,2006.6,923.8,941.6,959.0,938.0,76.0,85.7,87.1,83.6,11.0,13.9,10.6,18.7,71.5,5535.7,5642.0,292303.9,1205078.1,1371612.9,15384.4,61146.5,67823.0
Canada,13,8,220.1,105.4,1999.2,1998.5,1997.9,1999.0,834.8,986.8,850.8,921.6,71.0,92.3,72.0,91.7,31.0,58.1,42.5,72.0,55.5,4250.8,4332.4,127620.2,577821.0,777090.8,9816.9,48817.5,60948.8
Portugal,7,7,469.9,75.5,1996.7,1996.7,1998.4,1996.3,1969.1,2105.2,2043.9,2164.3,119.0,134.9,127.6,147.6,22.0,18.3,17.8,20.5,108.8,8429.4,8591.2,179182.8,1293735.5,1730016.8,25597.5,162102.4,194178.5
Mexico,5,3,316.1,67.5,1987.6,1991.3,2007.4,1990.4,2060.3,2009.2,1855.6,2012.0,213.0,197.2,122.1,203.5,66.0,46.5,17.8,48.3,48.1,3697.6,3768.6,89599.9,443738.8,592068.8,17920.0,98726.5,130606.3
Spain,4,4,663.3,284.2,2007.0,2007.0,2009.7,2014.6,2752.6,2786.2,2722.1,2839.4,166.5,176.8,162.7,223.7,16.5,17.5,24.5,5.4,128.3,9939.2,10130.0,70760.6,866375.8,1180540.3,17690.1,210490.4,273073.9
Sint Maarten (Dutch part),3,3,114.4,34.5,2006.3,2006.3,2002.3,2006.3,913.2,958.0,1035.6,955.8,76.0,72.7,74.7,71.6,23.0,35.0,25.1,36.4,30.0,2323.0,2367.6,99278.3,307977.3,305177.4,33092.8,108947.2,110575.9
Haiti,3,3,65.9,33.4,2008.7,2008.7,2009.2,2008.7,1206.6,1350.1,1249.3,1287.7,147.0,193.3,167.8,184.7,3.0,6.7,4.6,5.9,8.8,677.5,690.5,29870.2,114303.4,130582.4,9956.7,44265.1,52652.8
Barbados,3,3,26.0,31.1,2003.7,2003.7,2006.2,2006.7,1206.6,1245.3,1261.1,1267.2,118.0,114.0,115.0,116.5,48.0,44.7,59.2,60.9,8.9,682.7,695.8,22485.5,63919.8,85073.5,7495.2,30606.1,39802.0
United Kingdom of Great Britain and Northern Ireland,3,2,596.6,138.7,2003.3,2002.5,2004.6,2002.5,3212.0,3215.9,3219.1,3215.9,182.0,204.8,179.6,204.5,21.0,20.0,18.7,19.7,146.5,11321.4,11538.8,465381.1,1626763.6,1614035.3,155127.0,505890.7,480074.5
