Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,2715,781,5800.5,8273.5,1999.0,2000.3,2001.9,2002.0,470.2,622.4,633.4,640.4,46.0,60.9,93.2,95.7,26.0,44.1,67.6,69.3,1569.6,117884.2,120147.6,17793187.9,51789656.7,73613072.7,6553.7,23319.0,32090.1
Ferry-RoPax,1006,7,7729.7,1437.8,2001.2,1995.9,1997.8,1997.6,158.3,376.6,284.7,251.3,11.0,26.9,82.6,63.9,4.0,5.4,7.5,8.2,1555.1,116763.2,119005.1,8932627.5,22089680.9,27104180.5,8879.4,18953.9,17263.0
Bulk carrier,590,381,18063.7,32208.2,2008.9,2010.6,2011.5,2011.5,843.1,1096.9,1118.4,1123.9,72.5,103.6,159.7,159.9,61.5,101.3,105.7,105.8,1656.9,124887.9,127285.7,8903817.3,22820332.5,27637775.7,15091.2,60800.4,73889.7
Chemical tanker,492,300,5885.7,9356.0,2006.0,2007.8,2009.2,2009.3,540.5,824.3,925.9,935.4,51.5,80.2,163.5,165.1,33.0,58.0,69.9,70.7,1338.0,100746.7,102681.0,4610755.3,19319305.5,22856076.9,9371.5,45286.9,55359.1
Container,239,66,2534.7,2987.7,2005.1,2004.8,2005.3,2005.2,500.1,671.3,701.0,704.9,33.0,51.0,66.4,66.4,11.0,14.8,92.0,103.2,550.0,41236.9,42028.7,3287223.1,10705052.6,12069002.5,13754.1,47169.7,55755.3
Oil tanker,195,84,3304.7,5918.9,1996.0,2005.5,2008.7,2008.9,417.0,741.3,785.3,794.6,35.0,92.4,146.8,149.0,34.0,76.4,91.4,92.3,766.7,57616.2,58722.4,3830543.1,6965327.0,8015151.6,19643.8,51669.0,63355.3
Miscellaneous - fishing,165,30,26.2,13.3,1983.9,1983.8,1981.6,1979.6,499.4,729.9,630.7,531.0,66.0,129.4,395.9,283.5,89.0,122.8,323.5,262.5,142.6,10707.1,10912.7,93862.2,208204.4,236707.3,568.9,1338.8,1587.1
Liquefied gas tanker,103,14,280.4,318.5,1999.3,2000.9,2000.6,2000.5,281.4,788.9,443.9,439.1,23.0,63.6,51.9,51.3,14.0,25.7,22.9,22.7,111.8,8412.1,8573.6,240409.1,696504.5,769164.0,2334.1,12778.9,16804.6
Service - tug,69,24,15.5,7.0,1983.1,1987.6,1984.9,1985.5,442.6,476.1,560.0,509.2,52.0,149.3,146.3,174.4,23.0,92.5,150.0,126.3,41.0,3078.1,3137.2,178504.2,422108.6,565180.7,2587.0,6680.1,9019.3
Cruise,42,23,557.9,64.0,1999.4,1999.1,2004.8,2004.3,290.9,317.3,328.1,326.9,19.0,22.8,23.4,22.8,8.0,8.7,9.1,9.3,161.8,12145.7,12378.9,290774.9,1366739.4,1614697.2,6923.2,28549.4,30977.4
Service - other,22,14,21.4,23.3,1986.8,1990.9,1984.8,1985.4,428.2,540.3,648.8,672.2,58.5,151.2,214.0,190.1,14.5,152.2,156.0,144.4,20.7,1551.1,1580.9,162445.4,333302.3,359153.4,7383.9,16430.4,18552.2
Refrigerated bulk,20,17,431.7,448.2,1995.0,1993.7,1992.8,1992.7,989.3,2000.3,2953.7,2932.1,45.5,103.2,286.3,292.0,58.5,358.7,977.5,979.9,317.2,23823.4,24280.8,1329554.3,2905140.7,3272367.8,66477.7,141663.3,152953.8
Ro-Ro,4,4,44.6,29.7,1996.5,1996.5,2001.1,2000.5,668.2,809.0,744.8,777.7,43.0,60.5,83.1,88.6,8.5,10.2,9.6,10.9,10.8,813.5,829.1,36004.5,100649.3,86064.0,9001.1,21287.6,23895.7
Other liquids tankers,1,1,29.7,41.3,2014.0,2014.0,2014.0,2014.0,1053.0,1053.0,1053.0,1053.0,88.0,88.0,88.0,88.0,5.0,5.0,5.0,5.0,2.5,188.2,191.8,21175.0,60461.0,130354.0,21175.0,73358.2,118539.1
