Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Riga,209,154,1255.9,2022.5,1998.9,2001.5,2006.5,2007.9,237.5,417.9,523.3,510.5,21.0,32.3,104.1,92.1,29.0,90.1,126.5,120.6,241.6,18146.0,18494.4,1365442.8,3227161.3,4036291.8,6533.2,21517.0,26588.4
Ventspils,171,97,182.1,261.7,1992.1,1996.3,2001.6,2003.1,286.0,638.8,256.6,249.4,30.0,149.4,113.2,57.8,21.0,68.7,91.6,46.6,139.6,10484.7,10686.0,479814.0,1033747.7,1413877.2,2805.9,8938.6,11890.7
Roja,83,68,345.8,429.7,1996.5,1998.9,2002.7,2007.1,307.5,660.8,635.6,551.4,20.0,95.8,88.1,49.7,15.0,37.2,39.1,46.8,76.4,5746.5,5856.8,390870.1,933982.5,1243824.6,4709.3,16128.6,20452.1
Mersrags,79,62,347.7,526.5,1996.2,1998.3,2004.7,2006.6,419.0,1127.2,732.5,691.6,37.0,179.0,222.6,128.5,14.0,75.0,117.5,116.5,119.3,8990.7,9163.4,573523.1,1303047.4,1637240.2,7259.8,21580.2,26809.9
Liepaja,73,58,51.3,68.7,1988.5,1989.8,1996.6,1998.1,198.5,815.6,246.9,236.3,20.0,216.1,230.0,93.0,18.0,113.0,56.4,29.8,60.5,4539.3,4626.5,114123.9,274545.3,354976.8,1563.3,4840.1,6270.7
Engure,53,42,219.5,354.7,1996.4,1998.8,2005.8,2006.5,402.4,714.8,874.9,892.1,43.0,70.3,116.0,112.7,8.0,16.3,22.6,22.4,41.7,3162.0,3222.7,422692.4,888942.2,1207623.1,7975.3,26494.9,34523.6
Skulte,11,11,15.6,16.6,1996.1,1996.1,1999.3,2003.3,254.4,3711.6,503.9,399.2,17.0,45.1,89.6,85.4,30.0,1003.6,997.9,285.6,30.7,2304.5,2348.7,35631.8,98509.1,131799.4,3239.3,11578.4,14655.9
Lapmezciems,5,5,1.4,2.0,1983.6,1983.6,1984.1,1984.0,292.5,298.6,393.1,405.6,20.0,25.8,42.2,43.4,44.0,30.0,27.6,27.0,0.8,62.0,63.2,6556.9,18528.4,26364.5,1311.4,4201.5,5994.4
Salacgriva,4,4,1.2,1.1,1997.5,1997.5,2005.1,2001.1,155.1,399.1,154.7,101.8,37.0,184.0,318.0,137.0,29.0,31.2,40.2,47.8,1.8,131.7,134.3,7318.0,18284.3,24784.2,1829.5,5243.3,7019.2
Marupe,1,1,1.0,1.7,1999.0,1999.0,1999.0,1999.0,348.0,348.0,348.0,348.0,21.0,21.0,21.0,21.0,9.0,9.0,9.0,9.0,0.5,36.9,37.6,2985.1,8756.4,12075.6,2985.1,11959.0,15078.9
Karsava,1,1,22.3,21.6,2019.0,2019.0,2019.0,2019.0,147.2,147.2,147.2,147.2,16.0,16.0,16.0,16.0,7.0,7.0,7.0,7.0,0.5,35.7,36.3,7923.1,17958.7,23900.6,7923.1,30310.6,37892.2
