,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,360,Indonesia,156,China,14278194983.269001,101543370.379131
1,360,Indonesia,764,Thailand,6779701931.177,25660774.034934003
2,360,Indonesia,392,Japan,7762499992.331,9006325.007661
3,360,Indonesia,702,Singapore,4739428009.767,8326847.892007999
4,360,Indonesia,356,India,4950112947.717,7687634.805424999
5,360,Indonesia,724,Spain,2255662662.141,6647178.0232420005
6,360,Indonesia,410,"Korea, Republic of",3626035317.299,6444809.7231870005
7,360,Indonesia,840,United States of America,11059794260.447,5583307.29412
8,360,Indonesia,036,Australia,3459204185.612,4576989.522617
9,360,Indonesia,608,Philippines,3638435410.8469996,3150292.534558
10,360,Indonesia,344,"China, Hong Kong SAR",372386547.696,2531676.6261810004
11,360,Indonesia,586,Pakistan,1235631049.679,2059429.5967839998
12,360,Indonesia,704,Viet Nam,2168201188.119,1905691.488479
13,360,Indonesia,528,Netherlands (Kingdom of the),1376260542.866,1676703.2836749998
14,360,Indonesia,104,Myanmar,849675817.313,1262247.9530149999
15,360,Indonesia,380,Italy,1004630369.219,1259094.5197609998
16,360,Indonesia,643,Russian Federation,978513602.516,1113867.166237
17,360,Indonesia,276,Germany,2890787570.653,1099206.1055380001
18,360,Indonesia,144,Sri Lanka,189647974.305,984748.2714549999
19,360,Indonesia,818,Egypt,679359960.374,721855.0251089999
20,360,Indonesia,792,Türkiye,1135916066.551,674339.585354
21,360,Indonesia,784,United Arab Emirates,629884018.3610001,639045.53123
22,360,Indonesia,076,Brazil,1301865545.112,592995.786132
23,360,Indonesia,682,Saudi Arabia,794472150.22,495668.680116
24,360,Indonesia,480,Mauritius,77431866.37200001,449552.98003300006
25,360,Indonesia,404,Kenya,212224859.904,436065.831199
26,360,Indonesia,705,Slovenia,64671549.482999995,384178.04072199995
27,360,Indonesia,826,United Kingdom,495521892.285,365075.771818
28,360,Indonesia,804,Ukraine,133842916.054,293207.353707
29,360,Indonesia,554,New Zealand,241936029.681,290377.95707899996
30,360,Indonesia,566,Nigeria,336891623.709,274097.82966
31,360,Indonesia,250,France,943902450.551,260213.265496
32,360,Indonesia,056,Belgium,224392568.489,186186.04132699998
33,360,Indonesia,800,Uganda,88481479.63700001,174981.08555000002
34,360,Indonesia,300,Greece,206879370.04,170879.5
35,360,Indonesia,012,Algeria,146236738.296,151073.181502
36,360,Indonesia,096,Brunei Darussalam,62802568.81,136802.04613099998
37,360,Indonesia,512,Oman,79478621.73,135063.838975
38,360,Indonesia,834,"Tanzania, United Republic of",74042259.033,134815.679208
39,360,Indonesia,204,Benin,60894130.295,118287.247
40,360,Indonesia,462,Maldives,47655470.552999996,113159.6584
41,360,Indonesia,208,Denmark,106074786.03400001,112020.493035
42,360,Indonesia,246,Finland,162604936.431,109665.517254
43,360,Indonesia,364,Iran (Islamic Republic of),84948000.111,108641.61665699999
44,360,Indonesia,604,Peru,210459720.96,108640.20761
45,360,Indonesia,442,Luxembourg,155853650.285,98051.355912
46,360,Indonesia,768,Togo,23524894.049,96693.14899999999
47,360,Indonesia,450,Madagascar,48194922.032,96437.985201
48,360,Indonesia,414,Kuwait,142162847.241,92400.647761
49,360,Indonesia,616,Poland,203417880.765,91024.282337
50,360,Indonesia,024,Angola,113113888.84,88680.508708
51,360,Indonesia,288,Ghana,39202697.414,83555.327096
52,360,Indonesia,524,Nepal,40474514.564,82870.296404
53,360,Indonesia,729,Sudan,69771301.279,71771.216765
54,360,Indonesia,233,Estonia,55060493.492,71026.732844
55,360,Indonesia,620,Portugal,120145239.086,67277.727704
56,360,Indonesia,642,Romania,101093375.426,65750.76157300001
57,360,Indonesia,032,Argentina,154411185.831,64981.947649
58,360,Indonesia,400,Jordan,58384923.644,63756.595024999995
59,360,Indonesia,626,Timor-Leste,20351448.585,59874.411252
60,360,Indonesia,116,Cambodia,79153791.513,59090.891041
61,360,Indonesia,422,Lebanon,52006447.898,51800.649643000004
62,360,Indonesia,752,Sweden,121417202.068,51434.150878
63,360,Indonesia,376,Israel,66778307.953,51290.946684
64,360,Indonesia,152,Chile,83614361.532,47147.786523
65,360,Indonesia,788,Tunisia,31865161.417,46460.964937000004
66,360,Indonesia,882,Samoa,3901564.182,45255.268155000005
67,360,Indonesia,646,Rwanda,25591424.748999998,43019.132336
68,360,Indonesia,508,Mozambique,5638492.6899999995,39808.24037100001
69,360,Indonesia,634,Qatar,55203940.751,36827.307055
70,360,Indonesia,218,Ecuador,93333720.176,35643.037353
71,360,Indonesia,258,French Polynesia,13656091.813,35402.688705
72,360,Indonesia,384,Côte d'Ivoire,37983033.761,34664.86
73,360,Indonesia,031,Azerbaijan,23471040.662,34032.138554
74,360,Indonesia,372,Ireland,29871924.234,33220.364581
75,360,Indonesia,807,North Macedonia,9750116.966,32493.331663999998
76,360,Indonesia,478,Mauritania,7256060.022,31752.105105000002
77,360,Indonesia,504,Morocco,44157365.073,26642.617682
78,360,Indonesia,348,Hungary,39574801.596,26521.536529
79,360,Indonesia,887,Yemen,7704639.002,22846.864171
80,360,Indonesia,203,Czechia,78664294.12099999,22361.967316
81,360,Indonesia,703,Slovakia,37395159.562,21341.389573999997
82,360,Indonesia,100,Bulgaria,20042084.183000002,20812.176743
83,360,Indonesia,578,Norway,34436015.828,18575.658912
84,360,Indonesia,214,Dominican Republic,68041524.259,18533.634839
85,360,Indonesia,688,Serbia,23530109.612999998,17958.721841
