Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Luhuashan,17436,6199,68344.7,102069.2,2006.4,2007.5,2008.5,2008.7,102.5,194.4,177.5,183.9,13.0,38.2,109.1,112.6,20.0,67.7,184.4,182.7,14206.0,1090098.3,1111028.2,57560258.1,153883207.3,183942793.7,3301.2,11424.3,13936.0
Shanghai,8992,2569,126393.3,145038.6,2006.3,2007.0,2007.4,2007.5,264.8,505.5,452.9,441.4,42.0,71.6,145.0,162.1,15.0,43.9,53.3,55.9,17918.4,1379977.8,1406473.3,119718521.8,334548968.7,384998213.5,13313.9,42382.9,50093.9
Dalian,8437,1337,74320.3,87515.3,2006.4,2006.9,2008.3,2008.0,143.4,606.4,333.8,458.4,14.0,89.0,125.9,155.2,7.0,63.7,50.3,64.7,11219.8,863257.7,879832.3,69906230.2,179005454.3,210763592.7,8285.7,24510.0,28459.1
Beilun,6523,2493,133022.9,176349.5,2007.8,2008.4,2009.3,2009.1,295.7,499.3,465.0,469.7,38.0,77.5,93.9,100.1,20.0,51.4,45.8,54.6,15911.3,1229366.3,1252970.1,92029722.8,247974720.5,283424941.1,14108.5,46272.5,55357.4
Taicang,5802,2563,46223.3,75546.0,2006.2,2006.8,2006.9,2007.0,126.5,336.7,405.0,406.7,19.0,57.1,164.4,171.6,35.0,66.1,97.9,102.0,7364.9,566379.2,577253.7,36480432.0,98306495.6,120636569.0,6287.6,23189.3,28375.2
Zhoushan,5666,2183,132518.8,170493.7,2007.2,2007.6,2009.8,2009.4,428.5,656.5,510.6,523.0,48.0,136.6,176.0,190.3,21.0,56.3,48.9,56.4,16811.4,1296203.4,1321090.5,87564178.4,230430039.1,266900993.1,15454.3,51094.2,61751.3
Tianjin,5276,1973,96154.7,115819.3,2007.2,2007.8,2008.2,2008.3,456.5,674.9,643.4,635.1,48.0,84.0,125.7,134.4,21.0,60.9,43.7,50.6,12082.5,931839.6,949731.0,83804236.8,239003276.5,282078220.8,15884.0,52972.5,63746.3
Yantai,4854,540,21985.2,20715.3,2006.0,2005.2,2008.4,2008.3,94.0,574.8,190.9,357.5,8.0,85.1,104.4,149.7,4.0,64.8,39.6,60.8,3485.4,267414.9,272549.2,26845745.2,67182407.7,80807666.7,5530.6,14491.1,15750.7
Qianwan,4597,1601,143089.6,168682.4,2007.1,2008.4,2009.3,2009.2,466.2,604.4,589.3,587.1,47.0,73.2,84.5,88.9,17.0,43.8,35.6,39.1,15565.3,1203649.4,1226759.4,95142521.3,269104683.3,307912170.9,20696.7,69312.6,82314.2
Guishan,4500,1743,18128.0,27022.4,2005.8,2006.9,2007.2,2007.3,65.1,226.7,208.7,220.0,8.0,35.5,192.5,172.2,27.0,71.6,132.5,119.8,5123.1,392076.3,399604.2,23766253.7,58020140.1,68444754.1,5281.4,16023.8,19373.3
