Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,3835,961,149484.1,270532.3,2005.0,2010.7,2009.9,2010.0,551.5,1243.4,1271.5,1321.5,66.0,149.7,480.6,496.9,43.0,92.0,118.8,120.8,12072.6,934384.0,952324.2,67929003.7,164519005.8,200511591.5,17712.9,65002.7,78679.9
Ro-Ro,3312,27,6370.0,3561.3,2007.5,2008.5,2003.9,2002.4,225.3,465.9,237.0,243.0,17.0,166.4,32.2,46.6,9.0,32.4,20.0,26.8,2866.9,214107.6,218218.5,5612051.6,25247713.1,15842058.4,1694.5,4051.7,4982.4
Container,2851,278,111204.4,127213.8,2006.6,2006.7,2006.5,2006.6,585.0,615.2,784.2,776.0,43.0,49.5,74.8,74.1,27.0,28.8,30.6,30.5,14070.8,1089502.9,1110421.3,102509092.6,260670445.7,288841797.2,35955.5,100604.1,114846.2
General cargo,1506,235,15419.8,20525.7,2002.3,2008.2,2003.0,2003.4,509.7,919.3,795.9,767.5,52.5,96.0,135.4,127.8,42.0,73.6,77.4,79.4,2800.6,214606.3,218726.7,11270142.2,37969260.5,55196871.1,7483.5,38193.5,51855.4
Service - tug,1402,104,1935.1,1225.5,2009.3,2006.6,2011.6,2011.2,232.5,1614.3,723.6,754.5,65.5,847.4,1250.9,1205.9,26.0,198.9,439.6,451.5,1459.3,109629.5,111734.4,31347274.9,74126868.5,99251870.5,22359.0,57734.9,77951.9
Vehicle,1239,240,55190.2,19496.8,2007.4,2007.1,2007.6,2007.3,572.3,657.9,754.9,762.8,40.0,46.4,72.1,72.8,12.0,13.7,13.9,14.2,3408.4,264022.0,269091.3,19743076.5,87045798.6,100807906.3,15934.7,60567.7,65184.2
Chemical tanker,1103,165,17323.5,28531.7,2012.1,2011.3,2012.2,2012.2,598.8,622.8,850.2,847.8,54.0,61.0,221.5,220.9,27.0,34.7,56.4,56.6,3194.3,245969.1,250691.7,10451830.8,50626578.4,59215863.4,9475.8,52979.9,64571.6
Cruise,1045,56,32448.0,3395.0,1998.4,1999.8,2000.1,1999.2,525.4,522.0,597.7,593.2,38.0,38.3,51.8,51.6,10.0,11.7,14.8,15.4,7662.8,592563.4,603940.6,13490270.0,67069891.0,77107805.3,12909.3,56234.7,59943.5
Oil tanker,868,217,26619.2,46551.2,2009.9,2009.7,2009.1,2009.1,534.7,1031.0,1131.6,1150.1,58.0,133.6,352.8,355.5,29.0,47.7,68.7,65.4,4079.4,314648.5,320689.7,30734289.5,64182619.9,71918650.4,35408.2,94872.3,116348.9
Ferry-RoPax,847,4,6139.9,1129.7,1998.0,1989.0,1998.0,1998.0,239.3,323.2,247.7,247.3,12.0,119.2,13.0,13.0,11.0,23.5,9.4,9.3,1905.8,146850.8,149670.3,7023186.5,17366017.7,21309481.8,8291.8,17700.4,16129.1
Service - other,489,37,1177.4,774.0,2008.8,2007.2,2007.7,2002.6,607.4,2741.8,1288.8,1329.9,81.0,265.2,735.2,640.3,41.0,199.6,344.7,201.7,800.5,60252.2,61409.0,5400890.3,11081441.2,11940923.9,11044.8,24576.5,27750.3
Liquefied gas tanker,398,63,36040.6,29607.4,2009.0,2011.5,2012.4,2012.3,547.0,2748.1,2553.1,2416.9,58.0,248.1,627.5,606.8,23.0,36.3,80.7,79.9,4146.6,261979.4,267009.4,8063252.3,52527841.9,44956664.1,20259.4,168109.3,255677.9
Ferry-pax only,78,4,22.0,8.4,1993.0,1970.5,1990.0,1976.3,879.6,1444.2,1187.8,1341.8,48.5,209.8,209.7,322.3,36.0,332.5,342.6,611.8,44.9,3373.1,3437.9,690481.3,1406229.8,1771415.0,8852.3,20585.7,27138.7
Miscellaneous - fishing,41,2,35.3,33.5,1997.1,1997.5,2010.9,2012.5,159.9,168.8,442.2,444.6,17.0,31.0,3359.7,3523.6,19.0,44.0,67.9,54.7,34.8,2611.4,2661.6,235468.2,522314.0,593818.1,5743.1,13516.2,16022.6
