Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
China,6411,2566,1852677.6,3339500.7,2010.9,2010.8,2011.2,2011.1,3743.9,3973.7,3758.5,3721.7,315.0,365.6,343.0,343.5,69.0,104.8,106.3,108.0,103978.2,7869094.6,8020181.3,735216329.9,1843926027.7,2059271624.8,114680.4,387986.8,473159.6
Japan,2483,1091,704548.9,1038392.3,2009.7,2010.1,2009.5,2010.2,4063.6,4199.9,4144.5,4111.5,346.0,365.0,371.6,372.8,36.0,82.7,86.3,95.9,46188.1,3330350.8,3394293.5,233427703.2,768697354.0,813108062.2,94010.4,409222.7,532027.8
Singapore,1516,984,176903.8,232656.1,2009.4,2009.9,2009.1,2009.6,2458.1,2855.6,2977.7,2925.2,221.5,263.0,332.7,336.0,37.0,76.1,65.9,73.1,19195.5,1437377.0,1464974.7,113612865.6,335792121.4,378344352.4,74942.5,275066.3,342025.6
Indonesia,962,637,85746.1,138194.0,2008.1,2009.4,2009.7,2009.9,1791.8,2634.3,2875.5,2957.5,174.5,280.4,501.4,523.4,45.0,83.3,94.4,102.4,8039.9,614087.7,625878.2,53212887.9,139690915.1,165733938.3,55314.9,195654.6,243423.1
"Taiwan, Province of China",793,453,164016.4,271802.8,2009.6,2010.2,2009.6,2009.8,3755.0,3660.5,3594.7,3540.2,304.0,336.5,336.8,340.9,39.0,90.9,102.0,107.7,13077.8,995272.5,1014381.7,80958899.8,220272666.5,246790239.0,102091.9,370307.6,454029.7
"Korea, Republic of",727,498,226300.5,378970.2,2010.8,2010.7,2010.4,2010.7,4176.6,4422.4,4534.6,4430.8,355.0,389.9,426.1,429.5,45.0,85.9,184.3,147.7,15705.2,1148495.5,1170546.6,89688361.8,251461949.2,271942140.8,123367.8,455385.1,576017.3
New Zealand,654,263,40841.2,36993.4,2007.1,2007.3,2007.1,2007.8,1430.2,1685.0,1543.2,1675.1,97.0,142.4,139.4,184.6,22.0,46.9,33.1,41.2,6378.3,493516.4,502991.9,29948552.5,96954515.8,110500790.8,45792.9,156649.3,181498.4
Malaysia,635,471,90957.9,147381.5,2009.8,2010.5,2009.6,2010.0,2485.5,2696.4,2601.2,2535.9,198.0,249.1,265.6,271.8,50.0,87.6,96.7,96.2,8421.5,641450.2,653766.0,57544173.0,145793334.3,164240643.4,90620.7,285941.0,349210.0
Hong Kong,362,289,75431.8,129467.9,2010.2,2010.2,2010.2,2010.3,3188.2,3447.9,3267.1,3218.2,262.0,296.7,292.4,292.1,50.0,84.1,84.5,85.8,4801.2,369090.0,376176.5,33639637.1,85732985.8,96559079.5,92927.2,319176.1,388514.2
New Caledonia,276,97,15928.5,7552.9,2006.7,2007.8,2003.5,2009.1,1079.6,2075.7,1298.0,1208.0,81.0,221.8,122.7,165.7,16.5,62.9,27.1,41.0,3046.3,235600.1,240123.7,8199262.5,32664809.7,37118191.1,29707.5,118388.2,133951.2
Philippines,251,238,30207.2,53765.1,2010.7,2010.9,2010.7,2010.5,2777.3,2993.5,3122.0,3131.8,256.0,298.1,366.7,365.5,58.0,98.8,173.1,183.9,2223.0,171236.7,174524.5,14268127.4,37396057.4,45187885.2,56845.1,222306.2,273854.4
