Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nuuk,95,43,1908.0,1398.4,1995.1,1991.8,1996.5,1999.5,2205.0,2572.3,1989.0,2253.0,161.0,335.0,245.6,233.5,44.0,201.2,129.2,115.1,600.0,45811.9,46691.5,3155273.6,8277437.0,9584765.0,33213.4,91786.8,105963.4
Nanortalik Havn,13,13,437.7,102.0,1998.2,1998.2,2000.8,2003.3,1514.4,1899.4,1215.9,1504.3,93.0,228.0,172.2,265.0,37.0,98.6,50.9,101.1,107.6,8191.6,8348.9,390744.5,1345435.9,1523904.0,30057.3,99504.4,107874.5
Tasiilaq,12,11,101.2,41.0,1992.4,1990.2,2002.4,2008.6,816.3,1207.0,996.6,1195.6,112.5,154.7,106.7,124.0,22.0,86.3,229.1,443.0,32.8,2500.7,2548.7,109623.4,399966.0,574460.9,9135.3,36645.5,48476.4
Illulissat (Jakobshavn),10,8,188.8,24.7,1996.5,1997.1,1997.9,1995.9,768.7,1011.0,1135.9,1022.5,59.0,100.4,116.4,162.8,9.5,11.8,17.9,18.2,49.0,3765.7,3838.0,98842.4,484526.2,652717.8,9884.2,43613.1,53942.6
Narsarssuaq,8,7,138.0,70.0,1997.1,1994.3,1995.4,2002.7,1703.9,1430.0,1518.8,1697.3,132.5,131.4,122.9,137.3,22.5,118.9,103.2,129.3,43.3,3308.6,3372.1,154028.1,588686.4,824826.1,19253.5,77901.8,100729.2
Uummannaq Harbor,8,4,82.9,10.7,1996.2,1995.0,1992.1,1991.8,619.7,599.6,853.7,868.4,44.5,42.2,147.8,153.8,7.0,12.0,14.9,14.2,41.9,3221.4,3283.3,28927.0,233113.3,322284.1,3615.9,24633.2,30576.3
Sisimiut,6,6,81.1,25.2,1993.5,1993.5,1995.2,1995.7,986.7,2053.7,1193.3,2133.4,72.5,449.8,588.3,1598.2,16.5,26.8,28.4,37.4,23.8,1816.6,1851.5,152963.9,429390.3,529110.7,25494.0,71692.3,87327.0
Paamuit (Frederikshab),5,5,450.0,130.1,1997.0,1997.0,1989.2,1989.1,930.1,2492.2,4597.8,5221.4,71.0,181.8,579.1,600.5,15.0,11.8,16.1,16.0,44.2,3380.8,3445.7,153329.1,678411.2,803940.0,30665.8,119346.9,131666.5
Pituffik (Thule Air Base),5,4,230.4,274.5,2005.6,2004.5,2007.5,2006.9,3214.3,2633.7,2964.3,2877.7,240.0,194.4,251.4,248.5,49.0,55.9,43.3,47.0,47.2,3628.3,3697.9,126809.7,508687.2,677340.3,25361.9,141102.5,182082.1
Kangerlusuaq,5,5,304.0,163.0,1997.2,1997.2,2004.8,2005.0,6801.9,5352.8,5103.1,3527.1,496.0,394.4,456.1,309.2,13.0,15.4,13.9,9.6,104.3,7870.1,8021.3,217696.2,1004752.0,1491307.3,43539.2,201140.3,275518.7
Nalunaq Gold Mine,4,4,6.5,2.7,1983.8,1983.8,1982.5,1978.1,1019.0,2096.7,1091.7,1589.6,153.5,372.5,466.1,677.1,226.5,320.5,361.2,538.6,8.6,646.7,659.1,17482.6,45182.6,62307.5,4370.6,11884.1,16102.8
Qeqertarsuaq,3,3,39.2,8.4,1989.0,1989.0,1987.4,1987.7,1091.7,937.0,1171.3,961.5,108.0,93.7,111.6,112.7,28.0,34.0,13.8,18.7,11.9,918.1,935.7,35718.6,158005.5,199097.7,11906.2,47728.2,55762.9
Aasiaat,1,1,6.3,2.9,1992.0,1992.0,1992.0,1992.0,977.4,977.4,977.4,977.4,412.0,412.0,412.0,412.0,13.0,13.0,13.0,13.0,0.8,57.6,58.8,19957.5,40948.4,44124.4,19957.5,44408.8,50143.8
Kuummiut,1,1,7.3,5.5,2012.0,2012.0,2012.0,2012.0,1819.4,1819.4,1819.4,1819.4,229.0,229.0,229.0,229.0,13.0,13.0,13.0,13.0,1.7,126.7,129.2,38385.0,85145.3,96801.6,38385.0,90337.3,107089.4
Seqi Olivine Mine,1,1,0.2,0.2,2015.0,2015.0,2015.0,2015.0,629.6,629.6,629.6,629.6,260.0,260.0,260.0,260.0,26.0,26.0,26.0,26.0,0.2,18.1,18.4,4525.3,10701.0,14328.1,4525.3,11685.2,15777.0
