Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,49,31,1120.2,144.6,1989.6,1988.9,1993.3,1990.9,1062.2,1023.0,1038.4,1010.9,89.0,90.5,102.8,103.9,6.0,8.2,8.2,8.4,336.2,25862.9,26359.5,535272.2,3162283.5,4305599.6,10923.9,56427.0,69991.8
Container,42,4,780.0,576.5,1997.2,1997.0,1997.2,1996.4,1620.2,1695.6,1657.1,1647.9,121.0,130.0,140.5,141.4,24.0,18.0,25.4,27.0,241.5,18525.7,18881.4,1289295.6,3269933.3,3692109.1,30697.5,79116.0,89097.1
Miscellaneous - fishing,36,30,227.6,101.1,1993.1,1992.0,1998.1,1999.7,2459.4,2748.0,2820.8,2676.3,351.5,563.6,693.3,662.1,32.0,152.0,121.9,116.0,101.8,7641.3,7788.0,710744.1,1576567.4,1792397.4,19742.9,46464.0,55080.2
Service - other,18,7,70.4,31.7,1991.0,1989.1,1993.6,1993.5,721.9,1251.0,737.8,741.9,108.5,238.8,280.3,280.9,33.0,42.6,51.4,52.3,30.5,2289.2,2333.2,221542.0,454555.5,489811.1,12307.9,27387.1,30923.9
General cargo,14,6,408.2,362.6,2011.3,2004.8,2012.8,2012.0,2195.5,2253.9,2618.8,2623.2,168.5,188.6,285.3,280.8,25.0,63.8,58.2,57.5,93.3,7151.7,7289.1,419177.6,1270927.1,1774558.1,29941.3,127795.1,164028.0
Chemical tanker,7,2,115.1,168.8,2007.4,2006.0,2004.7,2004.7,931.7,2297.6,2416.0,2498.2,94.0,188.2,255.0,258.5,19.0,47.5,70.3,71.0,29.1,2250.7,2293.9,126356.3,448523.7,536999.5,18050.9,75254.4,92374.5
Oil tanker,5,2,315.5,482.0,2006.2,2006.5,2006.2,2006.2,2401.2,2321.8,2377.2,2377.2,198.0,189.2,197.2,197.2,79.0,63.8,63.7,63.7,59.1,4549.9,4637.2,430228.7,1033144.2,1165475.4,86045.7,261840.0,306209.2
Ferry-RoPax,3,1,20.3,1.7,2007.0,2007.0,2007.0,2007.0,681.8,681.8,580.9,580.9,73.0,73.0,102.0,102.0,10.0,10.0,18.4,18.4,5.7,436.4,444.8,10653.3,26344.8,32325.3,3551.1,7580.2,6904.0
Service - tug,2,2,4.4,4.0,1997.5,1997.5,1983.5,1983.9,1995.5,1995.5,2279.9,2267.0,794.0,794.0,617.4,622.7,74.0,74.0,17.3,19.0,2.7,206.1,210.1,102056.1,241331.9,323130.3,51028.0,131763.5,177903.1
Bulk carrier,1,1,7.4,15.9,1982.0,1982.0,1982.0,1982.0,2224.8,2224.8,2224.8,2224.8,240.0,240.0,240.0,240.0,75.0,75.0,75.0,75.0,2.9,218.5,222.7,33682.1,76397.9,92035.5,33682.1,101561.8,126764.8
Refrigerated bulk,1,1,3.3,3.8,1983.0,1983.0,1983.0,1983.0,2519.2,2519.2,2519.2,2519.2,296.0,296.0,296.0,296.0,350.0,350.0,350.0,350.0,5.7,429.5,437.7,11397.2,24903.3,28051.3,11397.2,24287.2,26222.9
Vehicle,1,1,2052.4,617.1,1988.0,1988.0,1988.0,1988.0,48351.7,48351.7,48351.7,48351.7,3337.0,3337.0,3337.0,3337.0,13.0,13.0,13.0,13.0,132.3,10251.6,10448.4,624906.4,2755167.2,3190764.4,624906.4,2375268.9,2556310.3
