Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nuuk,363,55,779.8,430.6,1995.9,1991.9,1998.4,2000.3,234.8,1092.3,416.9,379.4,24.0,287.3,791.4,588.4,9.0,55.2,74.0,60.0,384.9,29183.4,29743.7,1663582.2,4169341.9,5001793.6,4582.9,12348.9,14870.1
Sisimiut,304,52,532.4,220.8,1995.5,1992.6,1995.7,1998.5,208.6,840.8,325.3,312.7,21.0,183.6,256.5,246.9,11.0,46.6,73.5,75.2,258.5,19578.5,19954.4,1069093.1,2866986.3,3634985.2,3516.8,9778.8,12285.0
Aasiaat,208,32,248.8,173.3,1993.9,1993.3,1997.5,1997.5,200.6,1031.6,320.4,305.4,22.0,208.2,416.3,469.9,13.0,62.2,76.6,63.0,128.4,9718.3,9904.9,677747.0,1662677.8,1987166.3,3258.4,8549.9,10303.3
Illulissat (Jakobshavn),185,36,337.6,140.2,1991.7,1990.4,1991.9,1993.7,213.3,380.3,302.6,342.0,25.0,57.6,58.1,68.9,7.0,19.8,22.5,26.1,143.2,10927.3,11137.1,429417.9,1385990.0,1900567.1,2321.2,7516.4,9821.7
Maniitsoq,159,24,153.3,92.2,1995.4,1995.5,1995.5,1995.9,149.5,473.3,242.4,243.9,17.0,193.5,71.0,60.8,6.0,177.7,49.9,46.8,89.8,6815.5,6946.3,288616.7,726690.2,862889.1,1815.2,4836.2,5758.9
Uummannaq Harbor,92,21,126.3,56.9,1994.6,1991.0,1995.6,1993.8,272.3,669.2,384.5,414.7,46.0,113.0,94.9,121.1,25.0,59.8,58.1,122.1,63.5,4822.9,4915.5,213486.5,638415.9,909508.6,2320.5,7329.7,9943.9
Paamuit (Frederikshab),87,19,111.3,66.2,1991.5,1993.4,1998.0,1997.8,198.4,433.2,228.3,223.3,19.0,57.8,45.2,39.1,12.0,56.1,40.6,33.8,46.9,3574.0,3642.6,184254.8,479152.7,581481.7,2117.9,5871.2,7029.4
Narsarssuaq,67,19,166.1,97.7,1993.5,1991.7,1993.9,1996.0,323.0,430.9,317.7,327.3,31.0,65.4,40.2,41.8,4.0,49.5,24.7,20.0,59.0,4529.3,4616.2,250367.9,714569.1,866333.3,3736.8,10987.2,12970.4
Qeqertarsuaq,55,22,47.7,16.5,1996.5,1993.1,1993.9,1996.0,180.5,258.9,184.3,240.3,18.0,34.5,42.6,63.9,12.0,34.9,33.9,74.5,25.8,1961.7,1999.3,62096.6,228662.4,368866.1,1129.0,4323.1,6463.6
Nanortalik Havn,54,20,153.8,78.7,1997.4,1994.0,1996.6,2000.1,358.6,383.3,410.3,412.9,32.5,48.5,125.8,108.0,18.5,25.3,20.2,22.4,60.3,4617.1,4705.8,218212.6,657821.1,819709.3,4041.0,12595.4,15180.7
Toqqusaq,48,6,10.9,7.0,1993.9,1995.0,1995.9,1996.8,86.8,249.6,200.9,193.4,9.5,53.8,84.3,63.1,28.0,32.3,109.9,117.4,17.3,1301.3,1326.3,36839.4,88434.8,109194.2,767.5,2045.8,2568.1
Kangerlusuaq,46,18,98.5,22.6,1991.3,1990.8,1989.3,1989.4,165.6,222.2,204.5,209.4,15.5,21.4,20.3,20.8,5.0,9.5,7.4,10.8,41.3,3171.7,3232.6,70841.3,343506.7,539156.3,1540.0,7005.6,10065.9
Gronnedal (Kangilinnguit),35,17,31.0,13.0,1988.0,1991.4,1995.8,1995.6,238.7,340.7,262.3,255.8,23.0,93.8,80.6,87.1,22.0,69.2,44.8,48.7,20.3,1530.5,1559.9,59105.7,179017.2,269922.5,1688.7,5412.0,7692.2
Tasiilaq,16,9,101.4,38.2,1994.9,1991.4,1993.1,1998.9,506.0,726.1,573.4,579.0,42.0,71.3,49.1,54.8,5.0,20.2,7.5,12.4,35.0,2688.6,2740.2,97235.2,399480.5,525071.1,6077.2,24146.9,29535.7
Qasigiannguit-Christianshab,10,5,12.7,5.0,1989.1,1989.2,2006.6,2006.5,249.9,268.0,283.9,357.4,22.0,32.9,32.2,49.5,15.0,52.7,16.4,15.5,5.8,441.9,450.4,21969.8,53902.9,66413.6,2197.0,5937.1,7003.4
Nalunaq Gold Mine,7,6,6.9,2.1,1995.0,1993.2,2001.7,2001.5,176.1,238.6,186.4,217.5,24.0,56.2,49.1,94.9,9.0,8.2,9.2,8.9,3.5,263.1,268.1,9503.5,31235.3,47569.6,1357.6,4684.5,6604.7
Pituffik (Thule Air Base),4,3,46.9,16.6,2005.5,2005.0,2008.6,2014.5,1014.4,1122.2,1109.6,1434.1,150.0,191.7,215.0,316.6,17.0,15.8,18.1,17.8,13.8,1059.1,1079.5,39425.5,119180.2,174986.2,9856.4,35190.7,45357.6
Kuummiut,2,1,2.9,2.8,2006.0,2006.0,2006.0,2006.0,545.9,545.9,545.9,545.9,62.5,62.5,62.4,62.4,10.5,10.5,10.6,10.6,1.3,101.0,102.9,9875.5,24818.5,30593.8,4937.8,14527.7,17811.6
