,imp_code_str3,imp_name,HS2,Description,USD,tonne
0,616,Poland,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",15569640032.403,32838108.476266
1,616,Poland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14651136882.995,1715231.431843
2,616,Poland,72,Iron and steel,7764564292.451,9843946.421169
3,616,Poland,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",7300692543.8,889071.661863
4,616,Poland,39,Plastics and articles thereof,6971045749.302,2824048.405223
5,616,Poland,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",3809072179.589,464364.00342100003
6,616,Poland,73,Iron or steel articles,2772062232.94,1461205.258398
7,616,Poland,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",2737415095.9179997,3142861.368251
8,616,Poland,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1767095745.87,561573.325586
9,616,Poland,40,Rubber and articles thereof,1626018802.708,609814.586608
10,616,Poland,38,Chemical products n.e.c.,1571018433.589,785682.115382
11,616,Poland,76,Aluminium and articles thereof,1407476942.805,384005.654164
12,616,Poland,89,"Ships, boats and floating structures",1320906661.684,464211.265817
13,616,Poland,29,Organic chemicals,1138646324.398,947307.99202
14,616,Poland,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1090150606.797,395225.484565
15,616,Poland,44,Wood and articles of wood; wood charcoal,993008176.83,2701741.627049
16,616,Poland,95,"Toys, games and sports requisites; parts and accessories thereof",976016134.802,95616.037266
17,616,Poland,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",875006181.8989999,1186386.424532
18,616,Poland,23,"Food industries, residues and wastes thereof; prepared animal fodder",761019937.138,1308587.193039
19,616,Poland,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",708058790.547,382936.855792
20,616,Poland,22,"Beverages, spirits and vinegar",644327364.358,371324.213666
21,616,Poland,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",643335536.308,189802.576614
22,616,Poland,08,"Fruit and nuts, edible; peel of citrus fruit or melons",608512816.402,528114.687209
23,616,Poland,83,Metal; miscellaneous products of base metal,561011438.172,166343.569822
24,616,Poland,70,Glass and glassware,546744600.1949999,708266.549537
25,616,Poland,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",513034127.73,211589.36953499998
26,616,Poland,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",465241431.134,57137.490098
27,616,Poland,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",441496998.18,22788.42319
28,616,Poland,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",432395178.841,508685.663816
29,616,Poland,88,"Aircraft, spacecraft, and parts thereof",414471016.415,1154.724492
30,616,Poland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",398756193.626,613366.099553
31,616,Poland,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",358329979.065,89288.042377
32,616,Poland,02,Meat and edible meat offal,357416855.915,182908.288442
33,616,Poland,21,Miscellaneous edible preparations,325028727.775,94415.446152
34,616,Poland,74,Copper and articles thereof,298073025.089,60842.125052999996
35,616,Poland,20,"Preparations of vegetables, fruit, nuts or other parts of plants",248660211.495,161472.85804
36,616,Poland,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",242946560.94,99063.49573400001
37,616,Poland,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",235684263.70000002,39405.241288000005
38,616,Poland,31,Fertilizers,225491817.744,981083.279155
39,616,Poland,17,Sugars and sugar confectionery,216592923.327,256925.703457
40,616,Poland,07,Vegetables and certain roots and tubers; edible,203645800.63099998,158626.111271
41,616,Poland,30,Pharmaceutical products,196471538.295,3942.348027
42,616,Poland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",189666096.695,19481.309226
43,616,Poland,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",176988622.739,1088267.929887
44,616,Poland,96,Miscellaneous manufactured articles,175253428.255,21033.687436
45,616,Poland,09,"Coffee, tea, mate and spices",175208112.479,54761.927690000004
46,616,Poland,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",174884208.483,203298.40935200002
47,616,Poland,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",169355299.64900002,46372.376012
48,616,Poland,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",161437153.908,62777.750081
49,616,Poland,35,Albuminoidal substances; modified starches; glues; enzymes,156365829.912,44251.046200000004
50,616,Poland,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,146307041.209,246686.427799
51,616,Poland,26,"Ores, slag and ash",110671253.64999999,358740.301853
52,616,Poland,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",99652626.92,20597.578035000002
53,616,Poland,55,Man-made staple fibres,87565848.911,45380.134209
54,616,Poland,62,Apparel and clothing accessories; not knitted or crocheted,86910607.318,3609.831286
55,616,Poland,05,Animal originated products; not elsewhere specified or included,85984300.977,106303.04533800001
56,616,Poland,57,Carpets and other textile floor coverings,85127730.951,47122.096306
57,616,Poland,69,Ceramic products,84515995.672,52287.063526000005
58,616,Poland,54,Man-made filaments; strip and the like of man-made textile materials,77246157.277,39577.768027
59,616,Poland,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",71956469.404,20369.523878
60,616,Poland,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",71650012.25299999,11004.400079000003
61,616,Poland,93,Arms and ammunition; parts and accessories thereof,67642557.146,2858.980874
62,616,Poland,61,Apparel and clothing accessories; knitted or crocheted,64942373.706,3875.826719
63,616,Poland,60,Fabrics; knitted or crocheted,63969229.569,9799.821784
64,616,Poland,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",61180588.825,111320.957618
65,616,Poland,78,Lead and articles thereof,59101924.818,36821.203303
66,616,Poland,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",56189378.844,6350.735809
67,616,Poland,79,Zinc and articles thereof,49732057.416,13738.920594
68,616,Poland,10,Cereals,49472896.611,101866.23322
69,616,Poland,80,Tin; articles thereof,40282672.33,5516.327678
70,616,Poland,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36791787.453999996,15428.039224
71,616,Poland,18,Cocoa and cocoa preparations,34701925.719000004,6742.266863
72,616,Poland,64,Footwear; gaiters and the like; parts of such articles,34253311.445,1257.767537
73,616,Poland,41,Raw hides and skins (other than furskins) and leather,28877786.46,4542.279207
74,616,Poland,13,"Lac; gums, resins and other vegetable saps and extracts",27170798.557000004,4148.376834000001
75,616,Poland,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",23461554.406,11418.087991999999
76,616,Poland,75,Nickel and articles thereof,23329789.299,4564.007232
77,616,Poland,37,Photographic or cinematographic goods,22465185.992000002,2500.7379490000003
