Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Argentina,250,30,218.6,268.1,1995.3,1996.1,1990.5,1988.3,461.0,463.1,511.7,544.0,107.0,99.0,147.7,158.7,24.5,35.1,99.7,94.5,157.3,11819.7,12046.7,1495084.2,3549180.3,4635414.0,5980.3,16864.0,23014.8
Uruguay,107,17,245.8,235.8,1993.3,1992.4,1987.5,1986.4,939.5,948.7,908.6,908.9,168.0,182.3,181.6,184.1,25.0,35.6,124.4,122.9,95.5,7181.8,7319.7,879833.8,2809936.7,3099951.4,8222.7,23829.7,32826.6
Bolivia (Plurinational State of),10,4,2.7,3.0,2002.2,2004.0,2010.9,2013.1,324.2,341.6,356.3,371.5,117.5,289.5,346.2,292.4,5.0,4.5,4.5,4.4,3.1,229.6,234.0,77177.7,182501.9,244360.2,7717.8,19928.7,26907.1
Singapore,5,1,2.7,2.7,1980.0,1980.0,1980.0,1980.0,170.1,170.1,157.7,157.7,16.0,16.0,16.9,16.9,22.0,22.0,34.8,34.8,0.5,40.5,41.3,8592.0,24648.8,35422.2,1718.4,5601.2,8055.9
Bahrain,4,1,0.2,0.0,2000.0,2000.0,2000.0,2000.0,62.7,62.7,261.5,261.5,111.5,111.5,579.4,579.4,13.0,13.0,13.8,13.8,1.8,137.8,140.4,229.3,470.6,507.0,57.3,127.6,144.1
Japan,3,2,27.1,32.3,2000.0,1995.0,2009.1,2008.8,526.0,1045.0,1544.9,1476.6,42.0,149.2,417.8,414.1,14.0,21.8,47.3,47.0,9.1,696.0,709.4,75254.7,177273.1,200578.4,25084.9,64687.4,73581.3
China,3,3,2.5,2.9,2003.3,2003.3,2007.5,2005.4,220.7,190.2,203.0,194.6,19.0,161.7,92.1,63.7,15.0,18.3,16.9,15.5,1.5,111.9,114.0,14739.2,30243.4,38163.8,4913.1,12690.6,16096.2
Peru,2,2,1.6,1.3,2014.0,2014.0,2014.0,2014.0,638.4,638.4,638.4,638.4,144.0,144.0,143.6,143.6,11.5,11.5,11.2,11.2,1.2,87.3,89.0,32659.3,77229.5,103406.1,16329.7,42166.1,56931.4
Iran (Islamic Republic of),2,1,99.8,184.3,1999.0,1999.0,1999.0,1999.0,327.9,327.9,327.9,327.9,88.0,88.0,138.3,138.3,167.5,167.5,283.9,283.9,34.0,2630.2,2680.7,43830.2,73874.2,76907.2,21915.1,59467.5,74490.8
"Korea, Republic of",1,1,2.6,4.1,1980.0,1980.0,1980.0,1980.0,823.6,823.6,823.6,823.6,124.0,124.0,124.0,124.0,6.0,6.0,6.0,6.0,0.9,66.3,67.6,18350.8,3276.1,5029.3,18350.8,47645.5,60658.4
