Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Torshavn,445,85,3956.0,2414.2,1998.8,1996.1,2001.0,2000.4,569.4,1122.5,539.3,616.8,44.0,173.7,65.9,75.3,13.0,88.8,32.3,45.3,1073.6,81356.0,82918.0,5695428.6,18670415.5,19413564.6,12798.7,36259.4,41492.4
Runavik,128,71,1023.1,899.1,1995.0,1993.1,1993.4,1994.0,1308.8,1827.0,1407.6,1400.4,111.5,271.4,386.3,309.7,39.5,182.1,203.4,150.3,481.2,36353.1,37051.0,3394231.4,7741923.7,8710305.9,26517.4,60650.8,69049.4
Klaksvik,105,66,402.3,329.6,1991.9,1992.3,1991.8,1995.0,754.7,1263.9,1186.8,1081.6,84.0,224.4,352.1,260.6,20.0,64.6,87.6,93.2,181.0,13657.3,13919.6,1359310.7,3461182.9,3880360.8,12945.8,32635.3,39216.0
Fuglafjordur,86,52,472.9,373.6,1993.5,1993.3,1996.3,1998.4,758.3,1811.1,1975.9,1594.1,92.0,306.7,867.8,634.4,17.0,80.6,163.6,124.7,159.8,12069.7,12301.5,1620702.0,3816898.2,4565924.0,18845.4,49307.5,59725.0
Nolsoy,84,44,394.4,390.5,1998.7,1995.0,2003.0,2003.7,633.8,842.2,655.0,706.6,57.5,88.3,79.6,76.3,12.0,53.8,48.4,43.3,150.0,11364.9,11583.1,898377.1,2483608.0,2868310.4,10695.0,30183.0,35875.6
Kollafjordur,69,31,424.2,329.4,1998.6,1996.0,2000.0,1999.4,747.6,1318.6,735.9,822.4,65.0,153.9,120.0,125.6,18.0,113.4,59.5,52.2,151.4,11482.7,11703.2,966585.0,2471782.0,2899472.3,14008.5,37817.6,43485.2
Toftir,37,23,130.4,78.7,1983.7,1991.1,2001.8,1992.8,558.5,1176.7,755.5,828.3,76.0,262.2,164.4,194.8,18.0,103.4,62.4,67.5,61.5,4666.7,4756.3,258975.1,659824.2,785333.6,6999.3,18252.0,21519.0
Leirvik,36,20,86.5,108.5,1991.2,1990.8,1994.8,1994.8,739.3,1033.8,1044.6,1023.3,85.5,103.8,151.7,155.2,21.5,106.6,66.1,57.3,44.2,3329.4,3393.3,343312.4,945484.2,1139886.2,9536.5,26442.4,34305.3
Hoyvik,26,18,71.8,72.2,1991.7,1991.7,1991.3,1994.7,542.2,639.3,510.5,608.0,50.0,71.3,71.7,81.6,14.0,34.5,21.2,23.1,24.7,1866.6,1902.4,189368.4,880031.2,768315.5,7283.4,22884.8,30507.4
Eidi,24,8,21.3,26.1,1985.4,1988.2,1989.1,1988.2,405.8,472.6,462.2,481.6,41.0,51.8,57.6,55.8,13.5,27.9,37.4,31.2,13.3,1008.8,1028.1,105165.2,250089.8,302210.5,4381.9,11911.8,14678.9
Tvoroyri,21,19,66.2,70.9,1994.3,1993.4,1993.2,1994.3,664.4,1063.5,918.2,897.2,71.0,153.8,272.1,251.8,10.0,33.6,75.8,78.3,37.4,2829.9,2884.3,241375.5,695505.9,671634.4,11494.1,27199.8,32388.6
Vagur,20,17,52.5,42.7,1994.6,1995.7,1996.6,1997.2,596.5,1043.9,998.6,976.0,82.5,122.1,190.0,153.5,22.5,149.0,367.3,439.6,25.8,1940.4,1977.6,268657.5,618279.5,697086.2,13432.9,32201.3,38538.6
Skali,18,16,47.7,47.9,1993.2,1992.2,2003.0,2003.2,637.6,962.3,962.9,860.1,96.0,146.3,239.0,216.2,14.0,40.7,59.2,48.2,20.0,1505.6,1534.5,250660.5,579308.5,681945.5,13925.6,34333.1,41725.9
Thorshavn,18,11,39.2,49.0,1997.6,1998.6,1997.3,1998.1,523.5,564.3,638.3,627.7,54.0,58.0,78.1,77.5,18.5,108.7,34.0,26.4,15.1,1142.1,1164.0,127145.7,536531.6,498524.8,7063.6,22290.8,30649.9
Lopra,15,11,20.8,19.4,1982.5,1987.0,1988.8,1989.8,569.8,967.7,808.6,879.2,65.0,134.1,177.7,156.0,22.0,42.9,44.8,40.1,11.1,836.6,852.7,79878.8,189884.2,239168.3,5325.3,13754.9,17457.4
Streymnes,11,5,14.3,19.1,1984.6,1987.8,1982.2,1982.5,454.1,495.5,544.5,546.1,49.0,54.3,60.0,60.2,12.0,31.1,20.4,20.4,5.1,382.9,390.2,48548.2,125359.9,167938.8,4413.5,13871.5,18743.3
Strendur,8,8,52.4,36.9,1992.6,1992.6,1996.2,1998.2,688.7,1513.7,1512.0,982.1,56.0,90.8,91.7,75.8,24.5,417.6,1640.8,1003.1,17.6,1327.1,1352.6,162722.8,378869.7,437943.9,20340.3,50489.3,59879.5
Vestmanna,7,3,48.5,56.6,1992.1,1995.7,1998.3,1999.4,1550.9,1693.2,1912.7,1954.3,125.0,137.8,201.6,193.8,7.0,24.3,31.4,29.1,28.2,2125.2,2166.0,108998.3,255956.3,303633.8,15571.2,40500.8,47690.0
Nordregota,6,5,22.1,22.5,1986.8,1990.0,2001.5,2001.0,676.9,1452.5,1645.7,1655.0,62.5,169.5,386.3,381.2,12.0,17.4,37.7,37.5,7.9,591.7,603.1,133505.1,363476.1,367727.5,22250.9,54308.8,67063.9
Noryskali,5,5,5.9,7.5,1993.8,1993.8,1996.9,1995.3,427.9,537.9,520.9,497.1,48.0,62.6,58.4,59.4,4.0,8.2,6.5,7.1,2.5,192.1,195.8,23103.0,62275.9,85521.7,4620.6,13739.9,18866.9
Sorvagur,4,4,17.0,9.8,1985.8,1985.8,1993.1,1992.9,665.8,690.2,636.4,677.0,65.5,58.2,40.8,48.0,20.5,19.8,15.2,18.6,5.3,405.0,412.8,20581.8,58581.5,71382.4,5145.4,14343.0,17035.3
