Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Runavik,136,52,867.3,527.2,1995.7,1993.0,1994.5,1996.8,482.0,2929.7,2970.3,2100.2,135.5,571.1,1780.3,1800.1,23.0,195.2,270.3,223.5,229.2,17338.6,17671.5,3676144.5,8161372.7,9289736.5,27030.5,63693.3,75562.9
Torshavn,115,46,926.9,306.9,1990.4,1991.2,2002.0,1998.3,1142.0,2453.1,3085.5,1591.3,227.0,468.8,870.0,782.1,32.0,238.9,159.8,227.0,384.6,29307.3,29870.0,1900205.1,4756522.6,5343572.0,16523.5,37389.4,39845.0
Fuglafjordur,106,41,825.5,516.4,1989.4,1993.7,1995.4,1996.8,704.9,3097.9,3480.8,2647.4,124.0,602.1,1419.7,1430.5,39.0,277.8,526.4,476.2,246.2,18658.9,19017.2,3529016.9,7874766.7,9014080.3,33292.6,79008.2,94192.8
Toftir,95,31,96.9,85.8,1986.6,1986.9,1993.4,1994.3,297.4,1633.7,753.7,661.8,41.0,394.5,541.2,429.2,33.0,167.2,280.5,245.2,83.6,6284.5,6405.2,515049.4,1149537.9,1321485.0,5421.6,12832.6,15264.5
Klaksvik,80,41,277.8,182.2,1988.7,1985.9,1995.2,1996.8,789.1,2535.2,2152.7,1615.0,165.5,621.3,744.4,656.2,14.5,168.8,862.4,615.0,131.0,9860.7,10050.0,1151632.7,2616750.0,2942043.1,14395.4,33922.6,40294.8
Lopra,69,30,58.0,51.5,1992.8,1989.6,1992.4,1992.9,493.3,1204.1,887.8,797.4,55.0,154.2,136.7,110.1,37.0,322.4,479.8,374.3,53.3,4003.1,4079.9,303033.7,680308.5,784843.1,4391.8,10422.6,12424.0
Tvoroyri,64,29,527.8,159.8,1993.5,1989.3,2002.8,2000.6,977.3,1928.0,2534.9,1646.1,93.5,303.8,189.6,230.0,54.5,308.7,421.4,413.1,213.8,16297.2,16610.1,1019956.6,2409663.1,2870423.8,15936.8,35628.5,37120.2
Leirvik,48,21,96.1,76.8,1987.5,1992.8,2001.2,2001.0,340.6,1176.8,1105.9,890.5,35.0,298.7,379.9,316.0,30.0,106.1,236.1,219.8,42.9,3237.6,3299.8,479302.7,1096961.7,1269529.5,9985.5,24256.5,29362.7
Vagur,47,28,101.8,65.6,1991.3,1990.0,1993.1,1993.5,446.3,1523.4,1783.2,1344.5,63.0,265.5,571.5,524.7,32.0,306.7,829.2,709.1,56.4,4239.1,4320.4,461284.0,1023216.8,1163293.8,9814.6,23098.1,27381.4
Strendur,34,13,22.5,17.4,1991.8,1990.3,1999.9,2000.2,288.0,1549.9,482.2,364.1,41.0,337.8,676.9,439.3,48.0,189.8,337.5,235.5,23.9,1794.0,1828.5,115531.3,257199.5,294312.3,3398.0,8042.9,9573.0
