Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,271,51,492.8,647.7,1990.8,1992.8,1996.8,1997.1,454.1,814.5,648.7,654.7,55.0,94.2,139.7,144.0,15.0,27.8,46.7,48.3,169.5,12842.0,13088.6,1404484.7,4080345.1,5754099.0,5182.6,18809.6,25319.6
Miscellaneous - fishing,251,117,1276.7,767.6,1994.0,1991.1,1995.3,1997.3,1089.6,2088.0,1972.6,1766.0,146.0,434.9,734.5,669.0,25.0,191.1,354.2,350.0,522.3,39324.9,40080.0,5397866.3,11973508.0,13612666.1,21505.4,50612.1,59997.5
Container,213,14,1611.1,1934.2,2003.4,2006.4,2002.3,2002.5,574.4,623.6,626.3,627.3,51.0,51.3,51.7,51.7,12.0,12.4,18.1,18.0,521.8,39652.0,40413.4,2478899.1,8040401.2,9139053.8,11638.0,39862.3,47305.4
Refrigerated bulk,137,49,1060.8,1125.2,1993.8,1992.4,1993.1,1993.3,1471.8,1578.2,1540.4,1546.0,118.0,137.4,178.9,174.1,52.0,56.1,73.4,71.1,619.7,46793.4,47691.9,3337997.4,7293686.4,8215651.7,24364.9,51921.4,56059.5
Ferry-RoPax,108,1,1741.1,295.9,2003.0,2003.0,2003.0,2003.0,564.3,564.3,448.2,448.2,32.0,32.0,30.8,30.8,5.0,5.0,10.3,10.3,312.9,23690.3,24145.1,1838528.8,4546536.2,5578629.2,17023.4,36338.2,33096.5
Chemical tanker,71,22,195.6,285.6,2005.0,2003.4,2008.3,2008.1,672.9,581.8,686.0,676.4,71.0,61.3,81.4,81.1,17.0,26.8,28.9,28.9,91.2,6887.7,7019.9,599587.2,1700551.6,2137013.0,8444.9,27149.3,34259.0
Ro-Ro,53,3,205.5,196.1,1980.5,1979.7,1980.5,1980.5,630.1,617.8,850.4,849.9,54.0,63.2,83.0,83.0,6.0,6.8,27.1,27.0,84.8,6382.0,6504.5,711475.8,5485206.0,2588417.6,13424.1,32760.4,46701.2
Cruise,32,23,644.3,74.2,1988.4,1990.6,1999.9,1994.3,361.6,544.3,490.7,458.6,31.5,42.0,42.8,43.7,9.0,10.0,12.6,12.3,150.1,11476.4,11696.7,328672.4,1614354.7,1943402.8,10271.0,43972.4,48300.6
Service - other,12,9,24.5,12.7,1986.4,1991.2,1998.9,1998.2,559.3,657.9,752.5,810.8,74.5,78.8,166.8,156.8,16.5,203.0,263.5,449.9,14.5,1085.3,1106.1,88718.9,182031.8,196150.3,7393.2,16451.2,18575.7
Vehicle,11,1,97.6,39.2,1996.0,1996.0,1996.0,1996.0,450.7,450.7,467.3,467.3,30.0,30.0,29.7,29.7,13.0,13.0,14.1,14.1,19.1,1475.3,1503.6,39711.4,175084.9,202766.2,3610.1,13722.1,14768.0
Bulk carrier,8,2,18.4,24.6,1979.2,1989.0,1980.3,1980.4,744.0,744.0,716.5,716.7,75.0,80.5,79.8,79.8,11.5,13.0,11.9,11.9,6.2,469.0,478.0,52031.4,118018.1,142174.7,6503.9,19611.4,24478.0
Service - tug,3,3,0.4,0.3,1986.0,1986.0,1987.4,1987.5,511.7,556.2,534.1,523.3,83.0,99.3,97.2,97.3,84.0,113.0,134.4,147.8,1.4,105.1,107.1,6762.4,15991.0,21411.0,2254.1,5820.6,7858.7
Oil tanker,2,1,0.4,0.6,1962.0,1962.0,1962.0,1962.0,573.1,573.1,573.1,573.1,66.5,66.5,76.8,76.8,69.0,69.0,81.1,81.1,2.1,154.4,157.3,2516.6,449.3,689.7,1258.3,3267.0,4159.3
Ferry-pax only,1,1,0.4,0.1,1991.0,1991.0,1991.0,1991.0,3000.5,3000.5,3000.5,3000.5,479.0,479.0,479.0,479.0,25.0,25.0,25.0,25.0,1.3,95.9,97.8,9380.7,19104.6,24065.9,9380.7,21814.3,28758.5
