Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,36,6,11.0,15.4,1977.6,1977.2,1977.9,1978.1,162.4,296.8,169.7,161.4,17.0,61.2,32.6,30.3,15.5,34.5,33.3,31.2,7.6,577.5,588.6,48303.6,138574.2,199141.5,1341.8,4373.6,6290.3
Ferry-RoPax,32,2,2.0,0.5,1970.2,1972.0,1970.3,1970.3,86.0,87.2,81.9,81.9,11.0,17.8,31.0,31.0,5.0,5.2,17.5,17.5,5.3,395.9,403.6,18370.5,39743.5,52841.1,574.1,1281.6,1826.4
Service - tug,26,4,0.9,0.7,1974.5,1972.0,1974.5,1974.5,109.3,132.2,137.6,138.1,25.5,28.5,36.9,37.0,13.0,25.8,40.7,40.9,2.7,201.7,205.5,16833.5,39806.2,53298.3,647.4,1671.8,2257.2
Cruise,18,8,12.1,1.3,1982.1,1982.1,1988.5,1986.5,85.8,89.4,90.9,87.3,15.0,22.2,16.6,16.2,13.5,16.9,12.3,13.8,11.6,882.6,899.5,8037.2,32459.8,59608.2,446.5,1822.1,3064.4
Oil tanker,11,2,361.8,684.0,2003.6,2006.5,2009.9,2009.9,120.8,1189.5,1718.3,1809.1,13.0,230.5,439.3,441.1,42.0,81.0,121.4,121.7,25.1,1931.0,1968.0,179341.5,290436.4,300312.2,16303.8,45455.2,57395.7
Ro-Ro,10,3,1.6,2.3,1979.9,1981.3,1977.7,1977.7,137.4,197.1,183.5,184.0,18.5,30.0,28.1,28.4,66.0,69.5,90.1,89.9,8.8,659.2,671.9,8454.0,65177.4,30756.6,845.4,2063.1,2941.1
Liquefied gas tanker,7,1,6.0,6.2,2007.0,2007.0,2007.0,2007.0,178.1,178.1,178.9,178.9,17.0,17.0,23.2,23.2,9.0,9.0,13.5,13.5,3.8,289.3,294.9,4681.9,13564.2,14979.2,668.8,3661.9,4815.5
Chemical tanker,4,1,3.9,5.5,2010.0,2010.0,2010.0,2010.0,306.1,306.1,310.2,310.2,34.0,34.0,46.0,46.0,46.0,46.0,44.5,44.5,3.6,270.2,275.4,19528.3,49077.2,60497.5,4882.1,14363.8,17610.7
Ferry-pax only,4,2,9.5,1.8,1993.0,1993.0,1983.3,1984.1,8515.2,8695.0,11418.0,6587.2,1483.5,1979.8,3937.4,3787.3,20.0,67.5,8.6,16.3,14.1,1057.0,1077.3,146327.4,298009.5,375399.8,36581.9,85069.4,112149.5
Bulk carrier,3,2,3.2,4.9,2008.3,2009.0,2010.3,2010.4,75.9,287.2,239.5,248.2,21.0,39.8,52.4,52.8,45.0,45.0,44.5,44.5,0.9,71.5,72.9,10331.2,23433.2,28229.7,3443.7,10383.9,12960.7
Container,1,1,1.7,2.3,2007.0,2007.0,2007.0,2007.0,166.8,166.8,166.8,166.8,18.0,18.0,18.0,18.0,5.0,5.0,5.0,5.0,0.4,28.6,29.1,2125.4,8244.9,9407.9,2125.4,8899.4,10859.3
Vehicle,1,1,11.0,3.1,1997.0,1997.0,1997.0,1997.0,249.8,249.8,249.8,249.8,34.0,34.0,34.0,34.0,7.0,7.0,7.0,7.0,1.2,94.6,96.4,3159.8,13931.3,16133.9,3159.8,12010.4,12925.8
