Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,36,6,8.8,12.8,1977.6,1977.2,1978.1,1978.0,113.1,151.9,135.9,133.8,18.5,21.8,30.9,31.3,7.0,15.1,5.7,5.5,6.0,456.7,465.5,40056.0,114913.3,165139.0,1112.7,3626.8,5216.2
Ferry-RoPax,32,2,2.1,0.6,1970.2,1972.0,1970.3,1970.3,86.5,91.7,84.7,84.6,16.0,18.5,17.6,17.6,1.0,0.5,1.9,1.9,2.6,195.6,199.3,18990.5,41085.0,54624.7,593.5,1324.9,1888.1
Service - tug,26,4,0.9,0.6,1974.5,1972.0,1974.3,1974.3,109.5,150.6,128.0,128.4,22.0,40.5,69.8,69.9,7.5,13.2,20.3,20.3,2.8,211.2,215.3,15660.6,37032.7,49584.8,602.3,1555.3,2100.0
Cruise,18,8,21.2,2.4,1982.1,1982.1,1988.8,1987.0,96.8,125.5,159.2,158.8,16.0,25.1,26.2,27.1,9.0,9.4,10.1,9.8,10.9,832.6,848.6,12573.8,57416.2,92658.2,698.5,3034.1,4533.1
Oil tanker,11,1,7.6,11.3,2003.0,2003.0,2003.0,2003.0,111.7,111.7,128.5,128.5,14.0,14.0,21.6,21.6,16.0,16.0,16.5,16.5,4.6,349.7,356.5,20028.5,21457.6,20210.1,1820.8,6202.4,8244.3
Ro-Ro,10,3,1.4,2.1,1979.9,1981.3,1976.9,1976.9,122.4,112.1,164.7,163.8,28.5,65.5,68.2,68.6,4.0,4.5,11.7,11.7,5.1,383.1,390.5,7527.6,58034.9,27386.1,752.8,1837.0,2618.8
Liquefied gas tanker,7,1,6.9,7.1,2007.0,2007.0,2007.0,2007.0,181.3,181.3,205.9,205.9,18.0,18.0,49.9,49.9,8.0,8.0,9.5,9.5,6.1,463.4,472.3,5388.5,15611.4,17240.0,769.8,4214.6,5542.2
Ferry-pax only,5,3,18.9,7.0,1993.0,1993.0,1995.8,1997.9,20162.6,14360.4,13361.1,16356.7,689.0,1156.7,1292.6,1713.2,53.0,245.2,465.6,337.6,17.0,1273.9,1298.3,571932.8,1164794.6,1467281.2,114386.6,266000.6,350676.5
Chemical tanker,4,1,1.7,2.4,2010.0,2010.0,2010.0,2010.0,145.0,145.0,136.7,136.7,13.5,13.5,14.4,14.4,16.0,16.0,14.4,14.4,1.4,104.8,106.8,8608.9,21635.2,26669.8,2152.2,6332.2,7763.5
Bulk carrier,3,2,8.1,11.9,2008.3,2009.0,2008.2,2008.3,482.0,584.1,606.3,602.2,35.0,49.0,39.0,39.8,15.0,30.2,46.5,45.7,1.7,132.6,135.2,25064.4,56851.4,68488.0,8354.8,25192.3,31443.9
Container,1,1,0.9,1.2,2007.0,2007.0,2007.0,2007.0,90.3,90.3,90.3,90.3,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,0.2,16.1,16.4,1150.8,4464.1,5093.9,1150.8,4818.5,5879.7
Vehicle,1,1,40.6,11.5,1997.0,1997.0,1997.0,1997.0,918.7,918.7,918.7,918.7,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,1.6,123.6,126.0,11619.4,51228.9,59328.3,11619.4,44165.2,47531.4
