Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Mina Raysut,200,49,1250.2,1367.1,2005.0,2001.8,2005.7,2005.2,501.1,643.0,766.6,821.2,67.0,202.3,79.7,87.7,36.0,55.4,47.6,60.9,360.4,27569.8,28099.2,1787275.1,5050151.3,5903305.3,8936.4,29098.6,35351.1
Salalah,120,23,365.7,438.5,2007.5,2003.0,2005.1,2006.4,193.9,705.0,826.9,899.9,67.5,100.0,144.6,172.3,30.0,82.2,148.6,188.5,149.4,11358.4,11576.5,1100574.9,2834936.8,3314925.8,9171.5,25821.4,31032.1
Port Of Sohar,111,41,1076.3,1644.9,2006.5,2005.1,2008.1,2008.4,787.8,490.7,585.5,564.2,72.0,67.1,88.1,88.0,50.0,42.1,68.2,68.4,306.0,23393.2,23842.3,1788756.1,4510066.3,5175654.3,16114.9,49516.1,59655.0
Duqm,57,40,773.8,1242.7,2002.8,2003.4,2008.2,2008.1,398.9,687.4,708.0,721.5,44.0,127.7,116.9,119.9,35.0,83.0,42.7,42.8,104.7,7981.1,8134.4,553295.6,1526275.9,1873721.4,9706.9,36828.0,47117.2
Mina Qabus,50,29,503.3,419.6,2005.4,2008.0,2006.8,2007.5,579.3,502.9,542.8,472.9,55.5,166.8,60.9,72.1,47.5,127.5,53.7,91.7,124.4,9549.5,9732.8,333927.4,1171422.5,1386762.4,6678.5,25934.2,29729.2
Qalhat Lng Terminal,28,4,1307.0,1096.6,2006.6,2004.0,2000.3,2000.6,168.5,3560.2,3023.4,2091.2,38.0,217.5,709.2,679.9,37.5,16.0,12.5,13.7,261.9,16181.2,16491.9,314480.3,1999815.1,1754475.3,11231.4,85575.9,128990.6
Sur,18,7,4062.5,3288.7,2005.3,2002.4,2000.6,2000.6,458.0,6999.9,9699.8,7850.3,51.5,474.9,2175.8,2155.2,35.5,49.1,22.1,22.2,738.2,44092.5,44939.1,878723.4,5944449.4,5057259.1,48818.0,397277.7,609204.0
Fahal,14,8,35.1,54.1,2003.6,2001.1,2005.3,2005.4,189.4,270.2,132.2,117.0,34.0,35.0,60.1,59.6,31.5,65.9,49.3,52.5,28.2,2157.5,2198.9,51299.9,142602.7,158247.5,3664.3,12065.6,14644.2
Mina Al Fahl,12,3,19.4,27.6,2007.8,2008.7,2007.5,2007.4,230.3,3222.6,246.6,237.8,34.5,953.7,183.3,116.4,27.0,14.0,35.2,37.2,23.7,1784.4,1818.6,60577.5,158409.8,196124.0,5048.1,14741.9,18178.9
Muscat,3,3,15.5,24.3,1999.3,1999.3,1997.5,1997.6,1146.9,1861.7,1300.0,1361.9,162.0,963.0,1341.5,1396.9,11.0,15.3,14.8,14.2,11.6,872.1,888.9,70092.7,122756.1,155079.0,23364.2,67723.9,84285.9
