Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Of Sohar,2520,1245,123843.6,181263.2,2006.5,2007.4,2008.4,2008.2,542.0,1405.4,1509.9,1716.5,58.0,167.8,387.9,441.1,30.0,77.8,84.3,96.6,12804.3,986470.0,1005410.2,71432684.8,213055039.0,246303616.6,28346.3,103827.3,126310.3
Salalah,1052,314,156186.5,177002.5,2007.6,2007.5,2008.8,2008.8,1603.5,2263.2,2052.2,2070.4,106.5,160.9,196.1,199.1,21.0,40.0,30.7,31.6,16209.8,1254918.7,1279013.1,97515463.0,273321723.4,305595455.1,92695.3,301742.9,354331.7
Mina Raysut,533,398,40475.5,57503.7,2005.3,2006.4,2008.4,2009.1,1753.2,2324.1,2430.8,2467.4,184.0,237.9,290.2,305.0,36.0,102.6,74.2,75.8,4813.9,372008.0,379150.5,28950222.9,76816184.8,91255333.9,54315.6,189002.4,224633.6
Mina Qabus,460,334,95134.1,148246.1,2006.5,2007.9,2010.5,2010.6,1532.9,3142.8,3425.7,4304.9,160.5,284.7,572.5,634.2,33.0,70.8,65.7,67.2,8540.1,644492.3,656866.6,49774086.3,127631932.1,135142708.1,108204.5,360580.4,459127.9
Duqm,171,145,6546.6,10067.8,2006.6,2006.6,2007.3,2007.8,899.5,1593.8,1416.1,1337.1,113.0,250.0,407.2,414.5,42.0,117.3,120.2,125.4,1099.5,84738.6,86365.6,6399340.4,14712355.4,17612354.6,37423.0,117507.5,143898.3
Fahal,125,112,56314.6,106190.4,2007.2,2007.5,2009.4,2009.4,3274.9,3112.6,3622.0,3744.5,278.0,293.0,493.2,498.4,42.0,76.9,70.4,71.3,3462.5,267960.4,273105.3,26219537.2,46179702.2,48175876.1,209756.3,578635.2,722521.7
Sur,119,59,39237.6,30541.3,2005.4,2006.2,2004.7,2004.9,2536.3,3176.7,5381.5,4232.8,205.0,366.1,530.2,507.1,23.0,78.9,32.7,36.1,5623.7,338887.7,345394.4,8244042.3,50870161.1,43891863.8,69277.7,530894.0,802627.8
Mina Al Fahl,77,68,43788.4,84092.9,2009.7,2009.9,2009.4,2009.3,5214.3,3630.5,4001.9,3999.7,421.0,311.2,460.5,460.5,45.0,56.4,71.4,71.3,2438.0,188848.6,192474.5,20373314.9,34670543.9,36249477.5,264588.5,717817.4,898000.1
Qalhat Lng Terminal,72,38,44425.2,33004.7,2005.8,2006.4,2004.9,2004.6,5814.4,4852.6,6333.8,6097.5,338.5,300.9,594.5,589.8,24.0,79.8,158.1,148.4,6040.9,360840.8,367768.9,7771600.1,56489962.1,47320343.6,107938.9,951866.6,1470716.0
Muscat,11,11,3166.0,4764.9,2008.4,2008.4,2012.2,2011.0,3695.3,6015.2,5361.5,4992.6,470.0,606.7,626.0,599.6,31.0,40.0,31.2,30.1,275.5,19584.2,19960.2,1347971.8,4184803.4,4282861.2,122542.9,529820.4,700375.5
