Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,212,22,2565.1,3223.3,2007.5,2005.9,2008.2,2008.1,299.6,420.0,501.0,499.4,24.5,34.1,78.2,77.4,29.5,96.6,34.3,34.0,502.2,38698.8,39441.8,2828799.8,10546993.4,11729102.3,13343.4,51699.8,61703.9
Chemical tanker,86,50,2378.6,3952.4,2008.9,2009.9,2009.3,2009.4,810.7,1336.3,1274.3,1279.9,79.5,122.2,193.5,194.3,52.5,66.7,78.8,77.1,462.3,35596.6,36280.0,1296581.7,6640107.1,7712989.4,15076.5,89442.3,108627.7
Bulk carrier,78,71,2480.7,3986.3,2010.9,2010.8,2011.7,2011.7,792.9,1386.2,1277.8,1256.2,75.0,151.1,371.8,367.6,76.0,112.8,144.3,145.8,262.0,20231.4,20619.8,1626039.9,3786577.4,5207996.3,20846.7,79967.6,98212.8
General cargo,72,28,1159.7,1723.2,1997.9,2006.0,2006.0,2006.2,1076.1,2148.9,2131.7,2171.6,106.5,224.4,464.4,479.1,31.0,53.4,71.5,73.5,185.4,14207.1,14479.9,1082962.1,3567019.3,5189293.8,15041.1,72130.0,99085.7
Vehicle,64,55,2726.5,893.4,2007.3,2007.2,2008.5,2008.1,295.9,808.2,737.5,727.8,24.0,63.2,280.9,270.9,15.0,24.4,17.3,17.5,165.7,12827.8,13074.1,904731.7,3988896.9,4619549.1,14136.4,53732.6,57828.0
Oil tanker,30,16,803.6,1391.3,1999.2,2004.0,2006.2,2006.3,827.8,1241.5,1306.6,1320.6,135.0,187.1,255.9,257.0,41.0,132.0,307.5,314.6,237.7,18307.5,18659.0,1201078.1,1963104.5,2503361.6,40035.9,101466.8,126804.9
Cruise,29,15,643.3,69.0,2001.1,2000.3,2003.7,2003.7,256.2,398.8,346.9,341.8,16.0,26.4,39.7,38.6,9.0,9.8,8.3,8.4,179.0,13864.1,14130.3,397062.3,1500362.7,1531814.0,13691.8,45723.7,43319.4
Liquefied gas tanker,5,5,132.3,150.0,2008.8,2008.8,2010.3,2010.2,1056.2,1607.4,1809.6,1835.6,90.0,148.4,221.1,222.7,32.0,25.6,29.2,29.3,18.0,1375.2,1401.6,113191.2,327933.5,362143.6,22638.2,123943.5,162988.7
Service - tug,3,3,4.0,3.1,1998.7,1998.7,2002.1,2002.9,792.4,4313.0,2062.1,1734.2,87.0,2645.3,5659.9,4870.6,37.0,45.3,60.2,55.3,9.4,712.3,726.0,78432.9,185470.1,248334.5,26144.3,67509.3,91148.9
Ro-Ro,1,1,2.0,1.2,1970.0,1970.0,1970.0,1970.0,832.7,832.7,832.7,832.7,129.0,129.0,129.0,129.0,36.0,36.0,36.0,36.0,0.9,69.6,70.9,4205.3,32421.4,15299.4,4205.3,10262.8,14630.0
Refrigerated bulk,1,1,0.3,0.4,1979.0,1979.0,1979.0,1979.0,134.2,134.2,134.2,134.2,31.0,31.0,31.0,31.0,123.0,123.0,123.0,123.0,2.3,170.0,173.2,1136.3,2482.8,2796.6,1136.3,2421.4,2614.3
Service - other,1,1,6.1,3.4,2010.0,2010.0,2010.0,2010.0,772.3,772.3,772.3,772.3,83.0,83.0,83.0,83.0,56.0,56.0,56.0,56.0,3.4,258.6,263.5,23983.4,49208.6,53025.2,23983.4,53367.0,60258.9
Other liquids tankers,1,1,4.7,5.1,2018.0,2018.0,2018.0,2018.0,1075.0,1075.0,1075.0,1075.0,345.0,345.0,345.0,345.0,1462.0,1462.0,1462.0,1462.0,29.8,2242.3,2285.4,2592.2,7401.4,15957.4,2592.2,8980.2,14511.1
Ferry-RoPax,1,1,1.7,0.1,2007.0,2007.0,2007.0,2007.0,143.7,143.7,143.7,143.7,14.0,14.0,14.0,14.0,9.0,9.0,9.0,9.0,0.6,46.7,47.6,878.3,2171.9,2664.9,878.3,1874.8,1707.5
