Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
El Bluff,39,5,8.0,11.9,1991.4,1986.8,1992.9,1993.5,60.0,61.3,78.8,81.2,7.0,7.7,7.6,7.4,17.0,483.2,54.2,50.2,22.9,1723.0,1756.1,28760.3,55223.4,72982.9,737.4,2401.6,3310.9
Puerto Cabezas,14,2,6.8,11.6,1992.3,1989.5,1994.1,1994.4,151.0,146.0,158.3,158.7,19.5,19.0,23.8,23.9,23.5,25.0,25.6,25.5,7.1,535.8,546.1,24444.7,20315.3,19831.1,1746.1,5567.2,7331.5
Rama,4,2,0.4,0.5,1989.8,1983.5,1990.7,1990.9,49.9,49.9,49.9,49.9,6.5,6.5,6.5,6.5,0.0,10.0,4.2,4.1,0.3,20.6,21.0,1554.2,4378.3,6103.4,388.5,1225.3,1713.7
Corinto,2,2,36.4,41.8,2008.5,2008.5,2007.3,2007.1,4066.3,4066.3,1556.9,1477.0,477.0,477.0,218.6,178.3,283.5,283.5,75.8,43.5,11.9,905.7,923.1,62310.5,204699.1,245012.0,31155.2,110838.7,139348.4
Masachapa,1,1,0.7,0.2,2010.0,2010.0,2010.0,2010.0,1440.9,1440.9,1440.9,1440.9,293.0,293.0,293.0,293.0,0.0,0.0,0.0,0.0,1.1,82.8,84.4,5270.5,12463.2,16687.6,5270.5,13609.5,18375.1
Potosi,1,1,0.5,0.1,2010.0,2010.0,2010.0,2010.0,1032.3,1032.3,1032.3,1032.3,75.0,75.0,75.0,75.0,124.0,124.0,124.0,124.0,0.9,69.8,71.1,3775.8,8928.6,11954.9,3775.8,9749.8,13163.9
