Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Alger,450,154,2296.3,3190.4,2001.9,2003.8,2003.7,2004.3,250.2,399.9,410.7,418.4,23.0,57.3,60.5,59.3,30.0,81.1,60.4,60.2,588.1,45009.8,45874.0,2233128.2,8253359.5,9207243.9,4962.5,21065.5,26329.2
Skikda,277,113,1613.8,2238.2,2003.9,2003.7,2005.0,2005.0,284.1,351.8,382.6,385.0,22.0,75.1,60.3,62.9,45.0,67.7,91.9,95.5,518.1,39453.9,40211.4,1444214.0,5458336.1,6180690.7,5213.8,21748.1,27240.3
Bejaia,228,126,928.0,1370.7,2004.4,2002.6,2006.0,2006.5,280.6,382.4,374.2,372.9,24.0,57.1,91.8,88.2,30.0,57.1,61.2,60.6,220.9,16881.9,17206.1,1245295.2,3636971.0,4346403.5,5461.8,19030.5,23704.9
Arzew,192,86,1694.9,2192.2,2002.1,2005.8,2003.3,2003.9,290.4,669.0,352.6,378.4,41.0,160.2,177.9,171.9,51.5,112.8,116.3,119.2,539.3,40913.3,41698.8,1115183.6,3827094.2,4195508.6,5808.2,27751.9,36920.8
Mostaganem,173,122,1016.1,1407.2,2004.5,2005.7,2005.0,2005.8,248.8,335.5,295.4,295.6,37.0,63.9,81.5,86.5,28.0,60.5,59.1,57.5,224.3,17125.2,17454.0,797787.5,2719238.0,2878816.3,4611.5,19557.2,25855.2
Collo,142,75,801.2,1182.2,2004.2,2003.3,2006.4,2006.8,331.9,414.4,451.7,449.1,22.0,42.4,76.1,82.3,33.0,68.8,64.9,64.1,183.6,14086.7,14357.2,947721.7,3195423.4,3713988.0,6674.1,24953.6,30972.3
Annaba,138,81,460.0,546.3,2001.2,2001.8,2003.7,2003.9,289.2,447.7,348.7,367.1,23.0,136.6,85.8,76.7,28.0,63.4,87.8,89.1,150.0,11397.9,11616.7,732072.7,2258368.3,2804187.8,5304.9,19055.6,24462.6
Dellys,113,90,875.2,1275.2,2004.5,2003.8,2007.6,2007.6,360.6,615.0,571.2,565.1,24.0,49.3,98.3,69.2,40.0,89.5,127.8,123.8,188.6,14475.0,14752.9,1333071.0,3617286.5,4583835.9,11797.1,39674.8,49903.4
Djen Djen,99,64,408.6,565.0,2006.5,2004.6,2007.6,2007.9,243.0,355.7,351.0,356.4,15.0,48.1,62.5,64.0,54.0,78.0,92.6,95.5,111.1,8466.8,8629.4,431486.2,1356078.6,1710645.3,4358.4,17106.1,21524.6
Jijel,81,39,527.1,757.7,2006.4,2004.4,2010.2,2010.6,309.5,725.6,431.6,400.3,13.0,45.9,126.8,132.1,35.0,145.1,366.2,197.9,107.4,8183.2,8340.3,1328579.4,3483769.9,4445246.4,16402.2,48896.9,63049.8
Oran,63,50,363.7,449.7,2005.0,2006.1,2007.7,2009.2,382.1,951.6,537.6,532.1,34.0,122.0,92.3,85.8,36.0,68.4,105.3,98.6,96.9,7403.4,7545.6,736229.0,1885556.3,2477283.3,11686.2,36418.1,46573.9
Tenes,57,46,184.0,228.9,2002.0,2001.9,2003.1,2003.7,332.0,427.3,351.6,373.2,24.0,32.8,38.5,38.0,35.0,67.3,75.0,78.2,53.4,4064.8,4142.9,234656.7,771067.6,869658.9,4116.8,15917.1,20966.8
Oran Dry Port,42,30,157.3,217.4,2006.4,2005.2,2006.8,2006.8,305.3,458.2,418.7,425.8,23.0,35.1,39.6,41.3,27.0,50.1,80.4,80.8,38.4,2947.8,3004.4,208697.2,628555.6,819287.1,4969.0,19510.1,24607.3
Cherchell,23,22,114.6,170.7,1998.5,1999.3,2002.7,2003.0,248.0,386.7,355.1,374.6,16.0,30.4,37.9,38.7,35.0,79.6,124.6,125.1,26.7,2051.9,2091.3,103067.0,314858.3,434979.1,4481.2,20339.4,26249.1
Bethioua,15,10,139.7,147.7,2003.7,2006.8,2010.3,2009.1,290.2,476.9,486.9,476.7,21.0,44.4,67.2,68.9,144.0,115.4,67.1,76.8,44.4,3281.1,3344.1,84474.2,295597.5,311390.9,5631.6,32453.4,44248.9
Rouiba,14,14,77.8,110.8,1997.4,1997.4,2001.8,2002.3,330.4,442.3,468.6,470.4,20.5,20.4,18.5,18.9,33.5,70.0,121.2,127.9,14.9,1149.2,1171.3,105273.8,308255.9,360085.0,7519.6,24666.6,30263.8
Ghazaouet,12,8,59.9,41.4,1998.2,2000.9,1993.8,2005.5,288.2,351.8,423.0,331.9,22.5,83.2,62.8,105.5,13.5,36.9,63.0,45.7,16.3,1249.6,1273.6,70441.6,185146.4,230289.3,5870.1,16378.7,18172.4
El Kala,8,8,30.9,36.8,1995.6,1995.6,2003.9,2004.1,367.9,433.8,429.4,416.1,12.5,31.9,42.4,40.7,44.5,158.1,46.5,52.2,8.2,627.9,640.0,41579.5,142512.3,170905.7,5197.4,20173.6,24936.6
Tipaza,3,3,33.7,49.1,1999.0,1999.0,1988.6,1989.1,774.9,697.9,815.7,825.5,59.0,69.3,43.6,44.2,25.0,42.7,42.5,45.1,4.3,332.8,339.2,23740.1,52524.8,70754.5,7913.4,27711.2,33818.8
Beni Saf,2,2,3.8,5.1,2005.5,2005.5,2001.4,2001.1,487.9,487.9,601.2,614.3,62.5,62.5,29.2,27.0,26.0,26.0,40.6,41.6,1.4,106.4,108.5,11713.6,29468.1,33220.3,5856.8,15007.3,16902.3
Kherrata,1,1,13.2,21.3,1992.0,1992.0,1992.0,1992.0,961.5,961.5,961.5,961.5,81.0,81.0,81.0,81.0,160.0,160.0,160.0,160.0,1.7,131.2,133.8,8750.0,24290.6,37752.4,8750.0,41222.9,53427.8
