Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,439,62,30201.5,2749.8,2005.2,2005.3,2008.9,2008.6,199.9,480.1,627.4,616.4,16.0,31.1,69.6,69.9,8.0,8.0,7.8,7.8,5236.5,401674.7,409386.8,1571179.4,34941131.2,46469607.6,3579.0,70367.2,90719.5
Ro-Ro,425,8,527.5,582.8,1994.7,1993.4,1992.4,1992.4,112.3,485.1,249.5,280.8,14.0,44.6,55.9,58.3,5.0,6.7,8.3,8.6,233.9,17851.0,18193.8,1010800.8,5071827.9,2986500.5,2378.4,5705.9,7200.3
Container,253,15,1756.4,2110.3,2007.0,2007.9,2007.3,2007.3,379.1,604.9,604.4,594.0,28.0,46.7,65.1,64.9,13.0,11.2,14.6,14.6,402.9,30808.3,31399.8,2784425.8,8898986.7,10111381.4,11005.6,37068.9,43875.0
Chemical tanker,225,99,5402.0,9029.5,2007.6,2009.0,2009.7,2009.7,580.9,1695.4,1496.2,1514.9,72.0,164.5,243.3,244.8,32.0,45.5,40.2,40.1,893.2,68453.6,69767.9,2769835.7,14845044.2,17258979.3,12310.4,76628.2,93430.4
General cargo,224,45,1960.8,2396.3,1997.4,2002.7,2001.7,2001.9,401.5,1626.4,1053.2,1081.1,30.5,143.7,152.8,157.0,11.0,37.4,27.6,28.2,619.8,47622.4,48536.8,1193109.9,4095660.4,5973895.4,5326.4,28273.9,38405.9
Oil tanker,157,97,10825.4,19208.1,2006.4,2007.2,2008.4,2008.5,1049.6,2260.7,2265.2,2290.3,120.0,219.8,344.8,343.7,36.0,48.8,57.5,57.8,1356.6,104223.1,106224.2,13621454.7,23007793.4,29298257.5,86760.9,207594.2,260367.9
Service - tug,118,31,24.6,21.3,1983.5,1982.2,1989.1,1990.1,181.7,719.4,442.5,379.1,55.0,460.4,594.0,542.7,19.5,58.3,248.5,249.7,58.7,4405.5,4490.1,545567.6,1290103.0,1727378.2,4623.5,11938.6,16119.1
Liquefied gas tanker,69,25,1217.0,1380.2,2010.1,2009.2,2012.8,2012.6,849.1,1276.1,1366.3,1338.9,87.0,139.4,186.5,182.3,36.0,36.7,45.6,45.8,199.6,15257.7,15550.7,586324.8,2628658.5,2486761.5,8497.5,57041.2,81375.8
Service - other,9,6,59.8,29.1,1991.0,1989.5,1989.4,1990.0,598.9,1050.9,1765.0,2002.6,98.0,135.5,311.8,321.7,71.0,201.2,458.1,474.8,20.2,1519.8,1549.0,202784.5,416069.3,448339.9,22531.6,50136.6,56611.4
Bulk carrier,8,2,41.6,62.7,2016.6,2012.5,2016.3,2016.4,793.9,1185.1,1034.6,1031.1,81.0,108.0,178.6,179.0,23.5,15.5,22.4,22.5,10.3,794.3,809.5,132500.2,300538.0,362053.9,16562.5,49941.1,62334.2
Ferry-RoPax,2,2,8.9,1.8,1998.0,1998.0,2002.9,2002.6,267.7,267.7,179.1,181.7,27.5,27.5,9.4,10.5,304.5,304.5,582.4,566.4,14.1,1062.4,1082.8,13210.6,31908.6,39696.9,6605.3,14219.9,14361.2
