Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Purcell,460,66,4693.9,738.6,1989.4,1995.7,2009.3,1999.9,134.3,511.5,596.4,389.6,18.0,159.3,69.3,69.2,9.0,142.9,10.8,25.6,1052.6,80947.2,82501.4,1336747.7,9417089.7,9383212.2,2906.0,14772.7,18685.6
Virgin Gorda,94,25,64.8,39.2,1983.8,1985.8,1996.5,2000.2,128.2,196.0,164.3,210.8,21.0,46.4,114.1,238.3,14.5,34.0,33.7,64.9,92.3,6964.8,7098.5,98175.3,400109.0,399115.3,1044.4,3243.5,4443.8
Norman Island,30,19,392.0,514.7,2001.4,2000.1,2006.6,2006.4,201.0,917.1,991.4,910.2,27.0,81.8,195.0,188.3,26.0,48.0,71.8,73.1,64.0,4894.1,4988.1,273115.3,813725.7,1144148.8,9103.8,42205.4,56365.0
Jost Van Dyke,24,10,34.1,11.7,1992.1,1997.2,1996.8,2007.4,145.0,260.4,149.0,160.5,20.5,46.0,30.0,26.9,12.0,19.4,21.7,53.5,23.5,1784.2,1818.4,28005.1,116934.9,181031.0,1166.9,4903.5,7156.8
Beef Island,17,6,103.8,178.3,1984.5,1996.5,2013.4,2013.6,104.3,565.8,1745.8,2014.3,12.0,63.3,301.2,303.8,12.0,40.4,127.2,128.1,14.5,1115.8,1137.2,42620.3,119310.0,137630.7,2507.1,10974.6,13660.5
Road Harbor,15,9,50.0,14.1,2003.6,2001.2,2012.3,2007.0,176.8,243.6,219.1,200.7,16.0,35.5,18.0,16.9,14.0,51.3,13.9,19.0,13.0,995.5,1014.7,44617.3,134047.1,152934.9,2974.5,10403.7,12142.5
Sopers Hole,11,6,22.0,27.8,1999.7,1999.2,2003.2,2005.1,176.3,638.6,630.6,996.0,27.0,60.8,199.1,212.7,20.0,25.6,32.8,37.0,17.2,1302.6,1327.6,90453.3,242702.3,324323.6,8223.0,24973.8,33530.6
Anegada,6,6,35.6,54.7,2009.8,2009.8,2011.0,2011.4,574.0,790.3,367.5,348.6,58.0,91.3,74.7,68.1,10.5,20.2,13.6,13.7,10.2,772.7,787.6,62143.3,194397.3,237876.7,10357.2,35654.3,44654.5
