Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
All Global Voyages,2658748,54999,81267189.4,114150482.3,2002.5,2002.4,2008.8,2009.1,366.3,1368.5,1510.2,1787.3,41.0,222.0,402.2,445.0,19.0,83.5,69.5,77.4,9296550.7,707533845.5,721118495.4,52903800408.8,144910309539.1,167566454197.9,19898.0,67928.9,83364.7
All International Voyages,1229088,41343,71953336.7,102531467.9,2003.7,2003.8,2009.2,2009.4,668.4,1825.5,2058.1,2438.9,67.0,228.6,428.3,471.9,22.0,79.5,68.9,76.8,7386879.1,561972489.7,572762361.5,42427448653.6,117844885887.1,135247567981.6,34519.5,120548.3,148093.0
All Domestic Voyages,2658748,54999,81267189.4,114150482.3,2002.5,2002.4,2008.8,2009.1,366.3,1368.5,1510.2,1787.3,41.0,222.0,402.2,445.0,19.0,83.5,69.5,77.4,9296550.7,707533845.5,721118495.4,52903800408.8,144910309539.1,167566454197.9,19898.0,67928.9,83364.7
Int. Arr. Inventory,1345,451,31287.7,35422.5,2002.0,2004.8,2004.6,2005.3,288.4,1090.7,691.4,1163.0,36.0,179.8,421.1,512.5,19.0,111.2,47.0,56.9,5749.6,434433.8,442774.9,22374107.7,65188321.5,75763977.8,16635.0,56625.5,70687.1
Int. Dep. Inventory,1356,464,33315.9,44138.2,2002.0,2004.8,2006.0,2006.7,187.4,1147.1,729.6,1401.3,29.0,164.5,457.1,606.6,20.0,96.1,80.3,102.0,5966.3,459420.2,468241.0,24877959.4,65524090.3,76835433.5,18346.6,58356.0,71276.3
Domestic Inventory,183,45,2031.5,3772.7,2005.6,2006.4,2006.8,2006.8,135.2,295.4,311.2,312.1,52.0,118.7,472.4,476.0,24.0,49.9,188.3,185.1,505.9,39054.9,39804.8,1936162.5,3628228.9,4164638.8,10580.1,27644.7,34545.2
