Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Zeytinburnu,3103,1435,6403.4,9923.6,1994.7,1995.7,1998.8,1999.3,206.6,324.0,302.6,301.1,17.0,35.5,117.8,118.7,23.0,60.8,80.1,75.6,1545.0,117730.3,119990.7,10515205.1,29304454.3,40762508.9,3388.7,12449.1,16456.6
Ambarli,3051,596,14247.2,17092.5,1999.6,2002.6,2005.9,2006.1,64.1,204.5,214.5,212.6,11.0,33.6,49.8,51.7,13.0,35.1,25.8,27.7,2254.3,173395.9,176725.1,13232918.8,40330181.3,43373926.3,4337.2,13955.8,16785.6
Nemrut,1921,1007,14404.0,17675.0,1996.2,1997.8,2007.4,2006.9,267.9,332.4,502.2,476.7,35.0,58.3,69.7,70.7,17.0,57.6,41.3,44.9,2053.5,157800.9,160830.7,13364973.6,37566592.4,46176577.9,6957.3,24189.9,30304.4
Bakirkoy,1774,808,4332.5,7113.7,2003.8,2002.8,2005.7,2005.9,84.7,261.0,211.5,208.4,18.0,35.5,105.5,104.1,12.0,63.0,52.1,52.2,1645.5,125478.0,127887.1,5019174.4,12967625.0,16185992.9,2829.3,9889.5,12497.9
Diliskelesi,1735,480,3915.6,4752.2,2003.4,2001.0,2003.4,2003.2,69.4,177.6,168.6,176.5,19.0,58.5,51.2,51.5,15.0,53.9,29.3,32.0,1205.8,92116.2,93884.8,4653697.1,13304950.2,15611792.8,2682.2,8903.8,10797.4
Imroz,1534,1131,10373.2,17659.5,2005.6,2005.3,2008.4,2008.9,167.4,221.7,188.6,184.2,18.0,34.4,151.9,38.4,12.0,71.9,77.2,64.9,3227.7,249335.2,254122.4,9427662.6,23187907.2,26811859.7,6145.8,18806.0,23138.5
Bandirma,1340,447,670.1,821.6,1986.8,1992.0,1992.4,1994.1,62.7,110.0,105.6,108.7,9.0,39.6,81.4,53.9,11.0,62.1,55.6,63.0,338.4,25616.5,26108.3,1843319.3,7662533.7,6750379.1,1375.6,4045.0,5342.6
Borusan Fertilizer Jetty,1333,511,3905.6,4523.5,1999.6,2000.0,2004.6,2004.2,74.4,147.7,169.7,167.7,10.0,33.4,28.4,30.4,14.0,35.0,24.2,26.6,719.8,55298.7,56360.4,4059654.7,12504857.2,14564431.2,3045.5,10320.4,12390.3
Eregli,1290,531,2168.8,3397.6,1996.0,1998.5,2004.5,2004.6,98.8,251.4,207.5,204.4,19.0,49.0,190.4,173.2,18.0,51.6,59.9,60.8,833.0,63288.2,64503.3,2920423.9,7759710.2,10384963.1,2263.9,7854.5,10380.8
Istanbul,1190,856,4814.0,8278.7,1997.1,1998.2,2006.4,2006.7,126.8,224.8,212.6,212.8,16.0,30.7,50.7,46.9,34.0,57.5,51.4,51.5,905.1,69579.2,70915.1,4643405.8,12011955.7,15045705.3,3902.0,13117.9,16689.3
Tekirdag,1070,436,3703.5,4655.0,1996.8,1995.5,2003.6,2003.6,84.2,161.6,189.9,191.2,11.0,33.5,74.8,85.7,12.0,42.6,25.6,26.2,686.1,52671.1,53682.4,3460904.4,10571201.2,12488467.9,3234.5,11349.9,13807.7
Korfez,1013,341,2450.2,3899.7,2004.4,2002.5,2007.4,2007.3,96.6,190.6,164.4,161.7,13.0,41.4,62.6,61.4,25.0,37.6,44.9,45.6,1029.5,78467.9,79974.5,3142586.5,7979101.5,9542572.6,3102.3,10240.3,12810.3
Iskenderun,987,562,5023.2,7506.7,1997.4,1995.8,2002.0,2002.6,612.9,642.8,412.8,449.4,68.0,93.8,103.1,102.9,18.0,48.8,57.1,57.3,949.3,72684.7,74080.3,6569324.1,19028319.7,24949388.8,6655.9,24313.2,31248.4
Yesilkoy,914,583,4119.5,7015.3,2004.9,2004.4,2008.2,2008.5,83.7,283.1,214.5,213.7,16.0,40.3,147.3,148.9,24.0,56.3,71.9,73.9,1002.1,76753.6,78227.3,3481143.2,9349554.4,11418938.8,3808.7,13472.9,16807.3
Sile,882,629,5153.1,9116.5,2002.9,2003.1,2007.5,2007.7,124.4,200.0,194.8,198.7,16.0,28.8,48.3,47.0,12.0,39.7,56.5,56.8,786.4,60553.1,61715.7,4254342.0,10176765.7,12156795.1,4823.5,15052.8,18705.3
