Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,3105,611,565870.2,605942.7,2007.6,2008.3,2010.3,2010.2,1417.6,2152.4,2155.0,2123.7,115.0,142.1,202.1,200.9,21.0,26.6,25.3,25.5,51394.3,3979222.8,4055623.8,295778724.1,801530803.5,932848217.3,95258.8,326446.8,388534.6
Oil tanker,2588,1073,1072760.4,2046279.5,2007.9,2008.8,2009.1,2009.2,2293.1,3499.4,3770.3,3802.7,251.5,339.7,667.3,671.6,36.0,53.4,70.2,70.1,70340.3,5445981.4,5550544.2,570754558.7,998626195.5,1075639019.1,220538.9,584444.8,729942.3
Chemical tanker,1463,608,66477.8,107742.0,2009.3,2009.6,2009.7,2009.7,1200.3,2042.0,2108.0,2099.5,167.0,211.4,369.4,369.5,23.0,40.7,45.9,46.2,11052.8,854465.4,870871.1,33663346.2,177817955.9,206477345.4,23009.8,141052.5,171596.2
Bulk carrier,1248,907,58125.7,102459.2,2009.9,2009.8,2010.5,2010.4,547.6,1463.0,1416.6,1421.1,79.0,180.6,400.5,406.0,24.0,58.8,66.7,66.5,5104.7,395122.5,402708.8,32140645.5,76323018.8,94854755.6,25753.7,97617.2,117600.6
General cargo,890,332,9591.3,12650.0,1992.0,2002.0,2004.9,2005.3,419.3,1207.5,1214.6,1189.3,42.0,127.8,268.4,265.3,72.0,83.5,63.9,64.8,1780.5,136676.5,139300.7,7714901.4,25504818.7,36875515.2,8668.4,42723.8,57688.1
Ro-Ro,549,41,9859.4,6978.8,1994.3,1997.4,2009.0,2009.2,361.0,1591.3,982.7,1044.5,25.0,353.7,238.7,235.7,35.0,118.0,55.0,50.7,1665.8,128230.1,130692.1,8486330.3,23924259.3,20336501.4,15457.8,36563.2,41098.0
Vehicle,517,263,49062.5,16602.7,2007.8,2007.8,2008.1,2007.8,1071.0,1618.6,1588.8,1581.8,89.0,113.2,210.8,207.7,9.0,11.6,14.0,14.0,2970.8,230121.7,234540.0,16812413.9,74124718.9,85843979.3,32519.2,123605.4,133026.5
Service - tug,416,219,246.3,203.7,2007.7,2007.6,2007.4,2007.2,358.9,794.8,644.9,637.4,117.5,495.6,1834.3,1797.8,49.0,252.4,304.4,300.1,377.6,28357.0,28901.4,5209311.8,12318454.3,16493744.5,12522.4,32335.0,43657.8
Liquefied gas tanker,399,171,29304.5,34102.5,2008.5,2009.3,2009.0,2008.9,1316.5,2908.9,2500.2,2494.9,165.0,242.2,351.0,350.5,30.0,53.8,53.6,53.7,4058.5,313656.7,319678.9,13058326.8,63728614.1,58789410.8,32727.6,229831.9,332886.4
Ferry-RoPax,379,12,1837.8,554.0,1989.5,1984.1,1982.9,1984.8,151.1,1704.3,320.3,299.9,10.0,335.0,641.0,624.2,25.0,184.6,151.1,86.6,827.4,62777.8,63983.1,3527172.8,8690145.3,10686000.5,9306.5,19892.7,18434.0
Service - other,48,36,117.0,130.7,2008.5,2007.9,2002.6,2002.1,366.1,675.6,998.3,1260.3,86.5,350.7,743.5,751.8,159.5,496.3,491.4,614.2,81.5,6141.8,6259.7,912181.5,1871596.3,2016758.3,19003.8,42286.6,47747.6
Refrigerated bulk,41,5,454.7,427.9,2006.9,2004.0,2007.1,2007.1,293.9,594.9,797.7,799.9,29.0,46.0,233.4,233.4,9.0,97.5,23.0,23.8,168.4,12855.2,13102.0,1269521.5,2773966.2,3124612.0,30963.9,65983.8,71242.7
Ferry-pax only,2,1,3.3,0.5,1972.0,1972.0,1972.0,1972.0,1076.6,1076.6,1076.6,1076.6,679.0,679.0,1084.1,1084.1,746.5,746.5,271.7,271.7,5.0,378.6,385.9,40211.7,81894.8,103162.2,20105.8,46755.2,61638.8
Cruise,2,2,98.6,12.3,1992.0,1992.0,1989.4,1989.7,1625.4,1625.4,1787.4,1755.5,531.5,531.5,287.0,318.9,641.5,641.5,225.5,279.7,105.2,8149.2,8305.7,32204.9,266564.0,355481.8,16102.5,111208.9,132212.3
