Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Dehtary,67,37,44.7,43.8,1993.1,1991.2,1999.7,2003.8,250.0,559.5,482.5,499.7,45.0,111.2,231.4,209.6,20.0,171.1,100.2,52.5,40.7,3053.9,3112.5,151889.4,384344.3,472055.2,2267.0,6313.0,7903.1
Kosor,39,18,10.4,6.5,1989.2,1987.4,1985.9,1987.5,159.3,455.4,401.7,392.1,39.0,87.1,182.9,152.1,17.0,57.2,73.5,64.1,11.5,865.8,882.5,38878.6,88356.9,102180.6,996.9,2454.5,2931.6
Dobroviz,9,7,95.0,151.2,1996.7,1999.7,2004.7,2004.9,495.3,687.7,1275.0,1390.1,90.0,69.4,99.4,98.9,23.0,45.4,14.7,12.2,15.6,1196.4,1219.3,133644.5,294594.3,351103.2,14849.4,36984.9,47355.1
Semcice,5,5,52.5,61.8,1989.4,1989.4,1990.7,1990.9,8182.0,6449.8,2591.4,2538.7,2067.0,1323.4,1858.7,1798.8,30.0,46.2,60.3,73.2,39.8,3006.3,3064.0,161472.5,264548.0,283658.9,32294.5,93345.3,118604.1
Osice,1,1,0.1,0.1,2020.0,2020.0,2020.0,2020.0,81.4,81.4,81.4,81.4,50.0,50.0,50.0,50.0,158.0,158.0,158.0,158.0,0.1,10.3,10.5,2707.5,6402.4,8572.4,2707.5,6991.2,9439.3
Novy Vestec,1,1,0.2,0.3,1991.0,1991.0,1991.0,1991.0,64.3,64.3,64.3,64.3,33.0,33.0,33.0,33.0,4.0,4.0,4.0,4.0,0.2,17.9,18.2,598.1,640.8,603.6,598.1,2037.6,2708.3
Divisov,1,1,80.7,70.0,2005.0,2005.0,2005.0,2005.0,827.4,827.4,827.4,827.4,42.0,42.0,42.0,42.0,9.0,9.0,9.0,9.0,10.4,618.3,630.2,16316.6,121908.9,101230.1,16316.6,147577.9,229317.3
Novy Knin,1,1,0.1,0.0,1995.0,1995.0,1995.0,1995.0,267.1,267.1,267.1,267.1,23.0,23.0,23.0,23.0,9.0,9.0,9.0,9.0,0.2,11.5,11.7,278.0,616.6,701.0,278.0,654.2,775.6
Kadan,1,1,12.6,12.2,2019.0,2019.0,2019.0,2019.0,83.2,83.2,83.2,83.2,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,0.3,20.2,20.5,4478.3,10150.6,13509.0,4478.3,17132.1,21417.3
Chocen,1,1,43.2,83.1,2016.0,2016.0,2016.0,2016.0,460.0,460.0,460.0,460.0,37.0,37.0,37.0,37.0,141.0,141.0,141.0,141.0,2.6,195.0,198.8,18697.8,37089.0,42709.3,18697.8,52979.3,61183.4
