Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Hvar,299,55,416.9,109.8,1996.7,1991.6,1999.4,1997.2,616.4,1090.7,585.7,684.5,33.0,64.4,105.6,93.5,12.0,97.3,125.3,133.2,264.2,19968.2,20351.6,1382693.2,3026893.2,3822939.3,4624.4,11058.7,14010.8
Milna,277,32,253.7,59.8,1997.3,1996.4,1999.2,1999.4,606.4,971.3,847.6,539.2,27.0,55.5,74.7,65.1,28.0,90.1,102.6,99.4,185.1,13971.4,14239.6,1094223.9,2311688.6,2888906.5,3950.3,9139.4,11551.8
Split,263,58,806.8,112.8,1998.0,1994.5,1996.6,1996.6,551.1,887.1,370.7,424.4,27.0,46.3,127.8,116.3,13.0,103.4,84.6,151.4,356.8,27152.6,27673.9,1199286.8,2989330.6,3690925.9,4560.0,11112.3,12765.3
Rijeka Luka,234,59,302.6,208.1,1997.0,1996.6,2000.0,1999.7,293.5,453.4,349.2,330.0,31.0,123.7,121.9,83.8,13.0,35.9,29.6,36.9,160.1,12123.9,12356.7,1171458.2,2786633.1,3458388.6,5006.2,13166.8,16828.8
Vranjic,186,45,188.3,245.3,2002.7,1997.4,2002.6,2002.6,227.6,1115.5,332.7,326.1,21.0,112.3,74.3,56.5,22.0,72.6,68.2,60.4,110.7,8395.0,8556.2,692662.2,1795544.8,2290586.5,3724.0,11319.8,14445.1
Rogac,133,21,202.8,38.1,1994.4,1988.9,1995.9,1995.8,194.5,2036.0,853.3,771.5,40.0,173.2,802.9,744.9,9.0,307.5,1690.5,1609.0,173.1,13021.9,13271.9,353194.9,819232.0,1022187.1,2655.6,5846.8,6453.6
Supetar,132,22,188.4,37.4,2001.6,1991.4,2004.1,2004.1,183.9,1568.0,627.6,628.8,22.0,156.6,873.6,838.4,19.0,63.0,93.9,96.7,147.4,11064.3,11276.8,373573.3,856727.9,1064076.0,2830.1,6273.3,6935.1
Gazenica,126,26,219.7,44.3,1988.7,1990.2,1997.6,1994.3,137.9,1530.0,423.9,559.7,21.0,266.0,634.9,803.3,16.5,104.4,92.8,140.4,108.6,8215.1,8372.8,379892.2,1028048.5,1272564.8,3015.0,7615.3,8802.5
Pula,124,40,78.0,29.9,1993.1,1992.6,1993.9,1997.7,155.6,692.1,349.2,127.5,25.0,66.4,650.7,185.1,32.0,172.4,211.0,227.5,92.1,6922.8,7055.7,398786.1,845021.9,1063731.9,3216.0,7753.0,10151.0
Stari Grad,115,24,512.6,122.6,2000.8,1997.1,1995.4,1995.5,278.2,577.2,1445.3,1190.6,29.0,54.7,523.6,479.9,9.0,77.2,147.0,152.4,195.8,14899.2,15185.3,784827.5,1904585.8,2342460.5,6824.6,14870.4,14569.0
