Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Italy,1338,410,10989.2,7432.3,1993.4,2000.1,2002.5,2004.9,213.9,491.3,340.9,386.7,20.0,58.8,59.5,78.3,19.0,55.2,45.6,56.1,2610.1,201193.1,205056.0,10600115.1,31718250.4,37108902.2,7922.4,24620.0,27653.6
Greece,272,187,6361.7,6978.4,1996.1,1997.2,2003.9,2007.3,810.2,969.6,817.5,1069.3,69.5,106.2,141.0,194.0,10.0,31.3,32.4,45.5,1023.5,79099.0,80617.7,5324693.4,15329756.3,17802494.6,19576.1,63085.2,75186.3
Turkey,193,156,3496.3,5981.6,1995.4,1998.3,2006.4,2007.3,1097.8,1146.1,1266.2,1285.7,115.0,126.3,175.8,181.7,35.0,98.1,46.6,45.7,428.1,32896.1,33527.7,4110092.6,10264313.2,12792489.4,21295.8,66255.6,84604.5
Malta,159,77,2616.9,2917.6,2004.2,2004.3,2003.5,2005.5,737.4,775.8,729.7,777.0,64.0,82.5,73.8,86.9,22.0,48.6,40.0,48.9,529.5,40879.0,41663.8,2828467.9,8468886.2,9607341.1,17789.1,56832.5,65620.0
Slovenia,153,73,471.7,362.6,2002.9,2001.9,2006.8,2008.7,136.6,228.3,169.1,151.7,17.0,32.2,21.6,23.6,23.0,47.5,29.3,44.6,134.8,10354.6,10553.4,457594.1,1632778.9,1979143.1,2990.8,11231.1,13590.6
Montenegro,147,40,405.7,81.1,1984.0,1998.3,2001.6,1989.2,165.5,307.8,142.0,187.1,21.0,31.0,18.0,34.3,16.0,46.2,11.1,33.0,113.5,8745.1,8913.0,283100.1,1061940.1,1264969.9,1925.9,7067.9,8069.6
Egypt,98,59,2699.3,3244.1,1989.4,1992.5,2006.1,2005.0,1303.2,1495.6,1450.9,1424.6,136.5,163.2,123.0,125.3,125.5,204.9,68.0,75.6,354.7,27283.6,27807.4,2546988.6,6549010.5,8544498.9,25989.7,88705.9,114368.2
Albania,58,28,282.7,145.1,1996.2,1993.8,1999.5,1996.1,414.4,641.7,295.0,473.8,44.0,60.6,46.7,79.9,9.5,43.0,22.9,48.0,84.9,6521.2,6646.4,488009.3,1366492.1,1616143.9,8414.0,24529.5,28720.3
France,39,24,343.0,366.2,1987.9,1995.0,1991.9,1998.1,522.6,739.3,582.3,729.7,44.0,81.0,151.2,184.1,12.0,67.8,225.3,311.2,66.4,5104.1,5202.1,341255.4,878017.3,1104300.6,8750.1,26885.5,31674.3
Spain,30,29,928.9,1599.2,2005.2,2005.3,2006.4,2006.5,1678.7,1759.7,1865.9,1882.7,158.5,165.5,197.2,200.7,8.0,37.0,48.7,48.5,122.5,9435.2,9616.4,830382.1,2105376.8,2714641.9,27679.4,95714.1,123130.6
Lebanon,29,11,116.2,89.5,1974.3,1980.4,1976.3,1978.3,1341.8,1439.5,1381.9,1400.0,134.0,141.9,142.4,143.3,36.0,46.8,54.7,49.5,31.2,2366.7,2412.1,259609.1,744953.0,1064344.0,8952.0,29671.7,42525.5
Israel,27,8,215.0,307.2,1982.8,1992.5,1990.0,1993.2,1299.9,1382.6,1349.2,1356.5,131.0,137.1,131.1,128.5,21.0,102.1,86.4,98.2,40.5,3082.9,3142.1,328336.4,996360.7,1419239.7,12160.6,45729.4,63073.3
Gibraltar,20,20,1352.9,2485.9,2007.1,2007.1,2009.8,2010.2,1688.2,1731.3,1704.4,1697.8,142.0,214.1,178.2,169.1,9.0,11.2,13.3,13.5,137.4,10523.7,10725.8,845273.4,2050213.5,2403212.8,42263.7,137918.9,164326.6
Algeria,8,7,142.5,231.8,1997.5,1996.1,1998.9,1999.2,1470.8,1868.0,1903.8,1903.7,143.0,211.9,232.7,230.7,32.5,42.0,37.2,37.2,22.2,1709.0,1741.8,164866.2,624483.8,816739.5,20608.3,95956.8,124273.4
Saudi Arabia,7,7,310.5,381.6,2005.0,2005.0,2004.9,2004.9,1928.8,1960.5,1925.8,1930.9,169.0,166.6,154.5,155.4,16.0,34.3,35.0,36.1,50.0,3863.1,3937.3,177017.9,560804.4,734637.3,25288.3,113127.9,143720.8
Libya,7,7,79.7,133.6,1987.9,1987.9,1998.9,2000.9,920.0,968.0,1049.0,1064.3,96.0,100.4,102.1,102.7,38.0,32.4,36.2,37.3,9.3,715.7,729.5,119455.3,297624.0,385921.7,17065.0,48843.8,66345.0
Bosnia and Herzegovina,6,4,8.1,8.6,1996.7,1999.5,2006.8,2007.8,225.5,354.5,330.2,339.0,28.5,38.9,46.5,47.5,11.5,11.5,12.1,12.2,2.3,172.1,175.4,20804.2,48571.2,59250.9,3467.4,10118.0,12544.4
Tunisia,6,6,95.3,161.1,2002.5,2002.5,2005.4,2005.7,961.2,1005.0,945.9,942.3,98.0,160.5,112.0,111.2,70.5,158.3,71.1,61.8,15.2,1169.9,1192.4,125481.5,332408.1,414129.1,20913.6,64338.0,84167.9
Cyprus,6,6,110.0,169.4,1995.5,1995.5,1998.2,1998.4,1566.8,1802.9,1978.3,2035.5,167.0,171.8,183.0,185.6,16.5,35.5,43.4,43.9,21.0,1610.0,1640.9,91140.5,303260.0,407512.8,15190.1,71069.3,92150.5
Russian Federation,6,6,269.8,485.3,2001.7,2001.7,2008.4,2008.3,1653.5,1402.5,1608.6,1628.4,153.5,148.3,175.9,177.8,39.5,70.8,28.9,27.3,20.5,1586.4,1616.9,204294.5,405632.8,487622.6,34049.1,98854.7,118943.2
Morocco,5,5,48.8,73.4,2006.8,2006.8,2007.4,2007.3,1887.2,1901.6,1935.2,1938.3,208.0,230.6,235.1,232.9,19.0,26.6,20.5,20.3,9.3,714.0,727.8,132016.9,386376.3,535105.1,26403.4,103744.4,132384.9
United Kingdom of Great Britain and Northern Ireland,4,4,185.9,250.4,2002.0,2002.0,2003.7,2004.6,2948.5,2857.5,2678.6,2712.4,286.5,316.2,243.9,247.2,30.5,111.8,22.3,23.2,19.9,1528.1,1557.4,145563.9,411525.8,579311.5,36391.0,150129.7,200080.6
United Arab Emirates,4,2,1990.5,3822.6,2015.5,2013.0,2008.0,2008.0,286.0,11746.5,22818.6,23259.7,33.5,828.5,1635.7,1636.0,19.5,45.5,74.0,74.0,183.9,14245.5,14519.0,1402903.8,2644044.6,2979569.1,350726.0,920709.7,1112475.1
United States of America,4,4,678.8,1233.6,2005.5,2005.5,2010.8,2011.4,6099.6,5969.3,6119.0,6117.3,592.5,566.5,604.2,604.9,62.5,65.8,67.4,67.6,54.6,4200.0,4280.6,297670.7,878799.6,1113316.7,74417.7,350670.4,439684.6
Belgium,3,3,29.9,45.8,2005.7,2005.7,2005.2,2005.1,2905.2,2838.1,2837.5,2836.0,260.0,249.7,248.1,247.8,11.0,15.3,14.8,14.9,13.0,1000.1,1019.3,102213.5,284032.6,364731.3,34071.2,113899.1,142912.5
Singapore,2,2,21.1,18.9,2005.5,2005.5,1993.2,1993.0,3505.4,3505.4,5668.0,6532.8,256.5,256.5,441.4,444.6,75.5,75.5,145.6,146.8,14.0,1049.3,1069.4,133747.8,274394.2,296330.8,66873.9,148894.1,168510.6
Austria,2,2,54.4,97.5,2005.0,2005.0,2002.0,2002.6,768.3,768.3,453.5,432.4,44.5,44.5,50.9,49.7,10.0,10.0,11.9,11.5,4.9,381.3,388.7,35081.6,69470.6,84657.9,17540.8,54460.7,63225.7
China,2,2,45.9,83.7,2009.5,2009.5,2009.3,2009.2,676.3,676.3,718.8,729.7,59.5,59.5,67.2,68.3,7.5,7.5,3.8,3.2,3.2,245.2,249.9,20760.0,59762.6,76700.7,10380.0,47954.0,59890.3
Denmark,2,2,255.9,424.8,2008.0,2008.0,2006.2,2005.8,3779.2,3779.2,3592.6,3557.9,279.5,279.5,280.4,280.6,39.5,39.5,22.6,18.8,29.2,2246.5,2289.6,211469.7,479463.9,558250.5,105734.9,298646.0,380917.1
Ukraine,2,2,53.4,91.3,1998.5,1998.5,2011.2,2011.3,1528.6,1528.6,1568.0,1568.3,166.5,166.5,135.8,135.6,68.0,68.0,131.3,131.7,5.0,382.2,389.5,46708.2,98636.4,126270.1,23354.1,74789.8,90083.2
Bulgaria,2,2,27.7,40.0,2001.0,2001.0,2007.4,2008.1,1223.9,1223.9,1163.0,1157.2,119.5,119.5,99.4,97.2,91.5,91.5,130.0,134.3,3.2,244.6,249.3,32295.5,91351.0,135831.5,16147.7,62799.0,85630.5
Portugal,2,2,72.8,114.5,2004.0,2004.0,2002.3,2002.1,1912.4,1912.4,2001.4,2011.8,683.0,683.0,952.2,977.4,91.0,91.0,136.1,140.3,36.1,2795.2,2848.9,25980.7,161017.8,195059.1,12990.3,101615.6,128163.4
Kuwait,1,1,73.6,91.4,2011.0,2011.0,2011.0,2011.0,4736.6,4736.6,4736.6,4736.6,333.0,333.0,333.0,333.0,45.0,45.0,45.0,45.0,17.6,1362.1,1388.2,34551.4,126157.7,186272.8,34551.4,206729.0,282308.7
"Tanzania, United Republic of",1,1,70.7,101.9,2012.0,2012.0,2012.0,2012.0,5005.4,5005.4,5005.4,5005.4,435.0,435.0,435.0,435.0,151.0,151.0,151.0,151.0,12.3,946.5,964.6,38505.1,140593.8,207587.7,38505.1,230384.7,314612.9
Senegal,1,1,17.3,24.8,2010.0,2010.0,2010.0,2010.0,3071.5,3071.5,3071.5,3071.5,287.0,287.0,287.0,287.0,187.0,187.0,187.0,187.0,4.6,354.0,360.8,42496.8,124659.2,171913.3,42496.8,170252.7,214669.4
Argentina,1,1,5.9,8.5,2000.0,2000.0,2000.0,2000.0,2866.1,2866.1,2866.1,2866.1,346.0,346.0,346.0,346.0,8.0,8.0,8.0,8.0,2.0,147.1,149.9,26471.7,75942.3,109134.9,26471.7,86285.7,124100.7
Syrian Arab Republic,1,1,8.8,13.7,1971.0,1971.0,1971.0,1971.0,3688.0,3688.0,3688.0,3688.0,352.0,352.0,352.0,352.0,69.0,69.0,69.0,69.0,3.2,246.9,251.7,42910.7,123102.7,176907.8,42910.7,139869.3,201167.5
Brazil,1,1,205.8,383.0,2015.0,2015.0,2015.0,2015.0,4915.2,4915.2,4915.2,4915.2,414.0,414.0,414.0,414.0,45.0,45.0,45.0,45.0,12.4,959.5,977.9,78015.3,228997.3,261602.2,78015.3,356494.2,435683.2
Guinea,1,1,150.6,280.4,2015.0,2015.0,2015.0,2015.0,3597.8,3597.8,3597.8,3597.8,280.0,280.0,280.0,280.0,201.0,201.0,201.0,201.0,10.3,800.9,816.2,57104.2,167617.4,191482.9,57104.2,260940.3,318903.6
Togo,1,1,121.8,197.9,2016.0,2016.0,2016.0,2016.0,5035.3,5035.3,5035.3,5035.3,471.0,471.0,471.0,471.0,78.0,78.0,78.0,78.0,16.9,1309.1,1334.3,38178.4,279592.4,322364.7,38178.4,329689.7,405286.1
