Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Hvar,334,63,554.7,162.2,1996.3,1991.5,1998.3,1997.7,719.1,1457.8,488.4,527.6,28.0,79.4,147.0,135.6,25.0,49.0,74.1,72.4,330.7,25009.5,25489.7,2054307.3,4469981.1,5605347.5,6150.6,14412.2,18169.5
Milna,275,30,360.2,88.7,1997.4,1995.7,1997.6,1998.2,562.3,913.0,1209.1,837.3,31.0,92.1,384.3,338.5,11.0,25.5,21.2,19.3,193.8,14684.8,14966.8,1172527.2,2570692.4,3210113.1,4263.7,9911.8,12050.6
Split,248,55,710.8,108.0,1997.6,1995.1,1997.4,1997.1,500.7,855.7,450.6,558.8,29.0,133.2,170.6,229.0,9.0,44.4,35.6,39.7,333.1,25324.0,25810.2,1221626.8,2790949.1,3407337.2,4925.9,11105.8,12545.7
Rijeka Luka,218,55,195.4,152.1,1996.2,1997.6,2000.7,1999.6,199.4,342.5,310.3,283.3,22.5,28.3,40.7,43.1,51.0,86.5,182.1,134.1,117.1,8841.7,9011.5,683155.2,1639527.2,2139070.4,3133.7,8712.5,11482.3
Vranjic,184,48,126.1,167.8,2001.8,1995.4,2003.2,2003.5,187.1,427.9,235.4,223.7,21.0,80.9,57.6,43.3,20.0,94.7,46.9,38.0,105.5,8001.2,8154.8,497902.1,1279383.6,1612446.3,2706.0,8080.6,10226.3
Gazenica,153,27,585.1,100.9,1992.5,1991.4,2006.4,2004.3,172.9,621.0,247.8,247.3,20.0,85.2,43.6,88.4,10.0,72.0,17.4,33.5,164.0,12597.6,12839.4,523619.5,1722383.0,1840855.2,3422.3,10273.9,10400.0
Rogac,133,19,117.4,25.1,1994.4,1988.6,1994.1,1990.9,183.8,1137.1,500.3,517.0,19.0,234.0,729.3,724.3,30.0,76.7,139.0,140.2,124.5,9351.1,9530.7,423285.7,930475.4,1194650.2,3182.6,7147.3,9226.1
Supetar,133,22,198.8,37.4,2001.7,1991.9,2005.5,2004.9,233.0,1917.7,665.8,659.2,29.0,120.1,694.9,662.8,6.0,264.7,1696.0,1611.4,147.2,11051.2,11263.4,332828.4,777444.7,967059.3,2502.5,5485.7,5914.1
Sveti Kajo,124,37,89.5,108.6,1990.0,1992.6,1994.7,1993.3,268.2,617.3,430.0,402.7,23.0,65.3,108.2,88.6,42.5,152.4,249.2,197.7,99.8,7514.6,7658.9,346787.1,824832.0,1033822.9,2796.7,7856.9,10064.0
Pula,117,35,36.4,17.2,1993.5,1991.2,1991.7,1989.8,219.1,464.9,323.7,166.4,64.0,166.5,146.8,167.6,25.0,32.9,160.6,46.7,63.9,4802.2,4894.4,186348.5,391544.9,487006.8,1592.7,3822.6,4953.5
