Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Shakotan,561,68,234.9,137.5,1989.2,1990.2,1990.2,1991.1,106.4,406.1,216.9,259.1,36.0,87.8,239.1,254.7,9.0,16.6,85.8,74.8,190.0,14291.4,14565.8,896537.7,2015597.3,2266427.5,1598.1,3746.2,4430.0
Port Foster,62,26,94.4,29.1,1990.8,1990.0,1992.1,1991.0,190.1,298.6,277.0,348.3,23.0,43.5,63.3,77.6,10.0,21.8,27.9,50.1,45.1,3403.1,3468.5,247860.0,606086.3,844507.1,3997.7,10382.1,14135.2
Vernadsky,58,23,107.5,22.6,1992.0,1990.7,1995.0,1989.8,278.8,321.7,328.0,331.3,47.0,49.3,59.8,60.7,2.0,8.1,5.0,6.5,62.0,4669.2,4758.8,139044.1,524726.4,874733.3,2397.3,9041.1,14036.4
Escudero,48,16,87.0,20.0,1989.5,1987.9,1992.4,1993.4,325.1,427.7,369.0,315.8,46.0,77.5,71.5,83.4,6.5,10.7,12.6,14.6,41.1,3123.3,3183.2,159822.9,460837.4,653959.7,3329.6,9754.3,13308.2
Palmer,29,21,48.8,12.7,1990.4,1990.1,1996.0,1993.0,275.6,307.7,296.2,330.1,41.0,50.5,50.4,64.1,3.0,15.9,14.0,26.3,25.5,1932.0,1969.1,109593.5,309931.5,436754.7,3779.1,11066.4,15109.6
Rothera,9,7,23.1,9.6,1994.7,1994.0,1994.8,1994.1,456.9,481.6,488.7,616.0,52.0,71.9,95.5,118.4,5.0,5.1,5.2,4.4,10.6,803.1,818.5,62731.9,147826.0,191827.4,6970.2,17545.9,22430.4
Jubany,5,4,3.8,1.4,1981.6,1979.8,1974.5,1976.0,84.0,263.7,188.3,154.5,12.0,52.0,110.7,93.1,16.0,21.8,17.4,17.1,4.5,342.8,349.4,15062.9,40194.7,64440.2,3012.6,8681.4,13238.6
Comandante Ferraz,5,5,12.9,4.1,1998.0,1998.0,1990.5,1991.1,332.0,317.6,303.9,268.0,40.0,38.6,47.7,48.4,6.0,17.2,26.4,28.1,4.0,305.5,311.4,26331.7,64335.9,82734.5,5266.3,13606.6,17254.6
Arctowski,4,3,10.2,9.8,2006.2,2002.7,2015.6,2016.5,164.8,349.3,490.7,653.1,52.0,75.2,178.8,189.5,11.5,25.8,13.4,10.3,3.6,270.6,275.8,68418.0,141890.8,155500.8,17104.5,38433.8,43885.2
Mario Zucchelli,4,2,72.1,40.1,1992.8,1992.5,1992.9,1992.9,664.8,664.8,1380.8,1394.0,148.5,148.5,285.3,287.1,27.5,27.5,42.7,43.0,17.3,1334.7,1360.3,279928.0,574350.8,618897.8,69982.0,155721.7,175831.9
Marambio,4,2,15.3,5.8,1980.0,1980.0,1979.3,1978.7,454.2,445.7,462.3,488.3,60.0,89.8,117.9,138.1,13.5,14.5,14.5,14.0,3.7,283.5,288.9,37369.2,90544.5,121462.2,9342.3,24213.5,31817.2
Signy,3,3,7.8,2.7,1987.3,1987.3,1981.7,1991.1,726.4,629.8,616.0,507.7,98.0,122.0,100.8,88.9,5.0,4.0,3.2,4.2,2.9,214.8,219.0,16516.5,44915.3,66919.5,5505.5,15844.5,22551.7
Mcmurdo,3,1,13.1,7.5,1993.0,1993.0,1993.0,1993.0,285.2,285.2,285.2,285.2,25.0,25.0,25.4,25.4,5.0,5.0,4.7,4.7,3.6,277.9,283.2,52288.5,107284.5,115605.6,17429.5,38783.6,43792.1
Orcadas,2,2,4.3,0.8,1983.0,1983.0,1985.1,1984.7,425.1,425.1,420.7,421.4,41.0,41.0,38.0,38.6,1.5,1.5,1.6,1.6,1.7,125.1,127.5,3257.4,18396.6,40001.1,1628.7,9409.0,18184.6
Davis Station,2,2,57.7,33.0,1991.5,1991.5,1992.8,1992.8,2012.1,2012.1,2630.5,2603.1,160.5,160.5,258.3,257.9,9.5,9.5,8.2,8.2,17.3,1337.3,1363.0,230150.2,472217.7,508843.2,115075.1,256061.5,289129.7
King Sejong,1,1,1.6,0.8,1991.0,1991.0,1991.0,1991.0,272.7,272.7,272.7,272.7,94.0,94.0,94.0,94.0,2.0,2.0,2.0,2.0,1.0,76.2,77.6,5550.2,11387.7,12271.0,5550.2,12350.1,13945.0
Jang Bogo Station,1,1,7.1,2.7,2009.0,2009.0,2009.0,2009.0,939.1,939.1,939.1,939.1,176.0,176.0,176.0,176.0,7.0,7.0,7.0,7.0,2.5,184.7,188.3,19011.7,39007.9,42033.4,19011.7,42304.3,47767.5
Mawson Station,1,1,9.5,5.7,1990.0,1990.0,1990.0,1990.0,1445.2,1445.2,1445.2,1445.2,425.0,425.0,425.0,425.0,68.0,68.0,68.0,68.0,3.3,249.8,254.6,39440.9,80924.1,87200.7,39440.9,87762.7,99096.5
