Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Map Ta Phut,2045,285,5130.1,8573.2,1997.1,2002.2,2003.0,2002.9,257.6,642.1,621.4,631.7,22.0,69.4,128.4,128.7,18.0,50.4,148.1,151.9,2046.4,155493.3,158478.7,13487926.0,13295829.7,15996127.4,6595.6,18241.4,23093.8
Siam Seaport,1413,289,3355.3,5176.0,1996.3,2001.2,2003.2,2003.2,332.2,609.1,490.8,522.9,32.0,84.4,251.6,256.0,34.0,67.3,110.1,109.0,1939.9,146699.2,149515.8,9035072.3,10408841.2,13092001.8,6394.2,18616.8,23713.6
Laem Chabang,1330,335,5231.5,6563.8,2007.0,2005.1,2006.0,2006.0,106.7,546.3,259.3,256.8,9.0,77.4,269.8,244.2,11.0,49.1,135.9,129.6,1048.0,80086.3,81623.9,7106004.6,18421474.6,22043961.8,5342.9,17837.3,22008.7
Phra Khanong,1104,304,1291.1,1751.7,2001.9,2004.0,2005.4,2005.2,100.4,298.1,134.6,140.6,26.0,61.3,189.4,185.5,22.5,42.8,40.0,41.6,936.8,70728.3,72086.3,2859214.8,4463841.8,5392160.8,2589.9,8598.6,10960.8
Unithai Container Terminal,1001,224,1499.1,2168.1,1998.0,2000.2,1998.7,1998.9,253.4,1079.9,340.8,348.6,29.0,103.8,416.8,335.5,23.0,162.2,371.0,299.9,1272.0,95999.8,97843.0,6329939.4,9777570.0,12441547.9,6323.6,18051.8,23584.9
Rayong,841,197,2089.6,3425.7,1996.0,2001.2,2001.7,2001.2,317.1,645.2,643.0,651.8,32.0,93.2,282.0,277.0,21.0,63.0,129.3,127.8,1062.8,80672.5,82221.4,7478059.3,6062335.1,7687928.0,8891.9,24407.5,30905.3
Nh Prosperity,701,238,1721.5,2657.9,1995.5,2000.0,2001.8,2002.0,321.9,765.4,593.0,628.8,21.0,72.6,234.9,231.9,16.0,44.7,57.6,57.3,633.2,48018.5,48940.4,4353901.8,6099236.5,7620790.5,6211.0,18804.3,24049.6
Bangkok,538,211,1129.4,1704.5,1997.9,2001.6,1998.8,1999.3,264.7,736.9,445.3,426.1,35.5,103.7,331.4,306.2,20.0,143.3,300.5,261.1,858.7,64948.1,66195.1,3246392.4,5436156.9,6702626.8,6034.2,17916.1,22620.8
Siam Bangkok Port,526,151,760.7,1138.7,2000.0,1999.4,1999.1,1999.3,177.9,669.9,269.4,256.5,25.0,106.7,317.3,299.2,16.0,87.8,116.5,107.5,530.0,40110.1,40880.2,2357438.3,3817080.7,4701644.3,4481.8,13087.7,16690.6
Si Racha Terminal,519,196,2483.8,3833.6,1997.2,1998.9,2003.0,2003.5,389.4,836.7,883.1,849.9,55.0,123.1,385.1,367.1,16.0,40.8,57.2,57.8,925.7,70383.4,71734.8,5583498.8,7115091.5,8669068.7,10758.2,30219.9,38248.9
