Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Moin,865,219,23472.3,27787.6,2002.8,2004.6,2004.4,2005.1,982.5,1599.4,1303.0,1289.2,73.0,150.6,205.8,202.9,42.0,60.9,62.5,66.1,5534.4,425199.0,433362.8,31782763.8,90764748.6,101800833.0,36743.1,110167.0,127390.9
Limon,572,184,15303.7,12864.5,2005.1,2005.6,2005.6,2006.2,698.2,1386.0,883.5,1095.0,64.0,137.0,156.0,221.1,27.0,54.6,29.2,40.6,3203.4,247271.7,252019.3,13135699.1,44827789.8,50710292.9,22964.5,82987.1,95816.7
Caldera,520,253,19148.1,21611.5,2009.0,2009.0,2010.0,2010.8,822.5,1743.1,1221.6,1494.4,50.0,173.3,319.2,403.6,34.0,96.2,94.8,119.8,2421.4,186678.6,190262.8,13614772.6,41799027.3,50219815.8,26182.3,95990.4,113987.4
Corral,83,42,7933.2,9988.5,2004.5,2006.1,2012.2,2012.2,300.0,3888.5,8865.3,9177.7,80.0,577.2,949.9,945.4,9.0,136.5,282.0,283.1,548.1,42314.3,43126.7,2896024.0,7726298.7,9148526.6,34891.9,135977.1,168398.7
Puntarenas,71,32,4323.2,415.3,2000.7,2000.2,2002.1,2001.9,830.7,782.8,840.1,816.5,66.0,61.1,74.6,73.5,11.0,23.1,11.0,12.1,1031.0,79859.8,81393.1,2153600.8,8689154.7,9075801.1,30332.4,108065.3,105203.3
Golfito,70,43,730.3,871.7,2002.5,2002.8,2007.6,2009.1,644.3,1213.3,1097.3,1164.3,69.5,145.3,187.4,190.0,25.5,153.0,73.5,65.3,225.2,17202.7,17533.0,888845.8,2657943.8,3384017.8,12697.8,45794.1,57254.4
Puerto Caldera,60,59,5482.3,8708.2,2011.5,2011.5,2012.3,2012.4,1938.3,2996.1,2984.2,3434.3,352.5,388.8,683.3,713.5,38.0,61.8,86.2,89.8,570.9,44084.7,44931.1,3229187.1,8253448.0,10479010.0,53819.8,211617.3,259096.1
Puerto Jimenez,14,8,154.1,190.3,1994.8,2000.6,2006.7,2007.6,186.3,822.1,798.7,978.7,21.0,98.2,165.8,171.8,8.0,17.8,27.4,28.5,24.1,1849.6,1885.1,88649.3,335950.3,542835.7,6332.1,35999.5,52035.8
Punta Morales,9,9,138.2,225.4,2011.8,2011.8,2011.9,2011.9,580.1,727.3,692.9,692.8,65.0,73.3,79.0,79.4,90.0,84.7,81.5,80.8,18.7,1449.7,1477.5,84789.5,237864.7,299452.0,9421.1,39044.5,47033.0
Quepos,3,3,18.1,4.4,1996.0,1996.0,1999.9,1994.9,543.2,644.5,667.8,604.8,42.0,47.3,51.2,45.1,9.0,9.0,8.1,10.4,6.8,516.4,526.3,15865.9,98109.5,190817.8,5288.6,31770.0,55863.1
Pital,2,2,4.2,5.5,2015.0,2015.0,2016.2,2016.8,308.4,308.4,163.8,144.6,39.0,39.0,28.9,23.4,7.0,7.0,2.8,0.6,0.6,43.3,44.1,3994.9,8294.3,9915.6,1997.5,5696.4,6666.6
Papagayo,2,2,22.7,2.6,1991.5,1991.5,1993.3,1993.8,340.8,340.8,308.8,319.1,26.0,26.0,28.7,29.4,8.0,8.0,8.5,8.6,5.0,388.4,395.8,6796.5,56255.3,75020.4,3398.2,23469.4,27901.9
Turrubares,2,2,24.7,6.3,2012.5,2012.5,2013.8,2014.4,401.3,401.3,300.6,281.8,43.0,43.0,33.6,29.4,6.0,6.0,3.4,2.2,3.9,297.2,302.9,7621.7,41465.0,50972.3,3810.9,17640.6,19775.7
Sixaola/Talamanca,2,1,73.6,23.2,1990.0,1990.0,1990.0,1990.0,636.1,636.1,636.1,636.1,90.0,90.0,86.7,86.7,0.0,0.0,0.0,0.0,4.0,306.7,312.6,23541.0,103790.6,120200.1,11770.5,44739.7,48149.7
Ciruelas,1,1,15.3,18.1,2010.0,2010.0,2010.0,2010.0,2130.0,2130.0,2130.0,2130.0,168.0,168.0,168.0,168.0,12.0,12.0,12.0,12.0,3.9,300.8,306.5,40412.3,102494.4,115727.3,40412.3,104153.8,117293.6
Rio Frio,1,1,12.4,5.1,1994.0,1994.0,1994.0,1994.0,295.3,295.3,295.3,295.3,43.0,43.0,43.0,43.0,1.0,1.0,1.0,1.0,0.8,64.1,65.4,5139.1,22657.8,26240.0,5139.1,19533.6,21022.4
