Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Zeebrugge,5835,776,130732.2,81635.4,2002.8,2005.6,2008.9,2009.8,208.7,978.4,708.2,964.3,18.0,101.2,242.5,282.7,9.0,39.8,28.0,33.3,15588.9,1153288.3,1175431.5,54712977.7,190283044.8,212249756.6,9376.7,34457.9,41746.5
Doel,4327,945,185930.2,203477.6,2006.7,2008.0,2009.1,2008.9,332.9,799.8,773.9,776.6,34.0,72.7,243.9,235.6,20.0,30.6,25.4,25.5,24026.9,1836428.8,1871688.2,130106907.5,367740766.9,417421733.0,30068.6,98169.0,115634.9
Zandvliet,2396,1391,55140.2,83080.0,2006.0,2006.6,2008.8,2009.3,556.3,1329.9,1649.4,1681.8,80.0,143.1,321.6,329.1,28.0,54.9,78.9,83.4,9139.7,697014.9,710397.6,49398582.8,141842788.1,172897070.3,20617.1,76485.4,95869.0
Antwerp,2224,1203,46309.2,72872.7,2005.9,2006.3,2008.6,2008.9,440.7,1243.4,1557.9,1594.0,59.0,127.0,318.5,322.8,26.0,53.4,77.4,80.9,7925.3,604022.9,615620.1,41533479.9,119824238.2,143678545.1,18675.1,66025.2,81113.8
Kallo,1415,702,32485.3,28305.4,2006.3,2006.8,2007.5,2007.8,479.9,957.7,954.7,1143.0,52.0,94.5,208.2,243.6,22.0,50.5,49.3,74.0,4706.6,357392.6,364254.5,19338491.4,60309965.0,72734236.5,13666.8,51652.4,61963.5
Pijp Tabak,1273,745,10026.7,13942.5,2004.3,2005.2,2006.6,2007.4,409.4,879.5,905.7,958.6,53.0,95.9,230.0,239.4,24.0,46.1,77.2,86.9,2721.9,206623.9,210591.1,12484989.8,36406722.6,45891251.1,9807.5,36236.1,45677.9
Nieuwpoort,873,653,6571.1,9278.6,2006.2,2006.7,2007.1,2008.1,99.0,397.9,464.9,444.7,25.0,58.4,212.9,175.5,32.0,51.2,59.3,65.5,1404.2,106156.5,108194.7,5176422.9,15881285.1,18932326.2,5929.5,22645.5,27948.7
Terdonk,837,497,7559.5,12611.5,2002.0,2004.1,2009.3,2009.6,296.3,919.8,1295.2,1412.6,60.0,116.1,304.1,315.4,23.0,44.2,71.8,75.4,1203.1,91419.8,93175.0,6976106.1,22100520.7,28604517.9,8334.7,33972.6,43678.2
Rieme,644,360,8486.0,15024.6,2002.2,2005.7,2011.3,2011.5,246.3,954.7,1440.8,1538.5,43.0,129.1,312.6,313.4,21.0,59.3,83.0,83.9,954.4,72517.5,73909.8,5704001.1,16406933.9,20648205.7,8857.1,35670.1,44901.0
Gent,546,203,9484.8,8075.9,2005.2,2005.4,2006.6,2008.0,549.5,984.9,718.8,970.3,34.0,111.3,123.3,200.3,14.0,62.4,47.6,80.5,1505.3,113630.4,115812.1,5607620.4,12452641.5,16447422.9,10270.4,31911.0,38447.4
Oostende,462,170,977.0,1039.2,1998.6,1999.6,2003.2,2004.6,211.7,611.0,482.8,415.4,28.0,170.4,264.1,259.0,10.5,82.4,37.8,44.0,353.2,26638.1,27149.5,3110247.4,7302225.8,8367638.2,6732.1,17366.4,20456.0
Kieldrecht,429,193,20934.1,8789.0,2008.2,2007.6,2010.8,2011.0,573.8,783.5,917.9,857.7,46.0,58.9,127.7,116.6,18.0,32.4,21.6,26.5,1712.4,130650.1,133158.6,9150864.1,26843399.8,31163887.7,21330.7,63630.2,68439.7
Berendrecht,401,246,13184.3,20986.7,2007.2,2006.4,2008.9,2009.1,695.4,1471.6,1508.1,1663.5,61.0,141.5,285.5,298.1,22.0,64.8,111.0,119.4,1927.3,147569.9,150403.3,11732952.0,31443817.9,37721150.6,29259.2,98506.3,120954.5
Ekeren,339,238,3327.2,4576.4,2003.6,2004.1,2006.6,2006.8,389.5,952.3,1005.7,1091.9,42.0,94.8,298.6,300.5,25.0,50.9,52.3,54.5,617.9,47039.6,47942.7,3556435.2,11087102.7,14587716.1,10491.0,42340.3,55265.4
Wondelgem,336,280,2731.2,4346.3,2003.3,2003.9,2009.0,2009.3,468.4,830.2,1284.4,1357.1,55.5,91.6,291.6,296.5,27.0,47.0,102.8,105.1,478.8,36478.7,37179.1,3333392.0,9308867.9,12534616.7,9920.8,36367.1,46962.0
Zelzate,232,102,1433.5,2130.9,2000.5,2002.4,2006.2,2006.5,310.2,675.5,982.5,1171.0,58.0,95.4,254.9,282.8,24.0,37.7,77.7,88.8,383.1,29022.8,29580.1,2170204.6,6019122.4,7598795.2,9354.3,32192.5,41151.1
Adinkerke,208,162,274.6,353.1,2004.3,2004.7,2005.5,2005.9,64.6,254.9,255.3,233.3,10.0,34.7,117.8,111.6,23.0,58.0,39.9,34.8,134.2,10147.7,10342.5,441524.7,1326922.8,1599677.5,2122.7,7509.9,9311.7
Langerbrugge,186,131,2931.5,4361.9,2001.3,2002.8,1998.5,1998.8,375.6,1022.2,1889.6,2324.7,60.0,116.6,326.1,337.8,23.0,48.7,81.8,87.6,423.4,32447.8,33070.8,2499346.5,7429641.5,10729301.2,13437.3,57631.6,75931.4
Lillo,171,97,683.9,843.9,2003.8,2005.2,2005.5,2005.6,324.1,581.8,839.6,730.7,37.0,84.3,157.1,157.3,24.0,40.0,45.1,53.5,236.3,17843.3,18185.9,1084644.9,3170088.0,3951064.9,6343.0,21534.9,26819.7
Brugge,108,73,119.3,171.7,1995.9,1997.5,1999.8,1999.4,372.8,474.4,435.1,427.2,52.0,84.4,89.7,79.2,19.5,32.2,34.3,34.4,43.9,3298.8,3362.1,525040.7,1460125.3,2046849.7,4861.5,15580.0,21786.0
Wintham,103,55,121.4,180.3,1998.8,2001.8,2001.2,2001.0,283.1,494.7,469.7,475.6,38.0,73.8,119.3,118.0,36.0,50.3,60.2,59.2,46.2,3474.7,3541.4,445515.3,1293302.2,1826011.9,4325.4,14600.3,20426.9
Hemiksem,62,46,128.1,188.1,2005.5,2005.9,2007.1,2007.1,295.0,450.9,540.6,549.5,44.5,61.5,103.3,103.3,20.0,34.7,23.9,24.1,61.4,4628.8,4717.6,332993.8,952823.5,1208192.3,5370.9,17334.0,21956.8
Noeveren,59,46,150.2,213.3,2005.6,2005.0,2006.1,2005.9,430.2,553.4,628.5,617.2,53.0,64.3,101.8,101.5,25.0,36.5,35.9,35.6,45.7,3439.1,3505.1,399083.5,1162652.9,1567671.6,6764.1,24385.3,31525.1
Wijnegem,55,13,31.1,42.4,1996.7,1996.8,2000.0,2000.5,244.1,302.1,303.3,331.0,37.0,47.7,67.0,68.5,22.0,21.1,24.4,24.8,12.8,962.7,981.2,134856.3,384084.7,549100.4,2451.9,7921.5,11346.6
Blankenberge,52,33,93.6,74.1,1998.6,1999.2,2002.9,2004.1,402.5,696.7,450.3,383.6,51.5,86.9,90.4,93.0,64.0,191.7,134.6,139.9,48.6,3649.8,3719.8,335807.7,702800.6,802528.0,6457.8,15114.1,17708.4
Kruibeke,52,16,36.0,45.9,2002.2,1997.8,2005.5,2005.2,278.2,364.3,420.9,424.9,36.0,50.0,58.2,59.1,15.0,33.3,28.5,27.4,11.6,872.5,889.3,145703.5,416694.2,598221.6,2802.0,9099.6,13076.2
Willebroek,48,41,102.8,149.5,2003.0,2002.7,2005.3,2005.2,541.3,639.5,724.2,715.7,75.5,74.2,119.7,118.2,28.5,40.8,44.6,45.1,31.5,2382.1,2427.8,358536.8,1037555.8,1471850.7,7469.5,26243.8,36031.5
Ruisbroek,43,40,73.7,108.5,2005.5,2005.2,2007.2,2007.1,345.9,444.3,466.4,474.8,38.0,53.9,76.7,77.1,25.0,47.6,46.0,46.4,23.8,1788.7,1823.1,231376.5,674568.3,919248.0,5380.8,18122.2,24463.1
Burcht,39,20,62.7,91.2,2003.2,2002.6,2004.4,2004.4,276.3,353.8,408.2,400.0,51.0,68.7,73.1,72.3,24.0,30.0,42.0,41.9,40.9,3073.6,3132.6,162960.3,496737.0,647480.0,4178.5,14206.3,18700.8
Merksem,28,14,20.6,24.1,1991.9,1992.5,1993.4,1994.0,242.3,603.4,424.1,403.9,34.0,70.9,75.0,63.1,22.5,33.4,33.1,39.1,8.4,632.2,644.3,82566.8,228571.7,320021.1,2948.8,9199.2,12961.0
