Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,306,57,2206.6,3629.1,1996.4,1998.2,1996.4,1996.4,328.5,340.5,410.5,409.8,118.0,133.8,325.4,324.9,77.5,91.9,104.8,104.9,384.8,29304.5,29867.1,1450420.5,4032318.7,6222640.9,4739.9,22313.8,28879.7
General cargo,29,11,83.4,126.6,2002.1,2004.0,2000.4,2000.3,210.3,238.5,318.0,321.5,25.0,84.6,198.0,200.1,58.0,72.8,99.5,99.2,31.5,2388.0,2433.9,79635.5,261493.7,374439.9,2746.1,13649.9,18050.4
Service - tug,19,3,11.0,7.8,2002.3,2004.0,2002.1,2002.1,612.9,9655.5,2208.5,1668.2,65.0,401.3,247.0,319.3,32.0,1593.3,3287.0,2772.7,37.6,2826.4,2880.7,200339.7,473743.2,634316.5,10544.2,27227.0,36761.1
Service - other,18,4,17.4,11.6,1999.1,1995.5,2001.4,2003.5,379.2,593.6,964.6,1173.4,158.0,180.2,1285.8,2035.1,37.5,42.2,81.0,60.8,24.4,1834.2,1869.4,80939.9,166071.0,178951.6,4496.7,10005.8,11298.0
Cruise,15,7,53.5,8.3,1992.9,1996.3,1996.6,1996.2,234.2,253.6,232.1,233.8,18.0,28.2,22.6,24.9,9.0,13.6,9.2,9.0,19.7,1500.0,1528.8,80084.3,222695.5,272920.2,5339.0,14542.3,17496.8
Ro-Ro,14,1,3.5,6.4,2009.0,2009.0,2009.0,2009.0,236.4,236.4,503.4,503.4,48.5,48.5,578.7,578.7,17.5,17.5,57.5,57.5,38.4,2884.0,2939.3,23268.5,179390.9,84652.9,1662.0,4056.1,5782.1
Chemical tanker,10,6,62.1,102.9,2012.8,2012.7,2012.8,2012.8,205.2,210.5,206.8,206.7,19.0,19.3,19.6,19.6,30.5,26.7,25.8,25.7,12.9,1000.2,1019.4,19849.6,145364.6,167602.6,1985.0,17141.1,21071.5
Container,10,2,38.6,45.9,2016.2,2016.5,2016.2,2016.2,206.8,206.8,209.7,209.7,17.5,17.8,17.9,17.9,30.0,30.0,29.6,29.6,10.0,762.6,777.3,42536.1,165005.9,188282.9,4253.6,17810.6,21732.9
Miscellaneous - fishing,3,2,1.1,1.2,1995.0,2000.0,2000.4,2008.6,331.2,338.7,325.8,367.8,331.0,622.2,706.4,337.7,34.0,104.5,121.6,54.6,5.3,399.2,406.8,8662.0,19214.0,21844.3,2887.3,6795.2,8055.3
Oil tanker,2,2,6.5,10.1,2000.0,2000.0,2006.1,2006.0,208.6,208.6,204.9,205.0,25.0,25.0,18.9,19.0,17.5,17.5,18.8,18.8,1.9,146.4,149.2,11625.5,20680.4,23565.9,5812.8,16961.3,20273.6
Refrigerated bulk,1,1,0.8,1.0,1989.0,1989.0,1989.0,1989.0,140.9,140.9,140.9,140.9,40.0,40.0,40.0,40.0,100.0,100.0,100.0,100.0,2.5,187.9,191.5,2823.3,6168.9,6948.7,2823.3,6016.3,6495.8
