Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Honiara,266,147,6657.0,8691.1,2005.5,2005.5,2006.9,2007.4,1231.4,3616.0,1899.2,1966.0,147.0,506.7,292.7,286.1,32.0,81.9,59.9,56.6,1255.8,96206.9,98054.1,7068933.4,22016067.6,26258980.0,26574.9,99265.5,121041.0
Noro,161,81,6872.2,11118.2,2000.1,2000.6,1998.2,1998.0,3179.5,2796.2,2888.2,2975.2,278.0,281.3,333.7,336.8,12.0,49.9,142.8,143.3,737.5,56833.2,57924.4,5123765.5,15267313.8,22434885.8,31824.6,149255.5,192010.9
Rannell Island,24,7,3506.9,6577.7,1999.0,1999.7,1999.1,1999.1,3699.6,3608.3,3609.8,3611.3,324.0,317.2,326.5,326.5,311.0,287.6,283.7,283.9,263.4,20402.2,20793.9,1339732.9,3932501.5,4492414.9,55822.2,255081.9,311743.9
Gizo,7,6,153.3,170.3,1999.7,2000.8,1997.0,1998.3,385.7,1295.3,810.6,1382.6,39.0,141.9,380.6,516.1,6.0,88.2,292.4,406.6,23.6,1803.6,1838.3,85803.3,367039.4,516712.6,12257.6,68113.3,89921.6
Ringgi Cove,6,4,91.3,154.1,2007.3,2006.5,2007.4,2007.4,2095.8,2622.8,2246.8,2238.2,178.5,236.2,221.1,221.0,296.5,283.2,277.9,276.5,25.4,1940.0,1977.2,122896.3,389171.9,550902.2,20482.7,95217.3,124228.3
Aola Bay,4,4,104.3,165.1,1998.0,1998.0,1996.0,1996.0,6542.6,9929.4,11230.7,11009.7,1142.5,1504.5,2207.3,2155.1,34.5,36.2,32.7,32.8,52.1,3981.5,4057.9,530698.0,256912.8,294963.6,132674.5,373936.4,483755.5
Yandina,2,2,39.0,51.0,1989.5,1989.5,1989.4,1989.4,4257.2,4257.2,4248.3,4251.5,293.0,293.0,292.8,292.9,17.0,17.0,18.3,17.8,18.1,1382.1,1408.7,151375.9,330763.8,372574.3,75688.0,161290.2,174145.0
Choiseul Bay,2,2,16.1,20.8,2000.5,2000.5,2017.7,2017.9,2745.2,2745.2,3419.4,4673.8,1541.0,1541.0,3045.6,3063.4,1300.5,1300.5,2571.4,2586.4,21.2,1597.3,1628.0,76928.1,190124.3,233701.5,38464.0,111411.4,136589.3
Viru Harbour,2,2,14.7,24.2,2008.0,2008.0,2002.2,2002.2,1705.9,1705.9,2184.7,2179.8,142.5,142.5,201.9,201.7,156.5,156.5,36.4,36.8,5.1,392.6,400.1,52677.9,144040.0,190766.0,26338.9,93405.8,116472.7
Kirakira,2,2,112.5,192.4,1993.5,1993.5,1987.1,1987.0,3593.9,3593.9,3380.3,3512.0,177.0,177.0,296.7,298.3,347.0,347.0,434.5,435.6,10.8,831.0,846.9,78849.8,218892.8,340202.6,39424.9,185738.5,240730.5
Lever Harbour,1,1,65.2,106.3,2002.0,2002.0,2002.0,2002.0,3737.8,3737.8,3737.8,3737.8,498.0,498.0,498.0,498.0,333.0,333.0,333.0,333.0,7.0,534.6,544.9,43577.7,120974.9,188018.8,43577.7,205303.1,266087.6
