Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Sweden,5065,656,31522.7,12309.4,1998.9,2002.5,2000.3,2004.7,175.8,485.6,216.2,355.3,13.0,56.9,33.7,60.9,5.0,34.6,15.0,22.4,6243.1,462394.8,471272.8,28241413.8,78232283.8,98164314.6,5575.8,15676.9,17324.7
Germany,2458,361,36359.1,21918.1,2004.9,2004.6,2006.9,2007.0,633.7,837.5,692.3,772.1,48.0,83.6,53.8,74.3,11.0,41.3,15.7,23.5,8956.6,672439.7,685350.5,33552278.6,91297512.2,106911526.2,13650.2,37913.3,41820.8
Russian Federation,1773,512,6735.3,6013.2,1999.6,2002.6,2004.0,2005.4,166.9,308.3,203.4,203.2,19.0,42.0,38.1,50.2,24.0,57.2,34.1,42.0,1967.2,147281.5,150109.3,6229190.4,17916810.5,22141227.5,3513.4,11400.0,14020.6
Estonia,1603,451,5183.4,2707.1,1997.1,2000.7,2001.8,2002.7,148.0,294.5,407.8,269.0,16.0,52.7,173.6,117.7,12.0,45.7,49.1,38.4,1472.6,108619.8,110705.3,6927096.7,18520505.3,23728853.2,4321.3,12147.6,14130.1
Netherlands,867,340,9421.8,12992.0,2005.1,2005.3,2006.7,2006.9,1188.6,1199.9,1249.2,1262.8,113.0,131.7,134.1,140.5,22.0,37.2,35.9,37.9,2615.3,195685.3,199442.5,13558121.4,42879498.2,53991908.0,15638.0,60024.0,75675.5
Poland,740,247,4544.8,4775.1,2003.0,2002.9,2004.0,2003.8,474.4,592.3,463.0,496.9,43.0,63.6,46.5,55.5,15.0,62.3,38.0,38.0,1340.3,100614.0,102545.8,5624699.4,16413097.0,20058249.6,7600.9,25247.8,31221.3
Denmark,511,321,5892.4,6964.7,2003.1,2004.1,2006.2,2007.5,792.8,870.9,830.6,867.0,72.0,102.4,75.7,84.6,9.0,26.4,15.0,15.0,1337.1,100284.2,102209.6,5543382.3,16453831.6,21206369.7,10848.1,40493.2,50848.9
Belgium,481,147,10273.0,9058.5,2003.8,2004.4,2003.5,2003.9,1278.1,1248.5,1274.8,1282.8,99.0,120.0,94.2,99.0,21.0,29.6,24.0,24.1,2577.8,193348.9,197061.2,9862276.3,27023864.3,32392981.1,20503.7,65634.2,78404.9
United Kingdom of Great Britain and Northern Ireland,456,187,6398.4,6140.5,2003.3,2003.3,2007.2,2006.8,1248.6,1315.1,1309.8,1350.6,112.0,127.4,103.8,118.1,23.0,41.7,30.7,40.2,1572.5,117863.0,120125.9,7188416.1,20574093.7,26688843.6,15764.1,53164.2,67851.2
Latvia,346,154,1153.4,1439.1,2002.4,2002.0,2006.5,2005.8,353.3,471.3,445.1,476.5,31.0,44.8,43.3,47.1,21.5,33.7,52.8,67.5,309.9,23273.9,23720.7,1948355.8,5645172.4,7138831.4,5631.1,19211.0,24286.2
Lithuania,283,119,1295.8,1559.6,2003.3,2003.2,2005.7,2005.4,394.8,487.4,513.2,500.5,40.0,65.4,69.3,70.7,17.0,48.9,37.0,41.0,373.1,28003.1,28540.8,2513926.0,7348667.6,8685850.1,8883.1,28281.7,34282.3
Norway,141,81,1145.9,1716.9,2002.9,2003.0,2005.9,2005.8,988.4,1031.0,1183.1,1190.1,99.0,106.8,108.4,108.8,21.0,40.1,34.8,35.0,330.2,24715.4,25189.9,2393920.1,6677293.6,8567628.5,16978.2,55899.2,71244.3
France,119,67,1186.5,1703.3,2002.8,2003.9,2006.0,2006.8,1485.7,1539.6,1544.3,1550.6,138.0,169.6,158.3,157.0,29.0,47.7,38.3,32.6,284.1,21366.5,21776.7,2165555.6,6556888.6,8773944.3,18197.9,66530.2,88469.5
Spain,93,46,1766.0,1856.7,2000.0,2003.4,2001.4,2003.9,1960.1,2522.6,2211.6,2368.4,157.0,248.7,222.1,236.0,22.0,41.5,30.2,36.4,531.9,40236.9,41009.4,2390240.0,7837770.7,8600683.8,25701.5,83416.5,106048.2
Morocco,27,21,976.0,1528.2,2010.7,2010.6,2010.1,2010.0,2667.3,2748.9,2782.7,2793.2,242.0,250.6,241.9,241.3,49.0,100.8,126.4,129.8,210.8,16061.1,16369.4,958386.8,3697908.4,4708214.7,35495.8,176042.8,219441.5
Portugal,21,18,184.1,251.5,2006.3,2005.5,2007.7,2007.5,2035.8,2203.5,2310.2,2281.5,209.0,221.6,227.0,225.8,57.0,60.9,52.5,56.1,51.8,3910.0,3985.0,585330.0,1699441.1,2435370.8,27872.9,95651.6,135169.0
Åland Islands,19,3,73.0,7.3,2003.6,1991.0,2005.3,2005.2,84.5,71.8,84.2,84.2,6.0,6.3,6.0,6.0,0.0,0.0,0.0,0.0,11.1,831.7,847.7,45155.7,111636.6,136957.2,2376.6,5073.5,4622.7
