Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,3794,1167,9947.7,13481.5,1997.4,2001.0,2002.3,2002.5,468.8,706.1,746.4,730.7,55.0,81.3,206.3,193.5,36.5,77.3,74.5,76.2,2846.9,214547.3,218666.6,23415228.3,69040550.4,98423525.7,6171.6,22688.1,31247.8
Ferry-RoPax,3279,38,18362.9,4245.5,1991.9,1995.2,1992.3,1993.1,153.8,344.1,224.5,218.9,10.0,29.0,96.0,92.7,3.0,197.6,59.4,44.9,4337.6,325736.4,331990.5,26377161.3,65228632.4,80035951.2,8044.3,17171.3,15639.5
Container,1574,178,32537.1,33889.0,2005.8,2007.1,2011.2,2010.8,474.0,611.5,744.7,722.6,41.0,47.3,59.5,59.2,16.0,29.7,49.1,47.7,4382.6,328936.5,335252.1,21107246.8,71712864.0,76662685.1,13409.9,46899.9,55824.9
Chemical tanker,690,269,5050.3,7893.2,2004.2,2005.8,2007.1,2007.2,549.4,718.5,720.6,733.1,58.0,93.2,151.5,157.4,27.0,92.7,136.9,143.2,1799.1,135187.2,137782.8,6463507.0,21773221.0,26092709.9,9367.4,35675.5,43330.5
Bulk carrier,601,411,36775.3,66590.9,2005.4,2008.7,2010.8,2010.9,712.6,2006.9,2191.8,2247.0,77.0,210.8,540.2,550.9,85.0,141.3,138.5,138.9,3288.7,250645.8,255458.2,17804940.2,43768024.7,53662438.1,29625.5,113531.1,137610.7
Miscellaneous - fishing,374,76,256.4,122.0,1985.2,1986.7,1988.6,1988.8,511.1,1189.0,1588.1,1400.9,62.5,236.0,727.7,673.2,49.0,303.2,687.4,707.3,374.6,28131.9,28672.1,858207.7,1903670.2,2164280.2,2294.7,5400.4,6401.9
Ro-Ro,364,28,2695.2,1553.8,1998.5,2002.5,2002.4,2001.4,345.4,691.6,418.5,403.0,21.0,51.1,78.4,65.6,8.0,250.4,127.0,100.7,855.3,64246.0,65479.6,1721276.0,3615632.1,3810780.4,4728.8,11133.1,12002.6
Service - tug,272,84,48.6,29.0,1985.5,1991.9,1991.7,1994.1,390.6,475.7,493.8,506.2,65.0,177.6,219.4,256.3,44.0,197.0,250.4,310.6,156.4,11743.8,11969.3,742647.0,1756136.7,2351372.1,2730.3,7050.2,9518.9
Liquefied gas tanker,208,57,4845.3,4271.3,2011.2,2007.5,2009.1,2009.2,549.6,897.4,1210.9,1220.8,51.0,83.4,288.0,286.7,21.0,72.2,34.8,35.9,758.0,57000.7,58095.1,1791433.4,8162269.7,7434362.0,8612.7,46549.7,63690.6
Oil tanker,198,102,13275.2,24289.2,2002.9,2008.3,2011.1,2011.2,556.0,1465.3,1579.9,1611.8,56.0,157.4,334.9,338.6,29.0,97.4,57.4,56.0,1819.4,137781.2,140426.5,11803622.2,23969872.4,26559934.2,59614.3,150561.2,186424.8
Service - other,136,47,233.9,246.4,1990.3,1991.6,1999.2,2001.9,268.5,825.6,1057.8,928.6,43.0,187.3,420.2,340.5,63.5,204.9,296.5,255.8,138.2,10381.7,10581.0,1719099.7,3527215.2,3800787.9,12640.4,28127.1,31759.5
Refrigerated bulk,132,43,569.7,547.8,1991.3,1992.7,1997.3,1997.6,554.8,1213.2,1054.7,1106.3,41.0,100.1,237.0,243.5,11.5,162.7,74.9,80.0,406.6,30660.7,31249.4,1625203.3,3551148.2,4000034.5,12312.1,26237.0,28328.1
Vehicle,128,27,1419.3,494.9,2000.5,2001.6,2003.9,2004.3,613.6,816.2,702.0,709.1,48.0,63.3,111.6,115.1,8.0,174.1,80.6,87.0,263.7,19611.2,19987.7,501178.2,2209658.7,2559009.9,3915.5,14882.6,16017.0
Cruise,120,42,1969.4,217.1,2001.4,1997.2,2008.2,2006.5,292.6,338.1,385.2,373.2,19.0,28.7,41.4,39.0,8.0,15.0,9.5,10.8,471.0,35368.0,36047.1,985001.1,4442747.3,5185140.0,8208.3,32960.7,35975.3
Ferry-pax only,49,5,24.6,3.7,1985.6,1980.4,1982.7,1981.4,184.0,3652.6,744.5,896.5,12.0,1280.2,1021.4,1329.8,30.0,28.0,89.4,76.5,36.0,2702.0,2753.9,306025.2,623249.0,785101.1,6245.4,14523.4,19146.7
Other liquids tankers,5,1,10.4,18.0,1988.0,1988.0,1988.0,1988.0,732.7,732.7,1094.8,1094.8,87.0,87.0,153.5,153.5,13.0,13.0,20.4,20.4,10.2,765.6,780.3,9257.5,26433.1,56989.8,1851.5,6414.3,10364.9
