Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Szczecin,351,196,329.6,460.6,1997.5,1999.6,2004.7,2005.6,98.9,159.9,176.7,173.7,14.0,37.1,47.4,46.2,40.0,149.3,131.9,112.2,278.8,20945.8,21348.0,756170.3,1902638.9,2372055.4,2154.3,6348.3,7794.5
Gdansk,219,108,156.0,218.8,1990.2,1995.4,1999.7,2000.7,230.5,381.9,296.9,295.0,35.0,177.7,284.5,224.0,28.0,72.4,92.7,88.9,176.5,13254.7,13509.2,803536.9,1811272.1,2283289.8,3669.1,9787.2,12527.1
Gdynia,185,112,139.1,200.5,1997.6,1996.1,2005.0,2006.0,221.4,285.0,180.6,181.7,26.0,107.6,74.5,67.4,33.0,155.5,130.7,130.6,146.5,11001.8,11213.0,371650.3,965406.3,1257826.1,2008.9,5998.0,7868.8
Swinoujscie,172,83,382.0,629.5,1996.6,1998.1,2005.2,2006.4,264.1,453.9,557.9,597.5,30.0,143.4,104.8,57.4,22.0,59.7,182.4,195.6,124.6,9358.7,9538.4,634155.0,1517064.9,1942734.0,3686.9,10888.2,13967.1
Nowy Port,130,57,89.3,89.9,1990.6,1990.6,1999.1,2003.7,259.1,552.0,430.3,496.3,107.5,372.5,317.6,283.4,40.0,199.9,146.5,144.0,128.9,9676.1,9861.9,534520.2,1179434.1,1380420.8,4111.7,9907.4,11863.9
Wladyslawowo,67,29,18.2,14.0,1983.2,1982.0,1987.5,1986.3,281.4,1627.4,582.0,443.6,47.0,434.6,1726.8,1441.2,27.0,112.6,302.9,252.0,72.6,5448.4,5553.0,128572.3,269727.9,340029.9,1919.0,4825.3,6197.9
Kolobrzeg,46,18,12.5,7.6,1986.1,1986.4,1982.7,1982.1,165.2,691.2,208.3,218.2,25.5,170.3,119.3,209.0,18.5,64.6,56.0,62.2,17.0,1276.7,1301.3,39272.1,94815.2,115093.2,853.7,2355.7,2867.3
Krynica Morska,38,13,9.1,5.1,1984.0,1986.0,1982.8,1978.6,269.0,1721.4,600.8,829.5,128.0,838.0,1872.1,2177.4,32.0,160.5,482.4,623.2,63.4,4763.0,4854.5,36071.5,79647.7,90283.7,949.2,2226.6,2632.2
Trzebiez,27,18,12.4,16.1,1986.1,1986.4,1982.3,1980.6,227.8,459.2,413.9,471.6,16.0,280.9,200.7,70.0,13.0,50.3,292.9,349.2,24.4,1832.8,1868.0,108880.1,235904.5,271047.5,4032.6,9596.8,11384.6
Darlowo,27,24,8.1,9.4,1986.4,1986.5,1988.9,1988.3,150.0,310.1,210.5,191.2,18.0,163.2,438.3,683.8,16.0,41.5,23.0,20.3,12.8,960.2,978.7,43622.8,109152.8,127480.1,1615.7,4163.2,5285.5
Leba,26,21,13.7,13.3,1993.7,1993.9,2005.2,2003.5,153.0,270.1,115.6,106.5,31.0,159.3,213.3,96.2,10.5,11.4,5.7,5.5,10.6,798.8,814.2,24896.8,61465.6,75476.0,957.6,2720.1,3397.1
