Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,7163,3932,933225.3,1732931.8,2008.9,2009.4,2009.6,2009.6,1793.4,2829.0,3171.7,3225.6,169.0,284.6,573.1,579.8,105.0,127.3,90.3,88.4,64536.9,4996989.1,5092931.3,421370002.4,997789025.0,1181979238.7,58825.9,208725.3,250144.8
Oil tanker,3934,1576,767560.2,1449206.9,2006.2,2007.7,2009.7,2009.7,1227.7,2927.7,3508.9,3555.9,134.0,298.6,661.4,665.6,22.0,58.6,53.6,53.6,52679.1,4076076.0,4154336.7,492107545.3,889686576.0,978415911.4,125090.9,328000.7,407185.6
Chemical tanker,3705,1173,74248.4,119523.6,2006.9,2008.5,2008.0,2008.0,1021.0,1555.2,1563.8,1569.1,101.0,144.2,263.4,264.8,44.0,67.6,71.3,71.1,15611.7,1201317.1,1224382.4,70693522.3,269983090.3,320273182.5,19080.6,82895.5,100689.1
Container,3228,556,99249.4,122037.0,2005.0,2006.1,2006.8,2006.6,670.3,1286.5,1089.6,1085.2,56.0,103.6,231.8,224.2,25.0,33.4,28.6,28.9,15202.8,1174934.3,1197493.0,99587021.0,317038011.4,352943856.1,30851.0,104384.9,122479.5
General cargo,2965,975,49354.6,65783.9,2005.1,2005.3,2005.9,2006.1,1034.9,1876.8,2022.1,2019.8,111.0,206.4,379.6,386.6,39.0,80.6,100.9,106.4,8679.6,666389.2,679183.9,42787573.3,139888143.1,201272484.1,14430.9,69972.9,93789.0
Service - tug,2083,441,845.5,710.8,2007.8,2009.3,2009.8,2009.5,215.9,900.9,905.3,931.2,58.0,305.9,852.8,892.5,33.0,166.0,315.8,305.9,1014.6,76301.2,77766.1,18179895.9,42989981.0,57561261.0,8727.7,22536.6,30428.2
Ferry-pax only,1229,89,714.0,173.1,2002.0,2002.3,1998.8,1998.8,642.0,1437.8,934.1,940.3,39.0,103.5,188.3,186.7,15.0,47.2,76.1,61.6,746.8,56073.4,57150.0,9885992.4,21844297.6,27737194.5,8043.9,19534.2,25777.1
Liquefied gas tanker,1153,380,113636.2,103631.8,2004.5,2007.0,2006.5,2007.5,1646.2,3290.2,3810.3,3724.7,142.0,264.8,560.3,551.9,31.0,73.2,150.4,132.7,14776.5,1020527.4,1040121.5,31508605.6,186694151.9,163342845.2,27327.5,213029.6,318796.1
Vehicle,367,132,26185.5,8794.1,2003.6,2004.9,2005.5,2005.3,677.1,2235.4,1611.9,1663.1,50.0,149.0,233.2,238.3,11.0,22.9,37.2,40.6,1770.7,137018.5,139649.2,8905181.4,39262301.7,45469746.9,24264.8,92230.5,99260.2
Ro-Ro,351,37,331.7,308.7,2010.1,2009.7,2000.1,2001.9,70.3,1251.8,321.1,326.0,11.0,544.1,409.0,592.7,9.0,229.4,96.6,105.7,486.3,36674.7,37378.9,679284.0,4150329.0,2195384.7,1935.3,4675.4,6213.4
Service - other,270,101,3660.2,3909.8,2005.5,2005.1,2001.9,2001.4,289.6,1957.8,1403.4,1156.0,42.0,504.0,1253.7,1313.5,25.0,245.4,169.2,172.2,1038.8,79395.6,80920.0,27283032.9,55978793.9,60320540.3,101048.3,224849.4,253886.8
Cruise,104,49,7291.5,741.2,2002.1,2000.6,2005.8,2005.4,783.2,1054.7,1013.3,1004.4,46.5,86.1,62.0,64.3,8.5,14.0,38.7,36.8,1423.2,110143.0,112257.8,1175767.1,11550528.3,14965276.7,11305.5,96940.8,118407.3
Ferry-RoPax,103,23,293.0,93.5,1994.8,1997.3,2000.1,2000.8,370.7,1736.3,1340.1,1369.3,37.0,484.7,661.4,614.8,29.0,172.0,260.2,304.9,200.0,15061.9,15351.1,1020047.7,2356641.2,3010512.1,9903.4,21649.2,25691.8
Miscellaneous - fishing,79,32,215.9,154.4,2001.2,2000.2,2003.8,2005.1,318.0,9129.5,1896.6,2461.3,91.0,1388.0,2445.4,2741.6,21.0,53.3,62.8,58.7,244.5,18357.1,18709.6,1085788.1,2408487.3,2738206.1,13744.2,32346.2,38344.5
Refrigerated bulk,38,27,710.4,780.1,1992.0,1993.1,1992.8,1992.1,2695.4,4555.8,3833.4,3948.2,256.0,508.0,812.0,831.4,9.0,37.4,51.3,55.3,366.3,27838.8,28373.3,2314204.6,5056649.4,5695840.0,60900.1,129777.5,140120.7
Other liquids tankers,4,4,74.2,89.4,2012.8,2012.8,2010.4,2010.6,438.3,676.3,1237.8,1187.6,116.0,114.0,132.2,128.1,23.0,51.5,73.7,78.6,11.8,911.7,929.2,45867.2,130964.9,282360.3,11466.8,39725.3,64192.0
