Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,12452,511,97496.6,158288.5,2002.6,2003.5,2003.2,2003.1,380.6,807.8,747.7,771.7,50.0,132.9,282.1,292.8,46.0,98.8,105.7,104.4,29879.1,2283756.9,2327605.1,156247851.7,232807753.5,261216455.9,12548.0,34373.1,42640.6
General cargo,11314,791,34510.8,46962.5,2000.8,2002.8,2000.4,2000.5,507.8,802.4,777.4,779.3,65.0,135.0,285.3,291.5,43.0,90.7,159.2,161.4,9223.5,700466.2,713915.2,78593704.3,231986484.6,328293452.8,6946.6,26240.7,35361.2
Ferry-RoPax,10792,192,18260.0,5937.6,1992.4,1992.5,1991.4,1993.5,257.2,1656.0,470.8,477.0,22.0,365.6,428.1,450.0,12.0,115.8,99.4,106.8,9962.6,751993.2,766431.5,60276021.1,140223311.3,178388160.8,5585.3,12181.3,14131.6
Container,9900,360,74916.7,95507.9,2004.3,2005.0,2002.8,2002.6,478.5,619.2,595.1,597.2,54.0,75.0,147.8,148.6,31.0,43.5,75.2,75.2,17483.9,1338247.3,1363941.7,130136877.7,383739570.5,430811186.0,13145.1,40035.3,46369.6
Ferry-pax only,8795,130,23993.6,5813.5,1996.5,1998.5,1996.3,1996.6,334.6,1982.5,422.8,436.4,24.0,212.5,92.5,95.0,6.0,65.7,28.6,30.6,7792.0,586308.0,597565.2,184725683.8,491596616.9,634108743.4,21003.5,56651.3,74916.6
Service - tug,7526,550,1875.4,1455.2,2009.4,2009.0,2010.0,2010.1,255.8,788.4,574.7,573.8,74.0,373.5,956.5,954.5,28.5,148.4,327.9,325.7,2939.2,220732.3,224970.4,37222144.2,88019166.0,117852905.9,4945.8,12771.0,17243.0
Bulk carrier,5989,963,101783.3,178445.2,1996.9,2007.7,2003.5,2003.6,480.2,1034.8,1030.6,1080.2,54.0,125.3,507.0,521.3,54.0,120.4,174.0,175.6,10855.6,838048.9,854139.4,75353469.2,171919692.3,212149132.0,12582.0,43970.7,53108.1
Chemical tanker,4692,524,27080.6,42964.2,2001.2,2006.3,2003.2,2003.1,480.7,688.3,718.4,717.9,59.0,73.7,140.4,140.3,45.0,61.6,104.5,106.3,10229.6,780030.3,795006.8,40474630.6,130162135.0,156336488.6,8626.3,31572.2,38336.9
Liquefied gas tanker,2668,95,31482.8,29356.6,1997.0,1999.1,1998.1,1998.6,365.1,1543.5,1174.6,1080.5,38.0,150.6,315.3,326.7,30.0,97.8,192.1,190.7,7363.6,521666.8,531682.8,12691704.8,56100647.4,53303560.0,4757.0,31698.6,45106.2
Ro-Ro,2224,106,5064.2,4255.4,2006.2,2006.5,1998.7,2003.8,428.7,965.5,693.2,727.3,53.0,275.3,296.2,378.4,30.0,76.3,279.9,247.1,5803.5,437604.0,446006.0,12034366.3,84386216.9,41650873.4,5411.1,13147.5,18191.9
Vehicle,1484,20,8008.9,3560.3,1989.9,1990.8,1990.2,1989.7,517.0,594.5,655.0,643.2,49.0,56.6,108.5,112.0,15.0,16.1,58.6,57.7,1753.9,133821.2,136390.6,3605301.4,15895513.6,18408624.8,2429.4,9234.3,9938.2
Service - other,823,96,2331.2,1979.0,2000.0,2003.9,1998.7,1997.3,547.5,1926.5,1105.5,1095.4,78.0,479.9,690.1,650.2,47.0,199.9,375.6,375.6,1443.1,108766.8,110855.1,13809657.2,28334384.8,30532015.5,16779.7,37337.6,42159.4
Cruise,168,32,2067.3,219.6,1999.6,2000.7,2008.1,2006.5,272.4,405.0,379.3,389.0,21.0,49.8,53.8,86.8,12.0,26.5,32.8,50.4,526.8,40596.4,41375.8,506462.1,3889937.7,5297964.7,3014.7,20386.6,25841.2
Miscellaneous - fishing,52,9,40.0,19.4,1991.4,1995.2,1991.6,1991.2,554.2,1033.3,1149.0,1193.1,70.0,81.2,522.4,499.3,66.5,339.8,1874.5,1992.0,61.4,4608.5,4697.0,136493.8,302769.5,344218.3,2624.9,6177.5,7323.1
Refrigerated bulk,11,2,10.1,13.1,1994.7,1989.0,1995.0,1995.1,532.5,532.1,712.5,717.3,197.0,131.2,714.8,720.2,72.0,73.5,114.6,114.9,48.5,3644.0,3714.0,38894.5,84986.3,95729.1,3535.9,7534.9,8135.4
