Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,2191,59,594.4,58.1,1996.6,2000.1,1996.2,1994.6,301.7,415.1,482.2,491.6,20.0,33.0,141.1,156.0,7.0,16.8,36.6,37.9,1208.6,90745.7,92488.0,4783777.5,9742610.3,12272678.1,2183.4,5077.3,6693.6
General cargo,89,17,104.5,133.2,2002.6,2001.8,2002.3,2002.0,239.2,337.1,602.6,556.2,19.0,48.4,225.9,213.6,13.0,68.3,70.7,68.2,19.7,1496.9,1525.6,324511.7,938471.6,1331794.5,3646.2,12766.2,17554.6
Liquefied gas tanker,67,12,22.1,20.6,1999.4,2005.1,2000.3,1999.9,76.0,199.1,155.1,157.3,13.0,19.8,35.7,36.1,11.0,24.2,49.2,52.9,27.5,2076.9,2116.8,15585.6,45153.9,49864.4,232.6,1273.6,1674.8
Chemical tanker,63,21,43.4,66.9,2008.4,2009.4,2012.7,2013.0,144.0,209.0,272.7,282.2,10.0,22.0,37.9,39.9,18.0,167.0,215.8,216.1,42.1,3181.9,3243.0,122169.3,339499.2,415239.6,1939.2,6281.0,7709.8
Bulk carrier,29,7,1703.1,2781.6,1997.5,2005.0,1993.9,1993.9,620.8,662.3,1855.2,1853.8,67.0,64.9,904.9,894.4,10.0,36.4,48.9,49.1,89.0,6890.3,7022.6,597040.1,1701884.1,1955406.0,20587.6,91519.6,111532.8
Container,15,6,89.5,98.9,2001.4,2002.8,2005.8,2005.7,129.3,393.8,170.4,174.1,15.0,29.2,34.7,36.1,10.0,41.6,28.8,30.7,13.5,965.4,984.0,94580.6,276228.7,311126.6,6305.4,19879.1,23262.5
Oil tanker,15,3,3.9,5.1,2012.3,2009.7,2012.3,2012.3,88.0,202.6,191.5,197.8,8.0,8.7,9.2,9.3,29.0,157.7,106.3,103.4,8.0,597.8,609.3,23103.3,4124.5,6331.8,1540.2,3999.0,5091.2
Service - other,3,3,13.5,12.9,2004.3,2004.3,1993.5,1992.6,177.4,191.8,172.7,169.4,26.0,90.7,40.0,29.0,56.0,96.0,171.7,180.6,2.0,153.1,156.1,90112.2,184890.4,199230.6,30037.4,66838.2,75469.8
Service - tug,2,2,11.0,10.3,2005.0,2005.0,2012.3,2012.1,2038.3,2038.3,2332.2,2207.9,251.0,251.0,456.8,453.8,24.0,24.0,9.5,9.7,6.7,506.7,516.5,262215.8,620061.5,830228.9,131107.9,338544.2,457092.1
Miscellaneous - fishing,1,1,0.2,0.1,2014.0,2014.0,2014.0,2014.0,122.1,122.1,122.1,122.1,25.0,25.0,25.0,25.0,2.0,2.0,2.0,2.0,0.1,6.8,6.9,601.3,1333.7,1516.3,601.3,1415.1,1677.5
