Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Binh Long Port,15,14,121.9,195.9,2004.9,2005.5,2004.3,2004.3,355.8,716.6,397.6,384.2,29.0,67.8,49.2,51.2,10.0,22.4,15.6,16.3,15.5,1192.9,1215.8,149883.9,440257.9,555046.2,9992.3,34258.6,44505.5
Sa Dec,15,11,152.3,238.3,2007.9,2006.3,2001.6,2001.5,500.3,941.1,1573.2,1627.3,83.0,122.3,231.0,236.1,15.0,143.8,246.2,246.6,25.2,1941.5,1978.7,160360.9,501353.1,602426.0,10690.7,41070.7,50695.2
My Tho,15,15,37.9,46.6,2007.2,2007.2,2006.1,2005.4,218.5,416.3,272.3,250.5,13.0,62.5,154.9,143.9,9.0,40.9,47.9,63.2,10.3,789.4,804.5,92054.9,126535.3,158014.5,6137.0,18367.1,23146.3
Phuoc Long Icd,12,12,85.0,140.5,2006.0,2006.0,2007.5,2007.5,1951.7,2379.2,2239.0,2272.5,171.0,269.8,509.1,555.8,18.0,82.0,72.0,72.0,23.9,1823.8,1858.8,305331.8,704343.2,946666.8,25444.3,79810.5,105315.6
Can Tho,12,11,36.1,56.7,2007.0,2006.7,2004.1,2005.0,270.8,523.3,295.7,280.1,27.0,64.6,69.5,67.6,12.5,20.6,24.1,23.7,7.8,597.4,608.9,131071.8,324723.4,416829.4,10922.6,31347.8,40718.5
Nghe Tinh,12,11,132.4,195.9,2003.9,2003.9,2002.8,2002.9,409.5,1200.6,1108.8,1129.2,41.0,119.7,525.5,542.3,50.0,64.0,83.8,82.8,38.0,2906.6,2962.4,209377.6,656262.1,865021.5,17448.1,67283.2,87478.3
Vinalines Hau Giang Port,11,11,214.5,247.7,2004.2,2004.2,2003.8,2006.2,410.8,1017.2,1132.9,1294.3,35.0,95.4,161.5,211.7,10.0,98.5,41.2,48.9,45.5,3520.7,3588.3,209456.8,586286.2,695943.4,19041.5,63172.2,74526.1
Thanh Hoa,10,10,67.9,110.1,2005.5,2005.5,2004.4,2004.5,815.3,1420.0,1890.5,1978.1,205.0,251.3,441.9,450.0,43.0,117.8,156.6,158.3,29.7,2257.7,2301.1,183939.3,414226.8,508105.3,18393.9,59334.5,74248.6
Thu Dau Mot,10,10,25.2,38.5,2001.9,2001.9,2003.1,2004.8,938.4,933.8,776.8,885.9,64.0,133.2,266.7,294.1,9.5,68.5,78.1,88.9,7.1,537.7,548.0,87283.5,184574.6,250805.5,8728.3,29227.1,38438.3
Duong Dong,9,8,67.7,108.8,2007.0,2006.6,2006.3,2006.4,683.9,668.7,921.4,925.8,60.0,83.8,75.0,76.7,10.0,10.0,10.2,10.3,9.3,719.3,733.1,83443.6,200066.1,248737.0,9271.5,31742.7,39054.3
Song Doc,8,7,77.4,111.0,2003.9,2003.7,1999.1,1999.5,755.8,805.5,849.3,828.4,60.0,72.4,75.1,73.5,160.0,480.2,51.7,39.8,13.0,999.0,1018.2,115834.2,340016.0,415824.5,14479.3,48622.0,60741.0
Ben Tre,8,6,9.7,16.7,2006.0,2004.7,2003.6,2004.2,152.2,215.5,372.9,407.5,13.5,17.0,170.0,185.1,10.0,12.8,15.0,14.8,3.8,290.7,296.3,36031.6,87861.1,113690.7,4503.9,14226.0,18147.9
Icd Transimex Thu Duc,7,7,53.2,75.6,2004.4,2004.4,2003.4,2003.6,899.9,1907.1,1832.0,1838.5,97.0,288.6,614.1,634.8,80.0,170.7,115.9,117.6,18.2,1380.1,1406.6,194427.8,510122.1,674651.8,27775.4,84438.2,112336.0
Rao Qua,7,7,36.9,21.0,2006.0,2006.0,2008.0,2006.4,302.6,334.1,468.6,361.2,17.0,19.7,36.0,27.6,14.0,14.4,7.9,11.5,2.8,217.8,221.9,29249.7,93038.6,117390.6,4178.5,15446.7,18982.6
Nam Can Port,7,7,45.1,68.3,2005.7,2005.7,2006.8,2007.4,403.2,628.7,870.4,931.8,51.0,62.0,87.0,90.6,9.0,11.9,10.3,10.4,5.6,429.7,438.0,51841.5,167602.0,227998.0,7405.9,32820.1,42907.6
Dong Hai,4,4,180.0,310.7,2006.0,2006.0,2002.3,2002.3,944.7,3202.3,7031.6,7146.1,270.5,472.2,1251.3,1253.5,6.5,10.5,7.3,7.3,25.6,1966.4,2004.2,135326.9,478712.5,699068.7,33831.7,189518.3,257483.8
Ho Chi Minh,4,4,39.7,66.4,2006.8,2006.8,2008.4,2008.4,1934.6,6255.9,2049.5,2141.2,272.0,782.2,1888.2,1870.9,102.0,200.5,110.1,120.4,13.4,1008.8,1028.2,188587.8,519331.8,747520.1,47146.9,153545.1,219437.5
Vinh,1,1,2.0,3.2,2007.0,2007.0,2007.0,2007.0,457.3,457.3,457.3,457.3,59.0,59.0,59.0,59.0,5.0,5.0,5.0,5.0,0.3,22.4,22.9,5554.4,16293.3,22469.5,5554.4,22252.5,28057.9
Tan Thuan Dong,1,1,1.2,2.1,1999.0,1999.0,1999.0,1999.0,545.6,545.6,545.6,545.6,45.0,45.0,45.0,45.0,23.0,23.0,23.0,23.0,0.4,28.6,29.2,9544.8,1704.0,2615.9,9544.8,24781.8,31550.2
Hanoi,1,1,0.0,0.0,2020.0,2020.0,2020.0,2020.0,48.3,48.3,48.3,48.3,24.0,24.0,24.0,24.0,22.0,22.0,22.0,22.0,0.0,2.2,2.2,371.9,879.4,1177.4,371.9,960.2,1296.5
