Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,7203,879,188021.8,223303.8,2006.2,2007.0,2007.9,2007.7,866.7,1057.3,1012.2,1014.0,65.0,80.9,108.8,107.5,16.0,21.7,21.1,21.2,29404.5,2268416.1,2311969.7,180047936.5,611764233.2,691056392.9,24996.2,92243.0,110151.8
Bulk carrier,2393,1546,137265.2,231083.0,2007.7,2009.0,2008.5,2008.9,1434.6,2112.4,2124.1,2135.2,145.0,222.2,394.5,399.9,108.0,144.5,151.4,151.9,12362.6,955877.3,974230.2,82239153.1,190415002.3,242245947.9,34366.5,126763.9,153208.1
General cargo,1870,815,23764.4,32130.1,2005.6,2005.9,2005.8,2005.7,1359.3,1982.9,1817.5,1771.4,149.5,228.2,322.6,339.0,63.0,104.2,116.5,119.7,4838.7,370578.0,377693.1,33210028.2,102112050.8,144993887.6,17759.4,75227.6,100204.7
Chemical tanker,879,307,11229.1,17875.3,2006.1,2007.2,2007.1,2007.0,1081.5,1427.9,1397.2,1400.0,112.0,144.9,193.7,192.9,31.0,52.8,67.7,67.4,3016.9,231408.6,235851.7,16112013.8,53253086.2,64431695.1,18329.9,68179.4,83496.9
Liquefied gas tanker,498,105,5130.1,5575.2,1998.6,2001.9,2005.3,2005.1,770.1,1652.2,1783.8,1793.5,73.0,149.4,274.6,276.8,31.0,47.5,49.9,50.4,1232.1,94337.1,96148.4,2607359.2,10829653.7,10457499.0,5235.7,33085.9,46356.4
Oil tanker,444,157,17986.2,32467.9,2007.9,2007.8,2007.5,2007.5,876.1,1795.7,2345.8,2466.6,91.5,181.9,376.0,386.2,33.0,81.6,104.6,105.0,2020.5,155499.2,158484.8,18072335.0,28660895.4,31893221.2,40703.5,110630.7,138056.7
Service - tug,221,103,353.6,326.9,2010.0,2009.1,2008.6,2008.4,619.5,1506.8,1204.6,1295.9,156.0,424.1,929.1,965.0,68.0,192.7,418.2,430.9,264.7,19918.5,20300.9,8362622.0,19775083.6,26477768.2,37839.9,97709.5,131924.3
Cruise,144,46,8085.3,834.0,2003.0,2001.7,2004.9,2004.1,633.4,1120.3,776.6,788.5,40.0,73.3,82.2,88.4,18.5,25.9,27.1,27.8,1803.3,139633.4,142314.4,2428878.4,15023909.6,17977984.3,16867.2,90825.8,101004.5
Vehicle,79,46,3372.0,1098.5,2006.0,2006.3,2006.5,2006.4,802.3,1042.7,992.4,1000.2,54.0,72.9,89.2,90.4,11.0,14.1,15.0,15.3,236.8,18321.1,18672.9,1112326.6,4904167.4,5679525.7,14080.1,53518.4,57597.5
Refrigerated bulk,21,17,443.7,527.5,1987.9,1988.1,1987.3,1987.2,4333.9,4966.3,4986.9,5034.8,388.0,512.7,762.4,754.7,114.0,124.9,106.5,106.9,292.2,22225.9,22652.6,1564904.5,3419392.2,3851623.8,74519.3,158799.7,171456.0
Service - other,19,15,137.7,68.9,2003.4,2002.3,2001.7,2002.7,1434.8,1929.2,1719.9,1119.3,127.0,493.0,635.1,529.5,52.0,148.4,119.5,107.7,61.4,4637.6,4726.6,480867.4,986634.4,1063158.4,25308.8,56316.4,63589.2
Ro-Ro,8,5,104.0,74.4,1993.5,1993.2,1993.2,1993.1,1090.5,1905.3,1246.8,1629.0,100.5,212.5,222.0,270.9,17.5,43.5,36.1,46.7,22.0,1695.9,1728.4,148632.6,846488.7,464717.7,18579.1,44766.3,58358.1
Miscellaneous - fishing,4,3,0.8,0.6,1995.5,1992.7,1983.6,1985.1,114.7,507.3,342.2,273.2,56.5,92.2,137.3,127.5,7.0,7.3,6.1,6.5,1.2,92.2,93.9,4434.2,9835.9,11182.4,1108.5,2608.9,3092.7
Ferry-RoPax,2,2,75.5,9.3,1965.0,1965.0,1966.0,1966.0,4114.2,4114.2,7204.0,7077.6,529.0,529.0,668.6,668.1,13.5,13.5,19.9,19.9,14.3,1071.7,1092.3,59748.7,147093.1,180957.9,29874.4,63874.4,59401.9
Ferry-pax only,1,1,0.6,0.1,1991.0,1991.0,1991.0,1991.0,2098.4,2098.4,2098.4,2098.4,375.0,375.0,375.0,375.0,10.0,10.0,10.0,10.0,0.7,51.0,52.0,7423.6,15118.9,19045.2,7423.6,17263.3,22758.8
