Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Lisboa,637,167,3314.5,1984.2,2001.6,2001.4,2003.0,2002.6,232.8,375.2,388.4,363.8,30.0,97.9,47.1,45.9,24.0,49.0,28.2,42.4,996.9,76536.1,78005.6,4194895.9,12928820.3,15777047.1,6585.4,21684.0,25835.8
Sines,516,124,1417.2,1890.7,2005.3,2005.0,2006.6,2006.7,225.9,218.1,239.7,238.2,22.0,38.7,53.0,50.5,27.0,37.4,38.5,39.1,554.6,42505.0,43321.1,1502063.7,4412261.8,5109615.1,2911.0,10881.0,13235.8
Matosinhos,502,159,2058.1,2152.1,2002.9,2002.5,2002.2,2003.8,235.8,376.7,329.1,334.6,25.0,80.5,50.4,55.9,28.0,41.5,45.5,57.6,681.4,52347.5,53352.5,2518688.1,8327183.0,10188758.8,5017.3,18684.6,22542.9
Ponta Delgada,479,58,1492.6,1460.9,2000.9,2000.3,2001.4,2001.0,192.4,440.0,424.1,435.0,25.0,81.5,61.3,64.8,17.0,38.2,28.7,33.1,531.1,40767.6,41550.3,2823043.1,7897719.3,9678187.4,5893.6,19116.7,22828.7
Leixoes,423,152,969.4,1189.8,2003.5,2002.5,2003.5,2003.6,213.6,240.4,233.2,230.3,23.0,61.4,41.1,38.9,17.0,37.2,19.6,20.1,284.9,21815.7,22234.6,1710245.2,5087716.6,5992546.6,4043.1,12915.5,15534.6
Praia Da Vitoria,412,44,480.7,512.8,1985.9,1998.2,2000.2,2000.3,92.5,542.5,245.2,271.9,10.0,162.0,131.0,118.7,22.0,27.4,17.8,19.2,164.3,12577.5,12819.0,814261.4,2403884.1,2970333.0,1976.4,6637.6,8063.0
Setubal,252,115,372.4,475.1,2001.0,2003.3,2003.0,2003.2,210.6,281.8,181.6,178.2,22.0,35.7,37.8,37.0,29.0,119.7,173.2,205.7,281.9,21570.9,21985.1,971812.1,2613435.2,3209142.9,3856.4,11752.3,15008.7
Aveiro,234,162,221.9,318.8,2000.4,2002.0,2004.0,2004.6,186.3,268.8,222.1,217.2,26.0,53.0,74.7,67.9,41.0,88.5,135.6,113.0,125.4,9518.1,9700.8,484006.4,1363158.0,1839545.5,2068.4,7126.3,9428.0
Canical,228,40,937.5,1182.6,2002.0,2001.8,2002.4,2002.1,549.6,622.0,622.8,630.8,42.0,80.8,59.8,62.4,32.0,71.1,44.7,47.5,327.0,25142.2,25624.9,2080130.8,5617964.0,6772196.9,9123.4,28513.1,33955.9
Banatica,209,55,227.0,308.6,2003.5,2004.7,2006.8,2007.2,93.9,276.9,189.9,181.4,45.0,56.5,78.4,71.1,13.0,24.4,19.5,17.4,170.5,12928.5,13176.7,462248.7,986077.1,1256160.4,2211.7,7483.5,9451.6
Horta,203,31,203.3,129.9,1994.0,1995.5,2000.0,2002.0,154.4,1858.5,209.1,191.3,15.0,230.3,104.6,122.3,13.0,187.3,102.0,177.7,127.5,9667.9,9853.6,367405.3,870254.3,1066120.8,1809.9,5518.8,6715.2
Figueira Da Foz,168,102,125.6,169.3,2000.2,2000.7,2002.3,2003.1,222.1,463.8,261.6,248.1,19.5,86.9,175.2,68.8,42.5,62.9,77.3,65.9,72.9,5500.5,5606.1,463920.7,1251206.2,1669904.9,2761.4,8627.6,11402.6
Trafaria,123,36,127.3,163.1,1996.1,2001.6,2003.8,2004.0,144.0,245.7,308.8,307.7,54.0,121.4,110.1,110.1,15.0,43.1,25.1,21.7,101.5,7689.7,7837.3,252353.6,624891.6,778880.6,2051.7,6820.2,8526.8
Almada,105,46,262.9,269.6,1998.2,2000.9,2003.1,2003.7,224.3,733.9,275.7,236.7,34.0,147.1,135.5,54.2,28.0,47.0,79.1,46.6,124.7,9478.5,9660.5,776669.5,1885867.5,2277071.7,7396.9,20077.2,25189.9
Praia,98,12,30.4,34.5,1986.6,1993.8,1997.6,1998.0,57.0,179.9,126.1,127.6,8.5,62.1,27.7,29.1,6.0,7.1,8.8,9.4,16.9,1278.5,1303.0,92015.5,168015.9,210926.1,938.9,2691.9,3311.3
Funchal,97,39,1430.4,193.7,2000.8,1998.7,2002.9,2000.0,537.9,674.7,578.2,596.3,38.0,121.4,72.8,104.8,13.0,19.7,19.3,28.2,445.1,34135.5,34790.9,832798.4,3439514.9,4319008.3,8585.6,31546.5,35257.7
Portimao,90,26,234.9,47.4,1992.9,1991.2,1999.2,2000.7,178.8,259.8,254.7,295.4,25.0,94.8,25.8,41.9,9.0,14.0,5.6,7.7,92.9,7145.8,7283.0,218390.3,748440.3,1028900.6,2426.6,7565.2,9014.5
Cais Do Pico,84,10,20.2,22.8,1982.2,1993.8,1995.8,1997.2,71.6,161.8,109.8,104.3,10.0,22.4,60.2,20.2,7.0,10.6,11.8,12.6,13.0,988.9,1007.9,76601.0,170255.1,224985.3,911.9,2757.3,3543.0
Velas,76,12,67.1,47.4,1996.1,1994.9,2005.7,2002.9,130.9,3044.4,228.8,142.1,14.5,551.3,2457.6,527.9,11.0,13.6,12.4,13.0,61.7,4654.0,4743.3,418651.2,843283.1,1090938.5,5508.6,14275.1,18605.4
