Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,1083,174,28859.9,33547.0,2006.8,2007.4,2009.2,2009.1,436.9,482.5,473.4,474.1,42.0,54.6,62.7,62.9,39.0,47.3,51.3,51.3,3835.0,296446.6,302138.4,20955707.6,60302182.5,68622400.0,19349.7,64175.0,75134.4
Chemical tanker,535,109,4309.7,6951.6,2009.8,2008.9,2010.2,2010.2,350.0,468.5,429.3,430.3,45.0,74.5,100.4,98.1,41.0,66.7,71.0,71.4,1320.7,101555.2,103505.1,2620735.7,12514196.7,14661589.1,4898.6,26974.0,32900.3
Bulk carrier,436,319,10821.7,19121.8,2011.0,2011.1,2010.7,2010.6,494.5,776.2,725.5,725.9,70.0,129.3,400.9,406.2,77.5,93.8,84.6,84.5,1038.6,80408.4,81952.3,5959624.4,13874493.9,16971680.6,13668.9,50421.1,60342.0
General cargo,218,63,2500.7,3318.6,2006.1,2005.9,2007.8,2007.9,439.2,600.9,489.4,496.3,66.0,207.2,113.7,110.0,43.0,73.1,67.4,69.3,471.8,36060.3,36752.7,1359923.3,4869277.4,7161541.4,6238.2,35973.3,49032.8
Miscellaneous - fishing,200,34,511.1,306.2,1985.0,1990.4,1990.8,1989.8,992.5,6525.2,2844.7,3052.5,161.5,988.2,1237.3,1263.6,46.0,623.7,1095.2,1077.7,422.5,31738.8,32348.2,2153180.0,4776168.4,5430019.8,10765.9,25337.1,30035.5
Vehicle,189,111,3425.4,1167.3,2007.6,2007.8,2007.7,2007.5,276.6,316.9,294.8,291.9,24.0,31.7,45.3,44.6,13.0,16.3,18.7,18.4,210.9,16334.7,16648.4,1181995.4,5211332.2,6035253.8,6253.9,23771.2,25583.1
Oil tanker,112,44,3283.1,6055.9,2007.8,2007.4,2007.0,2006.9,379.7,814.5,845.1,870.7,80.5,199.2,478.0,485.3,40.0,57.2,52.3,52.2,617.0,47299.2,48207.3,2906863.5,5679233.9,6395483.9,25954.1,71819.1,86968.6
Service - other,67,16,215.0,148.0,1999.1,1998.2,1997.1,1999.5,344.8,778.1,804.5,751.8,141.0,318.9,596.3,617.5,43.0,104.3,388.0,467.6,103.2,7746.9,7895.7,1032902.3,2119288.8,2283662.0,15416.5,34304.2,38734.3
Cruise,62,16,826.6,106.1,1998.3,2000.6,1999.3,1995.7,277.8,343.6,360.7,371.2,21.5,25.3,35.1,36.1,12.0,16.7,21.4,24.3,233.2,18044.8,18391.2,304076.7,2206702.1,2839641.2,4904.5,30073.1,34819.2
Refrigerated bulk,44,21,274.6,291.2,1995.8,1995.5,1995.5,1995.4,418.1,741.2,645.9,658.4,29.5,97.8,833.0,860.3,39.0,61.3,45.1,44.5,188.7,14291.8,14566.2,863938.1,1887746.7,2126369.2,19635.0,41841.9,45176.7
Liquefied gas tanker,40,14,528.0,613.2,2010.0,2010.9,2011.5,2011.3,572.6,834.2,814.6,811.2,69.0,128.2,257.3,255.0,42.0,56.0,64.2,64.1,155.3,11895.9,12124.3,371126.6,1262544.6,1310432.7,9278.2,54452.3,73817.9
Service - tug,34,17,50.6,41.3,2005.1,2008.6,2002.7,2003.3,476.8,607.4,538.0,543.3,86.0,327.6,713.7,706.3,29.5,243.3,463.7,511.9,60.4,4560.8,4648.4,1056644.0,2498644.9,3345550.5,31077.8,80248.4,108348.9
Other liquids tankers,1,1,24.4,34.6,2016.0,2016.0,2016.0,2016.0,883.9,883.9,883.9,883.9,93.0,93.0,93.0,93.0,76.0,76.0,76.0,76.0,3.2,244.5,249.2,17773.3,50748.2,109413.1,17773.3,61573.5,99496.2
