Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,7418,468,1829.8,1588.1,2007.3,2006.5,2007.8,2007.5,145.3,344.7,266.2,264.5,33.0,236.1,465.0,451.6,22.0,123.9,167.8,169.8,2560.9,192373.4,196067.0,40620676.4,96055671.5,128613352.4,5476.0,14139.9,19091.3
Oil tanker,2831,875,82790.7,154207.9,2003.7,2005.8,2005.8,2005.8,310.5,481.2,649.8,656.5,46.0,99.3,439.2,443.1,29.0,70.0,81.2,79.1,12253.7,944056.3,962182.1,65039850.0,112898607.8,126071890.9,22974.2,60825.4,75685.2
Container,2320,230,14840.0,17607.8,2003.4,2005.7,2006.0,2006.0,205.6,249.0,273.7,274.7,20.0,44.9,54.4,55.4,17.0,32.2,35.4,35.4,2948.3,226532.0,230881.4,14396587.9,45583198.6,51349757.7,6205.4,21330.9,25205.1
Ro-Ro,1827,106,1621.7,1263.4,2009.9,2006.3,1992.9,1997.8,127.9,556.2,600.3,460.3,20.0,204.0,874.3,853.6,41.0,120.6,446.2,399.7,2761.1,208143.2,212139.5,2963250.1,18850331.2,9766191.0,1621.9,3924.6,5275.8
Chemical tanker,1490,427,9982.2,16034.7,2006.9,2007.6,2007.0,2007.1,278.6,365.4,440.1,436.2,34.0,73.1,185.7,178.1,26.0,57.4,79.1,77.6,3101.1,237164.4,241717.9,8604231.0,34406248.0,40748423.5,5774.7,26337.8,32059.1
Bulk carrier,1249,756,12964.1,22651.6,2008.6,2009.4,2008.0,2007.9,238.3,313.7,319.5,317.5,25.0,41.2,86.4,85.8,23.0,42.1,73.1,74.2,1281.5,99164.5,101068.4,8002020.9,18119712.9,22827504.1,6406.7,23265.9,27883.3
General cargo,585,243,1869.9,2550.0,2003.5,2003.1,1999.7,2000.0,211.4,316.6,387.0,384.9,23.0,65.6,308.5,296.4,22.0,64.4,126.1,104.3,458.6,34920.8,35591.2,1841403.5,5929447.3,8543395.0,3147.7,14582.4,19746.5
Service - other,409,61,513.7,600.9,2007.3,2005.3,2005.4,2004.6,203.0,810.3,628.2,731.0,38.0,556.0,1753.8,2011.3,31.0,191.0,162.1,128.8,453.1,34067.2,34721.3,4193478.6,8604097.5,9271436.1,10253.0,22814.7,25761.0
Liquefied gas tanker,387,153,15130.6,13888.1,2005.7,2006.7,2003.7,2005.6,388.8,580.4,746.5,740.2,30.0,69.1,307.3,309.4,27.0,42.5,76.8,67.8,1993.5,139541.2,142220.4,3834495.6,24684111.3,21185054.6,9908.3,81621.0,123899.5
Cruise,184,25,5336.9,529.1,2008.9,2004.0,2010.1,2009.6,178.9,217.1,326.3,339.6,14.0,169.6,171.5,163.7,14.0,80.5,26.0,25.1,1572.7,121688.9,124025.4,1670455.4,9076741.4,10228085.1,9078.6,43586.0,46493.3
Ferry-RoPax,121,10,286.2,45.9,2008.5,2004.3,2009.3,2009.1,768.9,3175.1,1817.3,1845.3,36.0,465.0,873.6,1485.0,37.0,101.6,147.2,137.8,535.2,40185.7,40957.3,1342944.8,2921506.7,3871092.1,11098.7,24735.9,34777.8
Vehicle,31,27,250.6,84.2,2007.3,2007.6,2007.6,2006.7,166.1,157.1,145.6,149.9,16.0,28.0,32.3,34.3,10.0,21.7,25.7,28.7,23.1,1785.2,1819.5,85252.6,375872.5,435298.6,2750.1,10453.1,11249.8
Other liquids tankers,30,1,4.1,6.5,1994.0,1994.0,1994.0,1994.0,237.7,237.7,351.3,351.3,54.0,54.0,215.8,215.8,41.0,41.0,100.6,100.6,22.5,1738.2,1771.6,3324.4,9492.3,20465.4,110.8,383.9,620.3
Ferry-pax only,4,2,1.3,0.6,1988.5,1993.0,1985.1,1984.2,2152.9,1979.9,1529.1,2685.5,369.0,369.0,3335.6,3505.1,35.5,34.5,63.0,66.3,12.1,906.0,923.4,50818.2,103496.1,130373.1,12704.6,29543.9,38948.6
Refrigerated bulk,3,2,9.1,8.9,1997.3,1999.5,1997.1,1996.9,263.3,249.6,259.0,260.2,15.0,44.5,51.1,51.8,7.0,8.5,9.4,9.4,6.7,504.1,513.8,26530.3,57970.0,65297.8,8843.4,18845.3,20347.2
