Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Fujairah,8775,4073,951428.2,1727172.0,2007.5,2008.4,2008.7,2008.8,809.3,2447.3,2101.1,2097.8,110.0,242.1,503.1,508.6,54.0,91.1,115.7,116.6,85135.9,6585830.0,6712277.9,585115691.5,1301203972.0,1505139586.8,66679.9,210066.6,257145.9
Jebel Ali,2715,1103,220590.2,244719.8,2005.6,2007.3,2009.1,2009.0,681.9,1275.9,1600.9,1569.7,59.0,113.7,221.4,222.1,24.0,56.9,38.3,42.4,21348.8,1645653.0,1677249.5,125697435.8,370595625.7,414474420.3,46297.4,158929.6,190906.4
Khor Fakkan,2706,1366,339658.0,547870.1,2005.8,2006.4,2007.4,2007.4,786.1,1951.9,1928.7,1885.4,83.5,194.5,436.7,454.8,41.0,70.3,76.1,81.2,31456.3,2382968.5,2428721.5,173216994.2,450793123.6,464284193.7,64012.2,230186.5,301835.3
Jebel Ali Free Zone,2278,806,168952.7,179476.8,2006.0,2007.7,2010.6,2010.3,465.6,1056.8,1493.4,1452.5,47.0,104.5,215.3,216.1,23.0,59.2,32.2,35.1,15643.1,1210433.6,1233673.9,91373949.7,270338452.2,302947166.9,40111.5,137645.5,163391.6
Mina Saqr,1127,420,21329.8,36806.9,2002.7,2005.8,2007.4,2007.5,466.8,1157.8,1051.5,1111.4,70.0,153.4,220.0,223.9,66.0,102.5,114.4,116.0,2312.4,178533.7,181961.6,14721850.8,33795458.3,41894835.7,13062.9,45751.5,55589.6
Sharjah,1086,380,7426.6,7591.5,1999.7,2001.4,2004.1,2002.1,323.7,746.5,832.1,724.0,34.0,173.5,203.4,209.6,34.0,106.2,100.2,130.4,1618.7,123309.4,125677.0,10334495.6,26395513.9,30794118.2,9516.1,29097.5,35861.9
Mina Rashid Port,769,194,4135.7,2978.0,2002.3,2002.9,2006.2,2005.6,138.3,854.3,924.6,1027.9,16.0,157.4,242.7,323.0,19.0,118.9,59.3,91.1,1020.5,77837.6,79332.1,4591154.7,14064311.4,16238566.9,5970.3,18729.8,22948.6
Hulaylah Oil Terminal,718,394,86472.0,157807.8,2001.8,2004.1,2007.6,2007.6,462.6,2018.6,3183.6,3257.6,75.0,207.9,609.3,629.7,39.0,76.8,60.7,61.0,6298.0,482944.5,492217.0,45508421.8,92142478.2,99761636.0,63382.2,188472.9,237773.2
Ruwais,598,465,114492.6,190027.7,2010.1,2010.0,2010.6,2010.5,3730.2,3702.7,3556.1,3539.6,308.0,319.3,467.8,473.9,40.5,66.9,86.3,91.8,10925.2,845785.2,862024.3,87351626.6,217095061.0,233033364.7,146073.0,452903.1,591496.2
Das Island,561,206,133594.8,196669.6,2006.8,2006.8,2004.4,2006.6,309.1,2674.5,3624.6,3254.7,52.0,226.1,446.0,459.5,23.0,84.4,58.3,69.3,12405.8,848411.9,864701.4,51005858.2,133112788.6,128473697.0,90919.5,330663.8,450919.9
