Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,522,116,21666.5,26142.4,2003.1,2004.0,2003.6,2003.7,385.9,1158.2,1326.2,1302.4,68.5,102.1,197.9,197.7,31.5,62.9,26.8,27.3,3290.9,254589.9,259478.0,21152472.0,63018122.8,69912192.3,40522.0,128352.7,149130.6
Bulk carrier,265,242,15868.3,27637.4,2009.9,2010.0,2010.1,2010.1,1752.3,2015.7,2019.9,2028.5,154.0,241.7,441.3,441.2,66.0,91.1,79.6,79.9,1310.7,101472.8,103421.1,10475225.5,22796514.6,28531969.5,39529.2,138519.0,164465.5
Vehicle,156,106,15459.7,5144.5,2007.9,2007.8,2006.2,2006.0,302.4,1807.4,1725.6,1726.6,46.0,121.8,270.2,273.1,15.0,23.4,21.1,21.3,988.4,76562.4,78032.4,5209461.7,22968140.6,26599447.7,33394.0,126930.5,136605.1
General cargo,110,76,2591.0,3437.2,2006.1,2006.6,2005.8,2006.3,697.4,1852.1,1802.0,1762.9,113.0,198.3,358.5,349.2,78.5,100.1,81.2,87.2,417.8,32068.5,32684.3,1849607.9,6251703.3,9070859.9,16814.6,87002.8,117415.9
Oil tanker,86,69,12505.3,21839.5,2008.6,2009.3,2011.8,2011.8,2692.2,2985.6,3163.0,3161.2,315.5,389.4,468.6,471.3,46.5,78.4,79.4,79.9,1220.9,94554.2,96369.6,13728746.1,26667805.8,31476212.1,159636.6,394635.9,489721.6
Chemical tanker,84,59,5560.5,9108.4,2005.9,2007.3,2005.4,2005.4,2766.5,2295.4,2540.0,2548.7,303.0,270.1,379.3,382.0,62.5,83.5,74.1,73.1,822.5,63671.6,64894.1,2003511.7,13354858.4,15424473.5,23851.3,186722.2,228916.6
Ro-Ro,55,9,2895.0,2607.5,2002.1,2003.9,2011.5,2011.6,394.8,1075.7,1618.0,1629.0,73.0,103.7,250.3,251.9,29.0,41.4,25.8,25.7,341.8,26410.4,26917.4,2844708.0,5621442.9,6208090.5,51722.0,121671.6,130201.5
Liquefied gas tanker,25,8,668.1,758.6,2012.8,2011.1,2015.3,2015.2,1261.1,1622.9,2002.6,2009.6,178.0,209.0,219.7,216.7,44.0,77.6,55.1,55.4,147.7,11268.6,11485.0,572632.0,1659008.4,1832076.6,22905.3,125405.5,164911.3
Service - tug,8,5,6.1,4.7,2003.6,2001.0,2005.9,2006.1,762.5,1391.4,1112.2,1038.5,280.5,555.0,561.6,571.3,61.0,252.7,693.3,704.8,12.1,909.8,927.3,119233.3,281950.9,377517.1,14904.2,38485.2,51961.6
Service - other,4,4,13.6,8.3,1992.2,1992.2,1984.9,1985.6,1341.2,2465.6,1759.7,1954.0,167.0,311.5,292.1,362.3,71.0,240.2,214.3,290.0,10.4,780.1,795.1,57950.2,118901.2,128123.2,14487.6,32237.3,36400.4
Cruise,4,3,103.1,9.8,2001.8,2002.3,2002.9,2003.0,980.6,845.6,791.3,788.4,60.5,53.3,59.1,59.1,9.0,10.5,10.4,10.3,30.3,2349.2,2394.3,25768.1,213285.3,284430.9,6442.0,44490.7,52893.3
Ferry-RoPax,2,2,0.6,0.4,2013.5,2013.5,2013.6,2013.4,238.6,238.6,231.6,235.4,50.5,50.5,49.4,51.5,117.5,117.5,124.0,111.5,1.6,120.2,122.5,12096.0,26169.0,34793.0,6048.0,13502.2,19241.6
Miscellaneous - fishing,2,2,1.7,1.0,1981.0,1981.0,1973.9,1974.7,1422.4,1422.4,1929.5,1694.6,87.0,87.0,59.7,62.7,1815.0,1815.0,3379.5,3204.0,7.5,559.6,570.4,6974.5,15470.7,17588.6,3487.2,8207.0,9728.9
