Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
San Juan,2253,396,57582.8,31992.3,1999.2,2003.9,2007.4,2008.1,407.2,1775.8,707.4,1181.6,38.0,160.3,195.8,254.4,12.0,32.5,19.7,37.4,9969.4,748632.4,763006.1,39592105.2,136317267.5,159933238.6,17573.1,60186.1,70521.3
Yabucoa,177,66,4348.7,7274.6,2001.9,2006.8,2011.5,2011.5,393.8,1989.5,1631.5,1620.7,34.0,188.0,297.4,296.7,31.0,52.1,46.8,46.9,646.9,49490.1,50440.3,2925332.5,11437260.8,13354490.7,16527.3,77984.7,95453.3
Guayanilla,109,84,9868.2,11209.7,2007.6,2008.2,2007.3,2008.4,779.9,2042.9,2178.9,2013.6,103.0,187.1,348.8,348.5,38.0,54.5,48.1,56.7,1418.6,96102.3,97947.4,4110725.0,18768192.5,19016008.5,37713.1,220750.3,303405.5
Ponce,75,47,1280.7,1704.0,1997.8,1994.7,2006.9,2008.1,942.2,1368.4,1545.5,2135.5,96.0,223.4,248.9,302.0,69.0,86.8,153.7,196.2,241.6,18507.5,18862.8,1281251.8,3375817.3,4026349.0,17083.4,55783.6,65617.1
Las Mareas,32,11,932.7,1547.2,1989.6,1991.2,2001.6,2001.8,647.3,775.8,1374.7,1387.4,72.5,78.0,247.2,247.8,26.5,43.8,28.1,27.0,113.7,8691.6,8858.5,721484.0,1806944.3,2248822.7,22546.4,75736.8,96128.6
Mayaguez,18,9,48.5,28.7,1999.6,1993.0,1984.0,1992.6,204.0,604.8,349.2,301.9,23.0,79.8,76.8,65.1,12.5,14.4,14.8,16.7,17.1,1299.3,1324.3,159458.4,366267.7,434141.8,8858.8,21387.7,25319.2
Arecibo,11,10,54.7,75.7,1992.1,1991.2,2003.0,2003.3,675.3,830.4,736.3,762.8,99.0,118.4,84.8,83.6,3.0,10.1,8.6,8.8,14.9,1131.0,1152.7,98327.2,295850.4,380414.0,8938.8,32826.4,41855.8
Aguadilla,10,9,232.5,129.6,2009.5,2009.9,2010.6,2010.2,234.4,730.9,1156.5,638.7,32.5,63.2,189.0,130.1,2.0,18.1,2.0,5.3,16.5,1273.4,1297.8,118340.4,442560.6,520085.0,11834.0,45093.0,51783.7
Roosevelt Roads,9,7,12.1,19.2,1993.6,1991.1,2004.5,2005.9,136.0,772.1,237.9,221.7,67.0,125.1,69.3,54.1,26.0,58.7,25.7,22.0,5.4,409.9,417.7,41545.6,98132.6,126595.2,4616.2,12402.5,15881.2
Fajardo,9,9,162.5,113.9,2003.7,2003.7,2002.4,2001.5,888.0,1400.5,718.3,1380.9,97.0,133.2,122.1,185.7,12.0,17.2,10.0,11.7,44.9,3423.2,3489.0,199220.6,531008.4,652274.6,22135.6,68087.2,84032.6
Vieques,6,6,67.4,88.8,1997.2,1997.2,2008.5,2008.8,614.7,1166.9,2210.8,2278.1,100.5,138.7,322.5,325.7,6.0,8.5,7.0,7.0,16.1,1237.5,1261.3,45252.6,152257.4,216509.6,7542.1,38262.3,51626.1
Arroyo,5,3,1.5,1.9,2002.6,1998.3,2006.6,2006.8,215.5,187.5,216.0,218.4,40.0,69.3,30.8,28.8,0.0,1.3,3.5,3.6,0.9,65.0,66.3,6750.6,18051.9,23712.7,1350.1,3979.4,5276.8
Guanica,5,5,12.1,14.3,1994.0,1994.0,2011.3,2010.9,892.9,689.5,650.1,594.7,73.0,87.6,88.6,90.1,33.0,51.4,71.7,68.9,4.6,348.1,354.8,24418.7,67137.8,86925.0,4883.7,18397.4,24962.9
Jobos,3,3,61.0,90.7,1991.0,1991.0,1999.9,2000.0,767.5,1092.8,1025.3,968.5,116.0,100.7,96.1,91.0,26.0,48.3,12.9,14.3,11.3,869.5,886.2,45091.2,129453.4,145658.6,15030.4,76554.1,99387.5
