Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,534,63,21658.6,1979.8,2003.2,2004.6,2007.5,2007.0,243.1,453.4,392.2,393.0,17.0,28.7,41.4,42.1,9.0,9.7,8.7,8.9,4160.7,318219.4,324329.2,3750671.3,29583173.4,35976581.6,7023.7,49065.9,57179.7
Service - tug,527,76,321.7,264.9,1986.7,1985.3,1987.2,1989.2,1132.1,1084.6,1079.6,1024.6,144.0,198.2,186.0,178.0,16.0,52.5,50.4,48.6,812.1,61058.1,62230.5,6776289.6,16023885.0,21455116.0,12858.2,33202.3,44828.7
Container,447,48,7866.6,7784.9,2008.8,2007.7,2011.5,2010.6,659.9,539.6,749.3,696.0,58.0,47.8,63.1,63.1,20.0,17.5,22.8,22.7,1553.1,104984.3,107000.0,7469186.0,22216002.7,24919685.1,16709.6,52840.3,61674.9
Ro-Ro,258,4,195.1,157.1,1995.1,2000.2,1992.8,1994.7,128.4,124.5,145.0,143.5,16.0,15.5,16.8,17.0,8.0,40.5,9.8,10.4,90.0,6792.6,6923.0,481264.4,3491929.9,1695424.7,1865.4,4539.3,6347.5
Chemical tanker,230,126,9766.3,16232.6,2009.5,2011.3,2012.4,2012.4,743.7,2574.7,2348.1,2377.3,74.5,232.8,338.7,339.7,32.0,55.2,61.5,62.0,1405.5,107748.6,109817.4,4091053.2,24993605.2,29017249.0,17787.2,127083.2,155925.3
Ferry-RoPax,155,1,1137.5,265.0,1990.0,1990.0,1990.0,1990.0,243.6,243.6,244.7,244.7,15.0,15.0,15.3,15.3,9.0,9.0,9.3,9.3,239.9,18303.6,18655.0,1646502.6,4071670.7,4995966.1,10622.6,22675.0,20652.2
General cargo,126,43,700.9,963.6,1994.3,2004.0,2007.1,2007.0,249.4,1288.9,1123.6,1134.3,30.0,117.5,199.8,199.9,14.5,42.2,64.0,70.5,161.8,12369.4,12606.9,630741.3,2062083.2,2982276.9,5005.9,23922.6,32481.9
Refrigerated bulk,109,11,2855.4,2812.4,1995.3,1999.3,1994.8,1994.9,1174.7,1855.2,2382.3,2361.2,97.0,111.9,187.9,187.3,5.0,5.1,5.3,5.3,1163.2,88943.1,90650.8,8343362.1,18230651.4,20535114.3,76544.6,163115.7,176115.9
Oil tanker,98,68,4040.0,6856.0,2007.6,2007.6,2008.4,2008.3,551.5,1676.0,1297.5,1270.9,70.5,151.6,294.4,292.6,38.5,45.2,51.7,51.6,603.7,46133.0,47018.8,5799405.1,11472205.1,13773945.1,59177.6,159168.5,193013.9
Vehicle,95,69,15908.6,5485.5,2005.9,2007.3,2007.8,2007.6,1441.9,3435.1,2953.2,3057.0,103.0,227.4,401.2,409.2,8.0,11.1,9.5,9.3,975.2,75419.1,76867.1,5554739.7,24490446.1,28362432.7,58470.9,222248.0,239187.6
Liquefied gas tanker,66,35,6673.3,5813.0,2006.5,2007.5,2005.1,2005.3,796.2,1750.8,2358.3,2271.9,78.5,154.3,341.2,337.2,30.0,31.2,30.2,30.7,947.0,60026.9,61179.4,1848775.2,10540376.4,9320293.9,28011.7,214660.5,319379.5
Bulk carrier,50,39,3321.7,5536.0,2008.1,2008.7,2008.0,2008.0,1788.9,2646.3,2238.0,2262.7,141.0,230.7,363.1,363.5,48.5,110.0,116.4,117.0,330.2,25470.9,25960.0,1995055.0,4613115.2,5953287.9,39901.1,149389.7,180595.8
Service - other,21,13,215.4,138.1,1989.4,1988.7,1987.5,1986.5,1179.3,1800.7,2461.7,2636.7,130.0,518.5,676.9,751.9,32.0,87.8,165.2,172.2,70.0,5303.9,5405.7,963555.0,1977003.4,2130340.9,45883.6,102098.7,115283.9
Miscellaneous - fishing,4,2,3.6,1.5,1998.8,1999.5,2000.5,2000.1,627.8,3396.6,2283.9,1387.6,75.0,313.5,479.9,404.1,15.5,15.5,9.6,13.3,8.3,620.1,632.0,10812.4,23984.1,27267.5,2703.1,6361.6,7541.3
Ferry-pax only,2,2,0.7,0.1,2011.0,2011.0,2009.6,2009.4,1067.6,1067.6,1004.5,998.2,171.5,171.5,148.7,144.1,33.5,33.5,27.0,25.7,1.2,88.0,89.7,7891.1,16070.9,20244.4,3945.5,9175.2,12095.9
