Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Guayanilla,149,30,198.7,323.3,1984.1,2001.5,2008.4,2008.7,50.5,242.9,240.1,242.2,13.0,62.9,24.3,22.1,31.0,43.5,47.8,47.7,73.7,5541.0,5647.4,249711.7,602510.9,753654.4,1675.9,5309.8,6710.6
San Juan,108,38,141.9,224.5,1983.5,1995.5,2007.1,2008.2,126.6,310.3,272.1,275.4,22.0,58.6,110.4,111.6,22.5,31.4,28.6,28.9,65.9,4953.7,5048.8,222518.8,634920.7,792016.8,2060.4,7033.1,8963.6
Jobos,100,5,2.1,1.5,1976.7,1970.0,1977.7,1977.6,47.9,175.1,61.3,62.9,8.0,39.0,14.1,16.6,29.5,32.4,50.4,50.4,8.8,664.4,677.2,38071.3,90027.2,120541.5,380.7,983.1,1327.3
Yabucoa,27,12,43.6,75.6,1980.3,1985.9,2009.0,2009.6,102.2,225.9,236.4,240.3,54.0,513.0,175.3,158.5,49.0,46.9,74.1,78.2,69.4,5209.8,5309.9,78446.6,170126.2,195559.5,2905.4,7580.2,9305.0
Arecibo,26,14,11.8,17.4,1981.0,1989.9,2005.7,2006.4,63.1,90.7,87.8,89.7,10.5,20.5,23.3,21.4,41.0,51.3,68.0,72.1,8.6,645.3,657.7,19463.0,60652.1,77384.9,748.6,2806.9,3552.7
Las Mareas,24,8,7.9,13.0,1974.3,1974.8,2003.6,2005.8,93.6,221.3,89.7,88.8,16.5,178.9,64.3,46.1,40.0,343.2,131.8,104.6,23.7,1778.4,1812.5,21328.9,42673.2,56618.6,888.7,2180.4,2850.8
Ponce,21,15,8.0,9.0,1982.9,1985.8,1997.6,2003.8,179.5,273.3,241.7,209.2,57.0,189.4,92.0,52.3,30.0,88.1,63.2,77.3,14.7,1102.5,1123.6,51893.8,119417.0,156647.3,2471.1,6357.7,8388.4
Mayaguez,18,9,6.3,7.4,1988.9,1992.2,2009.0,2010.3,95.0,127.5,143.7,146.0,15.0,21.9,15.5,14.7,46.0,57.1,18.3,16.9,3.4,258.6,263.5,17696.8,47165.8,55524.8,983.2,2757.9,3315.9
Roosevelt Roads,15,8,5.3,0.9,1987.9,1983.8,2002.5,1996.4,257.9,335.3,1092.8,470.8,43.0,92.0,182.8,159.0,70.0,105.7,93.3,97.5,9.4,705.5,719.0,62850.2,130160.5,165195.9,4190.0,9856.4,13030.0
Aguadilla,13,12,29.6,36.0,2007.1,2007.2,2008.9,2008.8,89.5,126.7,127.5,140.6,11.0,18.8,35.4,45.9,26.0,31.8,28.4,32.0,7.1,535.7,546.0,26018.5,97640.1,113436.0,2001.4,8325.1,10116.7
Vieques,12,5,2.6,2.9,1977.4,1983.6,2000.4,2006.0,57.0,177.1,79.7,57.4,17.0,34.7,50.5,32.8,51.0,33.8,16.0,9.3,2.0,149.1,151.9,8194.5,18270.8,21422.8,682.9,1728.3,2086.7
Fajardo,10,4,9.0,1.3,1995.5,1992.2,2003.7,2001.7,929.4,779.0,2539.8,1446.0,125.5,123.0,332.2,323.5,27.0,65.4,28.8,32.6,13.4,1007.8,1027.1,104410.4,213458.0,269357.5,10441.0,24344.0,32113.9
Arroyo,5,5,4.6,7.1,1990.2,1990.2,2009.1,2009.6,91.9,297.3,129.5,130.3,27.0,27.6,29.2,29.1,40.0,63.4,43.0,42.0,2.8,211.3,215.4,11648.1,28526.3,35245.9,2329.6,6714.2,8425.5
Guanica,3,3,2.3,3.4,1988.0,1988.0,2006.2,2007.3,166.1,216.1,296.2,310.6,21.0,58.7,11.1,9.4,22.0,34.7,24.8,22.8,1.3,95.0,96.9,5040.6,13655.0,16337.5,1680.2,5009.2,5966.0
