Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,395,26,15.8,12.0,1976.2,1977.8,1977.0,1977.6,77.3,207.8,124.8,130.5,14.0,186.6,205.5,190.8,30.0,49.8,70.7,68.1,73.4,5513.5,5619.4,306746.0,725361.9,971220.4,776.6,2005.2,2707.4
Chemical tanker,28,22,174.8,292.2,2010.9,2011.2,2010.8,2010.7,186.8,225.5,238.4,238.3,19.0,38.1,72.5,73.0,24.5,30.7,31.8,31.8,47.3,3554.2,3622.5,62667.5,425718.0,491783.1,2238.1,17870.9,21934.0
Service - other,21,5,11.3,4.9,1991.0,1990.6,1990.8,1990.6,236.9,234.0,329.3,342.8,43.0,45.1,98.9,102.1,18.0,24.3,58.4,62.1,8.1,608.7,620.4,34467.7,70720.2,76205.3,1641.3,3652.2,4123.9
Oil tanker,20,15,185.9,324.1,2008.0,2007.0,2007.7,2007.7,198.5,267.8,254.6,255.7,19.0,54.4,66.5,66.3,44.5,53.7,56.0,57.1,73.7,5537.2,5643.5,256863.5,472284.1,588032.2,12843.2,32701.1,40185.4
Cruise,20,2,0.7,0.5,1983.1,1984.0,1983.9,1983.1,48.5,58.3,111.8,193.3,43.0,26.5,144.8,236.8,82.0,48.5,125.2,201.1,66.6,4998.1,5094.1,24567.6,30653.7,31919.3,1228.4,1907.7,2358.5
Container,15,8,22.3,26.7,2007.5,2007.2,2007.8,2007.9,99.5,130.1,117.5,114.5,11.0,11.9,11.9,12.0,17.0,21.9,21.3,21.0,6.1,459.4,468.2,31572.5,104390.1,117837.2,2104.8,7294.8,8641.3
Ferry-pax only,13,2,13.9,1.9,2006.2,2011.0,2004.1,2004.1,1433.0,1131.8,2415.3,2429.4,63.0,63.8,282.4,282.5,38.0,35.5,50.7,50.7,19.5,1465.8,1493.9,158188.5,322165.6,405829.1,12168.3,28296.9,37304.7
Bulk carrier,8,5,16.8,27.4,2009.5,2008.0,2009.7,2009.6,91.3,90.7,88.1,88.9,14.5,13.7,19.1,19.2,65.0,76.5,85.4,86.2,3.1,231.0,235.5,11448.0,25488.7,34151.1,1431.0,5219.5,6322.4
General cargo,6,6,5.8,8.0,1997.3,1997.3,2005.2,2005.1,95.8,144.7,139.6,130.8,13.5,27.5,42.4,40.8,27.5,43.0,60.6,66.9,2.2,161.8,164.9,11020.4,32892.4,45864.7,1836.7,7510.9,9671.9
Liquefied gas tanker,4,4,21.5,24.1,2008.5,2008.5,2009.7,2009.4,320.7,285.8,334.0,326.2,23.0,25.2,36.0,35.6,27.5,23.8,18.3,18.3,4.1,308.7,314.6,18226.2,52804.3,58312.9,4556.6,24946.9,32805.8
Vehicle,1,1,4.8,1.5,2011.0,2011.0,2011.0,2011.0,81.9,81.9,81.9,81.9,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,0.3,19.6,19.9,1525.3,6724.9,7788.1,1525.3,5797.6,6239.5
