Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Guayanilla,136,22,116.8,192.2,1982.5,2000.1,2008.3,2009.0,58.7,220.9,234.4,242.2,8.0,107.4,102.9,104.7,27.5,42.4,51.7,54.0,76.0,5707.7,5817.3,171393.9,438046.2,532845.8,1260.2,3898.4,4909.9
San Juan,131,55,222.6,344.5,1986.5,1999.1,2008.4,2008.8,124.2,191.4,196.2,203.7,19.0,43.0,26.4,25.4,38.0,43.0,44.7,45.7,79.2,5947.8,6062.0,306648.9,771906.7,964080.2,2340.8,7434.0,9380.8
Jobos,99,4,1.9,1.4,1976.7,1969.2,1974.3,1974.2,45.8,245.5,57.2,57.5,10.0,848.8,345.3,333.9,26.0,51.5,29.2,29.4,8.8,663.0,675.7,34558.2,81719.8,109418.4,349.1,901.4,1217.0
Ponce,29,21,25.6,34.7,1984.6,1983.0,2001.6,2004.7,164.4,441.1,268.1,242.1,28.0,100.1,66.9,43.4,35.0,38.5,49.3,56.6,21.9,1643.6,1675.2,88509.6,221926.0,287336.4,3052.1,8673.3,11320.7
Yabucoa,26,14,34.7,57.6,1983.7,1989.4,2006.6,2007.1,127.5,243.8,227.4,230.0,38.5,167.9,29.5,23.8,45.0,207.5,63.4,56.9,40.9,3069.8,3128.8,50177.3,131251.4,157013.9,1929.9,6390.4,7992.8
Las Mareas,25,6,0.7,0.6,1975.4,1972.2,1972.9,1974.7,56.7,124.3,126.7,122.3,25.0,375.0,775.0,722.7,56.0,77.2,93.4,94.3,32.5,2439.8,2486.7,14962.2,33790.4,44688.8,598.5,1486.7,1996.5
Mayaguez,18,8,2.9,2.9,1987.3,1985.6,2000.0,2000.7,90.6,142.6,165.5,167.4,17.0,31.4,34.1,34.6,15.5,53.0,18.8,18.4,3.0,224.7,229.0,16978.5,42019.7,56090.5,943.3,2701.9,3555.2
Arecibo,18,6,4.9,8.1,1975.3,1989.5,2007.3,2008.2,71.0,86.6,81.5,84.4,13.0,21.2,24.7,24.9,23.0,28.0,60.3,61.3,3.4,252.2,257.1,7449.4,23907.4,30106.1,413.9,1529.2,1949.2
Vieques,15,9,16.9,26.6,1980.9,1986.2,2009.4,2010.6,69.1,167.1,429.6,515.9,16.0,56.4,236.5,248.6,24.0,16.3,11.9,12.0,5.9,445.5,454.0,28324.4,67418.4,77881.9,1888.3,5562.6,6615.1
Roosevelt Roads,14,7,9.4,1.7,1990.3,1985.3,2002.6,1997.3,481.7,617.5,2005.2,975.0,105.0,310.9,347.3,348.1,27.0,60.0,31.3,48.4,16.6,1249.1,1273.0,112658.5,232962.3,295472.7,8047.0,18909.9,24992.5
Fajardo,6,2,4.9,0.7,1997.7,1985.0,2003.9,2003.0,860.5,701.2,1918.8,1392.0,58.0,92.0,190.4,189.4,79.5,79.5,92.0,91.5,7.0,526.5,536.6,56039.2,114274.8,144034.2,9339.9,21738.4,28664.5
Guanica,5,5,11.3,19.0,1986.4,1986.4,2008.1,2008.7,364.2,266.5,358.2,360.6,52.0,70.2,136.9,139.6,28.0,19.6,8.7,8.2,2.7,201.8,205.7,6636.4,33388.2,39295.0,1327.3,7755.0,9627.7
Aguadilla,5,5,15.8,25.3,1994.2,1994.2,2006.7,2008.4,271.7,303.7,453.8,461.6,42.0,76.8,186.7,195.4,8.0,25.0,5.0,4.7,4.0,302.8,308.6,14293.8,55674.7,65582.6,2858.8,12746.2,15759.0
Arroyo,4,4,5.0,8.1,1991.2,1991.2,2007.6,2007.7,123.6,218.5,71.2,69.4,60.0,60.0,60.7,59.8,49.0,76.8,34.7,34.9,2.4,183.5,187.1,8662.9,20917.7,25096.9,2165.7,6407.8,7865.7
