Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Sulina,446,258,172.2,248.2,1992.6,1993.5,1990.5,1990.4,92.8,116.3,121.7,121.1,13.0,23.2,33.5,33.8,81.0,117.1,143.2,130.7,136.3,10268.6,10465.7,609434.8,1697322.1,2340274.8,1366.4,4659.5,6237.8
Constanta,307,91,417.5,663.8,1997.3,1992.0,1997.9,1998.8,91.3,462.9,469.7,603.5,12.0,177.2,390.0,396.4,12.0,129.8,102.7,88.6,146.7,11152.7,11366.8,1153105.6,2770403.2,3702016.7,3756.0,10702.4,14163.7
Sfantu Gheorghe,190,24,59.5,51.2,2003.6,1990.2,2001.9,2001.5,97.5,122.6,119.6,115.5,31.0,28.3,57.7,55.3,26.5,74.2,97.5,84.9,46.0,3458.4,3524.8,953800.2,2264031.3,3027684.0,5020.0,13029.6,17572.2
Galati,162,114,32.8,39.9,1993.9,1995.2,1993.7,1991.1,54.6,81.5,76.3,68.1,7.0,19.0,54.8,55.4,12.0,30.4,40.3,26.1,26.8,2015.6,2054.3,113599.1,309009.2,425639.8,701.2,2272.0,3090.4
Tulcea,124,80,29.8,39.5,1990.9,1991.0,1993.1,1993.0,60.6,123.3,97.7,94.9,10.0,49.2,88.7,53.9,46.5,117.8,103.3,95.4,43.6,3282.7,3345.8,112610.6,312280.2,433139.6,908.1,3006.3,4067.6
Braila,94,71,20.4,29.3,1990.2,1990.9,1991.4,1991.1,58.9,68.3,70.5,68.6,8.0,45.7,54.6,48.6,13.5,21.6,24.8,23.4,16.3,1227.7,1251.3,72785.4,204256.1,283425.5,774.3,2684.1,3571.2
Mangalia,64,24,40.3,61.7,1989.4,1993.1,2007.6,2008.7,130.5,325.7,458.8,529.4,70.5,314.6,199.5,133.2,29.5,120.5,64.3,39.1,36.1,2712.2,2764.3,108011.5,245808.7,311540.8,1687.7,4562.1,5749.1
Midia,61,32,38.9,45.8,1992.0,1993.5,1991.6,1995.7,98.6,268.2,221.9,181.7,55.0,127.3,685.9,472.2,9.0,256.1,732.7,491.4,33.0,2497.6,2545.5,314248.6,764575.8,1026956.5,5151.6,14014.6,18902.9
Agigea,56,26,8.4,9.1,1987.1,1989.6,1988.7,1988.4,149.0,152.0,139.0,144.4,34.0,104.2,67.3,47.5,23.0,342.1,181.6,99.8,25.8,1938.9,1976.1,82072.2,204360.4,279155.1,1465.6,4034.9,5546.5
Chiscani,16,5,4.7,5.9,1971.8,1969.8,1965.3,1965.0,178.5,307.0,305.7,256.6,30.0,101.5,204.5,191.0,40.0,35.1,39.5,39.8,2.9,215.5,219.7,22360.9,61923.6,87964.3,1397.6,4368.5,6220.2
Bechet,9,4,5.1,6.9,1965.1,1965.2,1964.9,1964.8,354.6,340.4,319.3,318.3,64.0,67.9,75.9,78.6,8.0,7.9,6.3,6.7,1.5,116.0,118.2,21462.7,61572.4,88484.2,2384.7,7773.2,11179.8
Harsova,6,3,4.1,4.3,1974.8,1974.3,1968.0,1965.4,483.0,719.0,547.0,510.4,130.5,164.5,235.9,233.9,7.0,7.0,18.7,20.9,1.2,87.1,88.8,14935.7,42001.0,59968.9,2489.3,7924.3,11333.5
Medgidia,6,1,0.3,0.1,1980.0,1980.0,1980.0,1980.0,243.4,243.4,378.5,378.5,47.0,47.0,49.4,49.4,30.5,30.5,130.8,130.8,1.6,118.0,120.2,3741.6,8847.7,11846.7,623.6,1610.2,2174.1
Orsova,5,4,3.0,3.5,1976.0,1979.0,1965.3,1965.0,415.6,358.9,420.5,414.6,66.0,59.1,79.9,80.4,5.0,14.9,32.5,31.9,1.1,80.7,82.2,10919.7,31314.9,44991.2,2183.9,7115.7,10232.2
Isaccea,4,4,4.6,6.7,1989.2,1989.2,1999.9,1999.7,505.8,466.4,471.5,447.7,114.0,239.5,301.9,295.2,46.5,49.2,73.7,73.2,2.4,183.7,187.2,26967.3,63139.5,76837.9,6741.8,18241.4,22358.2
Eforie Sud,3,3,3.1,3.6,2005.0,2005.0,2013.6,2015.2,28.3,568.0,29.1,27.4,10.0,21.0,12.4,10.6,37.0,589.7,155.6,82.2,4.6,348.5,355.2,2566.1,6970.3,8122.2,855.4,2749.8,3245.0
Macin,2,2,0.3,0.4,1972.0,1972.0,1964.4,1964.2,125.5,125.5,165.6,168.1,26.0,26.0,32.6,32.8,17.0,17.0,11.3,11.2,0.1,9.8,9.9,1270.7,3578.7,5112.1,635.4,2026.1,2899.0
Fetesti,2,2,3.0,5.6,1965.0,1965.0,1963.1,1963.1,827.3,827.3,866.9,1020.1,91.5,91.5,169.5,171.0,207.5,207.5,393.4,396.8,0.8,56.7,57.8,17580.7,50435.9,72480.2,8790.4,28652.6,41209.8
Ovidiu,1,1,0.0,0.0,1980.0,1980.0,1980.0,1980.0,167.6,167.6,167.6,167.6,23.0,23.0,23.0,23.0,120.0,120.0,120.0,120.0,0.2,14.9,15.1,276.2,653.1,874.4,276.2,713.1,962.9
