Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Koege,559,66,563.4,208.3,1998.6,1993.8,2006.8,2001.3,92.0,174.9,97.5,114.1,7.0,27.0,24.8,51.5,1.0,42.2,4.5,13.7,200.0,15017.9,15306.2,1099685.8,2684291.4,3301837.1,1967.2,4510.8,4654.2
Roenne,504,97,880.8,300.6,2004.0,1991.9,2008.4,2006.2,183.1,294.0,148.6,170.0,7.0,63.6,17.6,42.8,10.0,63.4,14.6,19.5,290.0,21776.0,22194.1,1664111.9,4161304.7,5193742.0,3301.8,7682.2,7993.0
Aarhus,488,156,1776.0,552.0,2000.0,1998.5,2011.5,2007.4,115.6,154.9,532.7,193.2,13.0,26.8,547.6,306.1,12.0,28.0,13.4,21.2,782.7,58762.1,59890.3,2143194.4,5520897.7,6743104.9,4391.8,10723.3,11207.8
Aalborg,474,137,664.6,838.4,1992.5,1996.3,2005.2,2004.7,146.8,271.6,282.0,332.8,16.0,43.4,239.5,285.3,11.0,35.0,45.1,51.3,191.0,14393.8,14670.1,980622.7,2665660.9,3421175.7,2068.8,6903.7,8787.7
Fredericia,391,117,637.7,672.1,2000.2,1998.2,2001.7,2002.4,136.4,178.0,155.3,163.4,12.0,23.7,29.2,35.3,13.0,28.5,30.8,40.5,232.1,17425.9,17760.5,832154.1,2224143.3,2729573.1,2128.3,6537.7,8028.8
Skagen,360,251,1162.8,1670.0,2000.8,2001.7,2007.1,2007.3,164.3,307.1,204.9,208.4,18.0,83.2,82.2,76.4,12.0,86.8,80.0,83.9,716.9,53815.1,54848.3,1637079.1,3918959.7,4648135.6,4547.4,12905.7,15770.4
Copenhagen,353,119,285.0,301.8,1988.0,1995.0,1999.3,1997.0,137.8,165.8,169.3,158.1,16.0,30.7,31.6,31.4,15.0,23.6,25.3,31.0,134.9,10129.5,10324.0,695736.4,1829096.8,2287014.1,1970.9,5987.2,7631.4
Kalundborg,349,140,980.6,1390.8,1998.3,1998.2,2008.1,2007.9,155.3,430.5,501.7,447.9,17.0,61.6,283.3,230.3,15.0,46.8,155.7,68.1,292.2,22005.4,22427.9,1152916.0,2953848.2,3575836.1,3303.5,9760.8,12101.7
Thyboron,333,89,221.8,250.7,1985.5,1993.6,1999.6,1999.6,149.0,614.4,378.9,331.7,23.0,158.4,263.0,222.8,10.0,89.8,208.5,183.9,225.6,16936.6,17261.7,1723755.1,3691362.7,4132334.2,5176.4,11936.8,13944.4
Esbjerg,299,85,285.1,357.5,1984.9,1996.1,2001.5,2001.2,159.4,674.7,332.2,317.6,21.0,150.6,122.5,115.2,8.0,91.4,55.5,47.4,151.0,11329.7,11547.2,1526603.0,3474121.6,4071126.0,5105.7,12767.4,15424.2
