Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-RoPax,13444,153,100086.0,21105.0,1994.0,1988.0,1997.2,1996.8,203.1,1398.6,281.9,315.5,12.0,204.2,120.2,194.0,8.0,51.0,29.6,39.0,28142.6,2155642.9,2197031.2,164406034.2,393990210.9,492441735.0,12229.0,26399.8,27514.2
Ro-Ro,5114,79,45866.7,20566.0,2004.7,2004.7,2005.8,2004.5,297.1,344.9,347.9,346.1,19.0,24.4,59.8,71.3,7.0,22.1,32.5,39.3,8908.8,690056.6,703305.7,22152206.4,41439729.8,47750455.5,4331.7,10182.9,10827.7
Container,4503,464,44538.7,51293.6,2003.8,2005.4,2007.0,2006.9,148.3,232.7,251.1,252.1,17.0,21.8,45.6,45.0,19.0,27.9,28.9,28.8,6291.8,485564.5,494887.3,37044843.1,107777066.4,121829080.5,8226.7,26859.1,31577.6
Chemical tanker,4093,388,26654.5,41473.5,2002.6,2007.0,2005.5,2005.5,384.9,535.5,538.3,541.0,36.0,54.7,79.0,79.3,31.0,48.6,58.2,58.5,8289.9,637409.0,649647.2,22087804.6,89092567.6,105729567.4,5396.5,24865.1,30362.1
Ferry-pax only,3115,95,1933.4,467.4,1995.2,1992.7,1994.8,1999.0,797.5,2683.0,1889.3,1969.3,33.0,297.6,743.1,810.9,14.0,63.3,163.5,174.4,3127.2,234797.8,239305.9,38457833.0,78322974.3,98662743.1,12346.0,28710.1,37849.4
General cargo,3109,867,8241.6,11904.0,2000.9,2001.2,2005.5,2005.4,292.7,410.4,448.2,450.0,33.0,48.5,73.6,73.3,32.0,62.8,68.4,68.7,2106.3,160671.2,163756.1,13758049.7,41837227.0,59373266.0,4425.2,18168.8,24294.8
Cruise,2477,131,38095.7,3547.3,2001.9,2000.7,2009.2,2008.0,180.0,205.5,224.2,223.9,14.0,16.6,24.1,24.9,10.0,12.4,18.0,17.8,9171.3,709492.1,723114.3,9607126.6,58511320.2,70806233.2,3878.5,21107.6,24393.9
Service - tug,1270,140,705.2,499.2,2000.0,2000.4,2004.4,2003.4,393.1,584.0,661.3,673.1,66.0,410.3,984.3,1063.2,35.0,121.1,223.1,245.9,1572.0,118056.7,120323.4,12768396.2,30193413.3,40427348.5,10053.9,25960.9,35051.6
Other liquids tankers,691,10,319.8,479.8,1966.5,1971.4,1971.9,1971.8,208.9,421.9,426.5,418.9,17.0,33.8,92.3,92.1,15.0,39.6,116.9,119.1,701.0,53939.0,54974.6,246114.6,702732.3,1515090.5,356.2,1233.9,1993.9
Bulk carrier,576,303,8153.5,13911.7,2007.1,2008.2,2009.5,2009.6,448.1,605.3,662.8,663.7,43.0,71.3,130.6,129.2,58.0,97.5,152.8,150.9,961.2,74217.5,75642.5,6418666.3,14947482.9,18686356.8,11143.5,39282.6,47970.0
Oil tanker,548,219,10420.5,19048.6,2007.1,2008.2,2007.2,2007.3,260.3,457.4,438.7,438.0,49.0,69.0,134.2,133.2,31.0,39.7,53.6,52.8,1962.9,151090.8,153991.8,9783927.0,18912465.0,21163844.6,17853.9,46558.9,57186.1
Liquefied gas tanker,538,52,4363.1,4572.1,2005.8,2008.5,2007.0,2006.6,470.7,638.2,940.6,893.8,37.0,51.0,304.7,276.2,30.0,42.0,40.2,42.0,1081.3,78233.8,79735.9,2526417.6,9207613.3,9323292.9,4695.9,28448.9,39068.5
Vehicle,478,83,6581.0,2243.3,2004.1,2005.9,2005.7,2004.6,221.2,282.4,304.0,300.2,17.0,24.6,31.2,32.2,11.0,14.0,18.6,18.3,503.7,39001.7,39750.5,2271618.6,10015402.4,11598856.7,4752.3,18063.6,19440.4
Service - other,290,46,405.4,242.3,1993.5,1992.9,2000.2,1998.6,365.1,778.9,952.2,844.0,55.5,331.3,552.8,708.8,37.0,100.2,252.5,242.3,388.1,29142.3,29701.8,1690648.7,3468840.0,3737885.2,5829.8,12972.3,14647.6
Miscellaneous - fishing,172,19,40.0,46.0,1988.1,1992.1,1990.1,1993.9,547.4,1970.5,1275.1,1495.2,56.5,200.5,517.1,602.5,42.5,78.1,181.9,167.8,177.4,13317.6,13573.3,323781.0,718208.7,816530.5,1882.4,4430.3,5251.8
Refrigerated bulk,4,4,5.5,6.4,1998.0,1998.0,1989.9,1989.7,132.0,176.5,148.8,153.1,14.5,16.2,18.2,18.3,19.5,51.2,26.9,25.9,7.7,583.3,594.5,19014.4,41547.3,46799.1,4753.6,10129.8,10937.2
