Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,117,38,1735.7,2211.9,2003.4,2003.8,2004.1,2004.0,634.3,681.2,706.7,703.3,62.0,83.7,121.2,120.5,45.0,57.5,63.8,64.5,352.1,27127.2,27648.0,2175891.3,7425504.7,8233726.9,18597.4,65325.1,76836.4
Bulk carrier,96,92,9835.8,17667.6,2009.0,2009.0,2008.7,2008.6,2947.2,2679.5,3035.1,3092.5,438.0,508.6,684.7,698.4,61.0,96.7,68.8,67.4,809.2,62548.1,63749.0,6184637.6,12752317.7,15651497.0,64423.3,209280.1,245320.0
General cargo,52,28,830.1,1126.3,2000.1,2006.1,2007.6,2006.6,864.1,1965.2,1386.0,1241.7,132.5,239.2,296.3,278.3,36.0,49.2,51.2,50.9,177.7,13638.0,13899.8,607133.4,2051378.1,2975741.3,11675.6,60393.9,81471.6
Chemical tanker,48,31,858.3,1418.4,2007.2,2007.5,2008.5,2008.5,800.7,1119.1,1122.9,1146.6,70.0,139.6,205.5,208.6,28.0,59.4,36.3,35.9,172.8,13308.8,13564.4,470923.1,2403655.2,2798113.5,9810.9,57994.0,70580.6
Refrigerated bulk,23,13,74.2,85.3,1986.0,1987.8,1989.8,1989.6,617.6,965.6,923.1,926.8,75.0,139.4,194.1,193.1,103.0,116.0,93.5,92.3,96.1,7257.1,7396.5,253112.6,553063.2,622973.7,11004.9,23451.3,25320.4
Ro-Ro,14,10,1104.3,548.4,2004.9,2005.2,2007.5,2007.6,862.1,1494.9,1431.2,1447.6,51.5,100.8,148.7,152.0,18.5,26.7,37.4,38.5,109.4,8468.6,8631.2,588692.7,1084777.5,1264779.6,42049.5,98831.8,104911.8
Miscellaneous - fishing,13,11,57.4,34.5,1988.9,1986.5,1982.9,1981.9,624.4,4933.5,2964.8,2956.7,76.0,477.0,1109.0,1187.0,115.0,350.6,409.2,336.8,39.9,2999.1,3056.7,242740.3,538444.8,612157.2,18672.3,43944.5,52093.5
Oil tanker,5,5,177.6,295.0,2002.0,2002.0,2001.9,2001.9,1514.9,1459.0,1374.5,1368.1,226.0,249.0,277.8,278.2,54.0,67.4,49.3,49.6,34.0,2605.5,2655.5,289825.5,665896.9,748504.7,57965.1,172292.0,203378.3
Service - tug,2,2,0.7,0.4,1977.5,1977.5,1977.2,1973.1,1225.9,1225.9,1123.3,1357.7,870.5,870.5,855.8,677.5,104.5,104.5,100.2,47.3,2.5,191.0,194.6,9029.3,21351.7,28588.7,4514.7,11657.7,15739.9
Vehicle,1,1,243.9,65.7,2011.0,2011.0,2011.0,2011.0,4000.0,4000.0,4000.0,4000.0,455.0,455.0,455.0,455.0,14.0,14.0,14.0,14.0,10.9,847.1,863.4,66494.1,293167.7,339518.1,66494.1,252744.0,272008.0
