Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,182,62,1606.0,2326.5,1985.7,1985.8,1988.9,1989.3,1370.7,1378.4,1499.5,1525.3,152.0,233.0,284.3,292.0,153.5,289.0,312.4,308.7,430.3,32723.4,33351.7,2307054.3,7121136.5,10085244.3,12676.1,54725.6,72270.3
Container,173,30,3775.0,4686.0,1999.9,1998.4,1999.6,1999.5,784.2,972.7,1085.7,1063.0,73.0,97.1,133.4,131.7,56.0,62.8,58.1,58.0,824.5,63534.5,64754.4,4125717.9,15045661.0,16599731.0,23848.1,89230.4,105576.6
Bulk carrier,52,21,665.1,1043.0,1989.9,1996.8,1994.9,1995.5,1335.6,1169.4,1151.3,1142.3,168.0,204.0,235.0,235.9,207.5,173.0,204.9,203.8,112.5,8622.4,8787.9,1020165.4,2402115.8,3109424.3,19618.6,66482.3,83523.5
Oil tanker,38,18,438.4,683.0,1990.6,1990.7,1993.2,1992.9,1534.1,1706.2,1875.7,1877.7,226.5,362.1,521.3,522.6,208.5,318.7,185.9,187.5,234.6,17837.3,18179.8,1159231.3,1329540.9,1453895.7,30506.1,90751.9,114643.7
Chemical tanker,25,17,327.2,527.3,1999.4,2001.6,2004.2,2003.7,1826.5,1654.7,1789.5,1788.9,191.0,267.2,267.3,266.0,123.0,171.0,132.9,135.7,140.4,10693.5,10898.8,591546.0,1772910.8,2125888.6,23661.8,79641.4,95619.9
Ro-Ro,22,5,63.7,41.2,1982.8,1988.6,1983.0,1984.0,416.8,734.5,576.9,591.6,73.5,97.4,99.6,110.4,19.0,45.1,35.7,38.9,25.6,1934.2,1971.3,98861.8,637406.6,327986.5,4493.7,10879.5,14682.0
Ferry-pax only,14,1,0.4,0.1,1981.0,1981.0,1981.0,1981.0,156.7,156.7,160.2,160.2,15.5,15.5,17.2,17.2,45.5,45.5,49.2,49.2,1.6,116.8,119.0,9225.1,18787.8,23666.9,658.9,1532.3,2020.1
Service - tug,6,6,43.1,47.1,1999.8,1999.8,1990.4,1987.9,1934.6,8734.8,10740.4,14045.8,375.5,911.5,2402.4,2574.6,61.5,250.5,41.3,36.3,85.3,6403.8,6526.8,1205712.3,2851146.7,3817531.4,200952.1,518894.3,700595.3
Miscellaneous - fishing,1,1,1.6,0.9,1973.0,1973.0,1973.0,1973.0,2314.5,2314.5,2314.5,2314.5,56.0,56.0,56.0,56.0,3590.0,3590.0,3590.0,3590.0,7.1,534.2,544.5,6216.0,13788.4,15676.0,6216.0,14629.2,17342.0
Service - other,1,1,1.4,0.6,1981.0,1981.0,1981.0,1981.0,1102.2,1102.2,1102.2,1102.2,188.0,188.0,188.0,188.0,18.0,18.0,18.0,18.0,0.9,68.1,69.4,4207.2,8632.2,9301.7,4207.2,9361.6,10570.6
