Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
All Global Voyages,2658748,54999,81267189.4,114150482.3,2002.5,2002.4,2008.8,2009.1,366.3,1368.5,1510.2,1787.3,41.0,222.0,402.2,445.0,19.0,83.5,69.5,77.4,9296550.7,707533845.5,721118495.4,52903800408.8,144910309539.1,167566454197.9,19898.0,67928.9,83364.7
All International Voyages,1229088,41343,71953336.7,102531467.9,2003.7,2003.8,2009.2,2009.4,668.4,1825.5,2058.1,2438.9,67.0,228.6,428.3,471.9,22.0,79.5,68.9,76.8,7386879.1,561972489.7,572762361.5,42427448653.6,117844885887.1,135247567981.6,34519.5,120548.3,148093.0
All Domestic Voyages,2658748,54999,81267189.4,114150482.3,2002.5,2002.4,2008.8,2009.1,366.3,1368.5,1510.2,1787.3,41.0,222.0,402.2,445.0,19.0,83.5,69.5,77.4,9296550.7,707533845.5,721118495.4,52903800408.8,144910309539.1,167566454197.9,19898.0,67928.9,83364.7
Int. Arr. Inventory,10,3,3.1,3.6,2002.4,2000.7,2008.7,2012.0,411.0,473.8,442.0,436.4,75.5,96.8,100.3,96.7,23.0,32.5,26.0,22.4,2.6,195.8,199.6,91153.7,215551.0,288611.2,9115.4,23537.5,31779.6
Int. Dep. Inventory,10,4,2.7,3.0,2002.2,2004.0,2010.9,2013.1,324.2,341.6,356.3,371.5,117.5,289.5,346.2,292.4,5.0,4.5,4.5,4.4,3.1,229.6,234.0,77177.7,182501.9,244360.2,7717.8,19928.7,26907.1
Domestic Inventory,3,2,0.2,0.3,2001.0,1993.5,2003.9,2009.8,134.8,127.4,123.7,121.9,35.0,43.5,60.6,65.2,14.0,23.5,22.0,23.5,0.3,24.6,25.0,7449.3,17615.4,23586.1,2483.1,6411.8,8657.1
