Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,4479,1562,16767.7,23359.4,1993.4,1995.5,1999.9,2000.1,490.6,801.7,907.8,908.3,59.0,94.8,227.7,230.1,34.0,64.2,88.6,90.3,3913.0,298324.7,304052.5,34417416.4,102588005.4,145823131.7,7684.2,29519.6,40065.9
Container,3485,549,225330.7,237012.5,2004.8,2005.9,2012.2,2011.8,555.6,1042.7,1514.2,1425.7,45.0,79.6,207.1,200.4,18.0,29.5,26.5,26.5,21027.8,1624695.8,1655890.0,115555753.5,331730011.5,386140878.5,33158.0,119552.1,144557.2
Bulk carrier,1880,1075,61375.2,107024.9,2004.1,2006.7,2007.2,2007.3,666.7,1332.3,1386.2,1403.7,68.0,133.7,332.6,338.7,35.0,81.4,113.5,113.9,5927.5,457905.6,466697.4,38924316.0,90833465.3,118188075.0,20704.4,77067.3,93855.8
Oil tanker,1502,610,68126.9,125400.4,2007.4,2007.9,2008.1,2008.1,582.5,889.7,916.6,916.1,61.0,110.9,289.7,291.3,21.0,52.2,72.0,70.9,8249.5,637872.4,650119.6,62758460.4,123612240.3,138686791.9,41783.3,108990.5,133685.2
Chemical tanker,1499,590,19840.9,31565.4,2006.7,2007.4,2007.5,2007.5,571.8,814.7,806.6,808.7,55.0,87.3,177.6,178.2,26.0,46.6,53.4,53.3,4349.9,335348.6,341787.3,11840438.8,57409189.5,67594536.5,7898.9,44401.0,54548.3
Ferry-RoPax,977,43,24166.5,5182.3,2001.5,1995.1,2003.4,2003.4,520.3,908.6,815.1,759.6,22.0,80.4,131.7,126.8,7.0,109.1,38.9,33.0,6531.1,503730.5,513402.1,32246568.2,79724622.5,97835950.0,33005.7,70460.0,64244.9
Cruise,787,111,30173.7,3099.5,1997.9,1997.9,2003.1,2002.2,595.1,620.4,665.9,653.5,39.0,48.1,55.6,56.2,8.0,37.3,19.2,20.8,6913.7,535295.5,545573.2,15840020.9,65077622.6,69208916.1,20127.1,72885.8,71913.6
Vehicle,662,210,24099.8,8039.9,2005.6,2006.9,2006.8,2006.5,525.3,978.9,779.9,789.4,40.0,68.7,105.2,105.4,12.0,15.3,19.5,19.3,1656.9,128236.2,130698.4,8141462.8,35895121.5,41570209.1,12298.3,46745.8,50308.7
Ro-Ro,435,47,9408.9,4468.8,2000.7,2000.5,2003.1,2000.8,606.0,926.6,810.4,843.6,39.0,67.6,66.6,76.6,11.0,30.2,71.2,77.9,1705.9,132085.2,134621.2,5017396.1,11079938.7,11245420.2,11534.2,27174.5,29484.7
Liquefied gas tanker,426,145,13059.1,12521.0,2003.9,2006.4,2007.9,2007.4,669.3,1423.0,1344.2,1342.1,70.0,137.2,283.6,293.7,29.0,69.5,71.1,74.0,2109.5,152122.3,155043.0,5199469.2,23761309.0,22260992.0,12205.3,80746.7,115095.8
Service - tug,172,93,149.1,130.5,1991.7,1996.6,1995.6,1994.3,451.3,835.2,950.2,938.3,67.0,143.4,455.0,504.5,17.5,115.1,198.7,180.0,188.5,14186.1,14458.5,3338350.8,7894194.6,10569899.9,19409.0,50117.6,67667.2
Miscellaneous - fishing,118,42,39.4,44.6,1992.7,1993.0,1989.1,1989.5,386.7,1962.5,832.7,816.1,87.5,291.3,566.7,509.3,28.5,141.8,78.3,70.0,95.0,7145.6,7282.7,313499.1,695401.5,790601.1,2656.8,6252.6,7412.1
Ferry-pax only,103,32,354.8,70.9,1987.5,1991.6,1974.7,1973.1,1179.7,6851.0,7325.4,7195.1,77.0,990.8,2858.6,2941.7,30.0,162.8,751.7,781.2,232.1,17574.2,17911.7,2959802.7,7156480.7,9160188.8,28735.9,73345.7,96887.1
Service - other,68,41,1217.5,2775.2,2000.6,1997.2,2011.1,2013.1,583.0,1321.8,1167.1,1165.7,68.0,234.5,141.2,135.8,71.5,319.0,122.3,83.3,165.5,12602.2,12844.1,19366074.2,39734932.6,42816796.1,284795.2,633717.3,715556.5
Refrigerated bulk,27,23,305.0,329.2,1994.4,1995.0,1994.5,1994.4,1305.0,1878.8,1789.5,1782.2,92.0,190.1,420.9,401.4,61.0,175.7,239.0,237.8,209.4,15844.2,16148.4,976596.6,2133910.9,2403650.0,36170.2,77078.4,83221.5
