Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Kish,644,209,1473.4,2481.7,1997.8,1999.9,2003.7,2004.2,167.1,389.0,475.6,486.3,22.5,57.1,51.6,48.8,28.0,57.2,45.1,40.8,362.5,27590.6,28120.4,2655272.2,7223059.0,8080721.3,4123.1,11877.7,15564.2
Khark,588,167,9109.0,16435.7,2003.9,2002.2,2003.1,2003.3,259.4,815.2,463.7,456.9,36.0,145.0,122.4,108.9,32.0,105.3,201.1,197.0,1391.6,107283.9,109343.8,8502689.1,18301028.3,20872529.6,14460.4,37881.9,47897.1
Lavan,486,202,2136.9,3607.0,2000.2,1999.6,2000.9,2001.0,184.6,416.3,491.7,492.9,22.0,72.1,151.1,152.7,31.0,56.9,77.4,74.8,592.0,45391.7,46263.2,3326370.1,8233234.2,9682594.1,6844.4,19708.1,25239.3
Rajaei,435,188,4514.3,7215.9,2001.3,2001.6,2003.8,2003.7,469.3,653.1,603.8,613.1,54.0,116.8,115.0,114.2,45.0,191.6,161.5,135.0,1005.0,76856.9,78332.6,4492782.8,11199726.4,13178369.3,10328.2,33110.9,41424.6
Soroosh,348,103,953.7,1746.7,2006.0,2001.4,2002.8,2002.7,112.3,487.6,357.1,365.4,41.0,126.8,228.2,230.0,11.0,27.3,29.3,28.5,180.7,13776.5,14041.0,1750374.7,3680619.5,4632105.6,5029.8,13558.4,17652.8
Bushehr,329,127,1436.4,2314.4,2002.4,1999.0,2004.5,2004.5,359.8,935.5,722.3,757.9,39.0,219.8,178.3,180.8,46.0,182.7,69.9,64.4,335.4,25556.3,26047.0,2262864.2,5755588.9,7003626.3,6878.0,20982.6,26760.4
Asaluyeh,315,172,4214.0,7187.0,2000.6,1999.4,2004.5,2004.9,301.1,721.3,576.7,575.4,29.0,129.8,164.4,163.6,60.0,125.8,85.1,84.2,608.2,46761.9,47659.7,4005711.9,10084331.1,11843733.6,12716.5,40888.7,51619.5
Lengeh,286,142,1378.3,2193.1,1998.2,1999.8,2000.5,2000.8,232.2,838.7,689.1,703.6,22.0,166.6,97.6,85.9,17.0,65.7,40.2,35.8,301.3,22924.2,23364.3,1979294.5,5364341.7,5806735.0,6920.6,20188.7,26437.6
Queshm,280,134,4361.9,7302.2,1999.6,2000.4,2002.6,2002.6,541.8,900.6,774.1,777.5,45.0,227.4,226.7,214.7,34.0,191.0,148.3,143.1,901.3,69305.8,70636.4,4383278.6,10614591.3,11933410.8,15654.6,47003.4,57916.7
Bandar Abbas,273,85,965.1,1578.0,1997.5,1998.6,2000.5,2000.5,211.3,880.1,664.2,655.5,28.0,269.0,315.3,218.8,58.0,298.1,159.3,129.2,442.8,33558.1,34202.4,1554664.9,4325732.0,4134413.7,5694.7,14710.5,18745.5
